OBJECTID,TERRIER_NO,WARDS
127146,2531,00FFPD
127147,3250,00FFNY
127179,0326,00FFNP
127180,1805,00FFNY
127182,0326A,00FFNM
127183,9536,00FFNQ
127228,0661,00FFNY
127234,1841,00FFNY
127235,0456,00FFPD
127237,0186,00FFNP
127239,9602,00FFNX
127245,1500A,00FFNP
127247,2583,00FFNM
127252,2309,00FFNW
127253,0941,00FFNP
127254,3284,00FFNP
127275,1951,00FFNY
127276,2575,00FFNG
127289,9475,00FFNJ
127290,9484,00FFNU
127293,9605,00FFNM
127294,2282,00FFNM
127295,2406,00FFNY
127296,2573,00FFNP
127304,1176,00FFNY
127307,2089,00FFNS
127309,9301,00FFxx1
127310,8093,00FFxx1
127314,9522,00FFNP
127315,7964,00FFxx2
127316,0186,00FFNP
127338,3232,00FFxx4
127339,2793,00FFNL
127343,9616,00FFNL
127344,0080,00FFNP
127347,9614,00FFxx4
127348,0481,00FFPA
127356,3130,00FFNJ
127360,7586,00FFxx4
127363,7217,00FFNW
127368,2465,00FFNJ
127371,9615,00FFxx3
127378,7995,00FFxx4
127380,9519,00FFxx4
127386,0637,00FFNY
127392,0108A,00FFNP
127394,9549,00FFPA
127395,9549,00FFPA
127398,2311,00FFNY
127400,2461,00FFNW
127402,9512,Across Ward Boundaries
127408,9522,00FFNJ
127412,2783,00FFNU
127413,7955,00FFPC
127414,3418,00FFNU
127472,6352,00FFNL
127475,3009,00FFNU
127481,1902,00FFNS
127484,0450,00FFNY
127491,0424,00FFNM
127502,0249,00FFNU
127503,3378,00FFNP
127505,2995,00FFNP
127506,0480C,00FFNL
127514,3201A,00FFNS
127529,2878,00FFNP
127530,1264,00FFNS
127535,3785,00FFNL
127538,1733,00FFNL
127541,1496A,00FFNY
127560,0655,00FFNY
127561,2815A,00FFPD
127566,0160,00FFNP
127586,8004,00FFNQ
127589,9459,00FFNX
127590,8089,00FFPE
127591,9515,00FFNU
127592,9208,00FFPE
127608,2401,00FFNU
127609,8480,00FFPA
127611,3408,00FFNS
127613,8089,00FFPE
127616,3102,00FFNS
127619,2910,00FFNS
127621,2749,00FFNL
127634,8015,00FFNX
127635,0978,00FFNP
127636,9521,00FFPC
127637,0186,00FFNX
127638,7950,00FFNX
127639,1545,00FFNU
127657,1935A,00FFNS
127662,2483,00FFNY
127671,3256,00FFNL
127675,5922,00FFNP
127701,0838,00FFNS
127703,0923,00FFNJ
127704,1832,00FFNL
127709,1811A,00FFNS
127733,1543,00FFNU
127740,7965,00FFNX
127785,0801,00FFNH
127787,2332,00FFNU
127793,1936B,00FFNM
127794,0256,00FFNY
127795,3332,00FFPD
127796,0326,00FFNM
127803,9600,00FFPD
127805,0481A,00FFNL
127825,9610,00FFNY
127827,2060,00FFNM
127828,2698,00FFNY
127834,2169,00FFNM
127838,1543,00FFNU
127839,3243,00FFNL
127840,2313A,00FFNW
127841,9336,00FFNU
127842,0335,00FFNY
127843,2693,00FFNP
127845,0521,00FFPD
127849,3111,00FFNJ
127852,2402,00FFNS
127853,1538,00FFNM
127854,2473B,00FFNS
127855,3367,00FFNP
127856,3285,00FFNP
127857,2793,00FFNL
127860,7935,00FFxx1
127861,8055,00FFxx1
127862,9301,00FFxx1
127865,2822,00FFNP
127874,3084,00FFNS
127876,2564,00FFNM
127879,7985B,00FFPA
127893,0147,00FFNS
127899,3199,00FFPD
127907,9639,00FFPD
127911,2811,Across Ward Boundaries
127920,3108,00FFNJ
127921,2491,00FFNY
127922,9598,00FFxx4
127924,1039,00FFPD
127932,0922,00FFNP
127937,9520,00FFxx4
127939,8095,00FFxx3
127940,8098,00FFxx3
127942,3203A,00FFNG
127944,0135,00FFNP
127945,3055,00FFNG
127946,8020,00FFPA
127948,8419,00FFxx4
127956,9541,00FFPD
127962,0174,00FFNP
127965,9549,00FFPA
127970,0575,00FFNY
127971,0256C,00FFNY
127975,7045,00FFNP
127976,7045A,00FFNP
127977,9300,Across Ward Boundaries
127978,8110,00FFNL
127994,1498A,00FFNM
128021,1548,00FFNU
128024,9302,00FFNL
128026,8003,00FFNQ
128039,0380,00FFNY
128042,8083,00FFPA
128050,0153,00FFNY
128053,2859,00FFNU
128054,8086,00FFPE
128059,8006,00FFNQ
128060,0595,00FFNU
128067,7056,00FFNL
128068,8082,00FFPE
128082,6398,00FFNJ
128084,2680B,00FFPD
128085,9543,00FFNP
128086,9544,00FFNL
128108,2984,00FFNP
128111,9560,00FFNP
128113,2846,00FFNP
128114,1264,00FFNS
128115,1264,00FFNS
128137,0035,00FFNJ
128142,8104,00FFPA
128145,2929,00FFNL
128148,1013,00FFPD
128149,1011,00FFPD
128158,2594A,00FFNL
128165,9517,00FFNP
128166,2845,00FFNJ
128167,9518,00FFNP
128168,9208,00FFPE
128169,6400,00FFNM
128170,8125,00FFNU
128179,8108,00FFPA
128180,0618,00FFNY
128187,8090,00FFPE
128188,3329,00FFPD
128189,9459,00FFNX
128190,2602,00FFPD
128191,7931,00FFNQ
128192,3070,00FFNS
128193,1098,00FFNY
