LAU212CD,LAU212NM,FID
UKM2202023,Cowdenbeath Central,189
UKM2600004,Town Centre,190
UKM2202024,Oakfield and Cowdenbeath North,191
UKM2600005,Hall Glen,192
UKM2600006,Dawson,193
UKM2600007,Grahamsford,194
UKM2600008,Middlefield,195
UKM2600009,Zetland,196
UKM2600010,Beancross,197
UKM2600011,Inchyra,198
UKM2600012,Dundas/Kerse,199
UKM2600013,Grange and Blackness,200
UKM2202025,Kelty,201
UKM2202075,""Crail, Cameron and Kemback"",202
UKM2202026,Ballingry and Lochore,203
UKM2202027,Crosshill and Lochgelly North,204
UKM2202028,Lumphinnans and Lochgelly South,205
UKM2202029,Aberdour and Burntisland West,206
UKM2202030,Auchtertool and Burntisland East,207
UKM2202031,Kinghorn and Invertiel,208
UKM2202032,Linktown and Kirkcaldy Central,209
UKM2202033,Raith and Longbraes,210
UKM2202034,Bennochy and Valley,211
UKM2202035,Templehall East,212
UKM2202036,Templehall West,213
UKM2202037,""Cardenden, Cluny and Chapel"",214
UKM2202038,""Kinglassie, Bowhill and Dundonald"",215
UKM2202039,Dunnikier,216
UKM2202040,Hayfield and Balsusney,217
UKM2202041,Smeaton and Overton,218
UKM2202042,""Glebe Park, Pathhead and Sinclairtown"",219
UKM2202043,Dysart and Gallatown,220
UKM2202044,Wemyss and Muiredge,221
UKM2202045,Buckhaven and Denbeath,222
UKM2202046,Methilhill,223
UKM2202047,Methil,224
UKM2202048,Leven East,225
UKM2202049,Leven West and Kirkland,226
UKM2202050,Kennoway,227
UKM2202051,""Windygates, Star and Balgonie"",228
UKM2202052,Markinch and Woodside East,229
UKM2202053,Auchmuty and Woodside West,230
UKM2202054,Pitteuchar and Finglassie North,231
UKM2202055,""Thornton, Stenton and Finglassie South"",232
UKM2202056,Caskieberran and Rimbleton,233
UKM2202057,Newcastle and Tanshall,234
UKM2202058,South Parks and Macedonia,235
UKM2202059,Leslie and Whinnyknowe,236
UKM2202060,Balgeddie and Collydean,237
UKM2202061,""Cadham, Pitcoudie and Balfarg"",238
UKM2202062,""Falkland, Freuchie and Strathmiglo"",239
UKM2202063,Auchtermuchty and Ladybank,240
UKM2202064,""Kettle, Springfield and Ceres"",241
UKM2202065,Cupar South,242
UKM2202066,Cupar North,243
UKM2202067,Newburgh and Tay Coast,244
UKM2202068,Newport-on-Tay and Wormit,245
UKM2202069,Tayport and Motray,246
UKM2202070,""Leuchars, Balmullo and Guardbridge"",247
UKM2202071,Strathkinness and St Andrews West,248
UKM2202072,St Andrews Central,249
UKM2202073,St Andrews South,250
UKM2202074,St Andrews South East,251
UKM2701032,South Inch,252
UKM2600014,Dean,253
UKM2202076,Anstruther and East Neuk Landward,254
UKM2202077,""Elie, St Monans and Pittenweem"",255
UKM2202078,Largo,256
UKM2301001,Musselburgh West,257
UKM2301002,Musselburgh South,258
UKM2301003,Musselburgh North,259
UKM2701033,Moncreiffe and Friarton,260
UKM2600015,Borrowstoun,261
UKM2301004,Musselburgh Central,262
UKM2701034,Earn,263
UKM2600016,Kinneil and Whitecross,264
UKM2301005,Musselburgh East,265
UKM2701035,Auchterarder Mid Earn,266
UKM2600017,Forthside,267
UKM2301006,Wallyford/Whitecraig,268
UKM2701036,Strathallan and Glendevon,269
UKM2600018,Kinnaird,270
UKM2301007,Prestonpans West,271
UKM2701037,Auchterarder Craig Rossie,272
UKM2600019,Carrongrange,273
UKM2301008,Prestonpans East,274
UKM2701038,Abernethy and Glenfarg,275
UKM2600020,Tryst,276
UKM2301009,Cockenzie and Port Seton,277
UKM2701039,Milnathort and North Kinross,278
UKM2600021,Larbert,279
UKM2301010,Longniddry,280
UKM2701040,Kinross Town,281
UKM2600022,Herbertshire,282
UKM2301011,Tranent West,283
UKM2701041,Kinross-shire,284
UKM2600023,Denny,285
UKM2301012,Tranent/Macmerry,286
UKM2702001,Bridge of Allan,287
UKM2600024,Denny South,288
UKM2301013,Tranent/Elphinstone,289
UKM2702002,Logie,290
UKM2600025,Bonnybridge,291
UKM2600026,Banknock,292
UKM2600027,Laurieston,293
UKM2600028,Polmont,294
UKM2600029,Redding and Westquarter,295
UKM2600030,Darnrig,296
UKM2600031,""Reddingmuirhead, Brightons and Rumford"",297
UKM2600032,Avon,298
UKM2701001,Rannoch and Atholl,299
UKM2701002,Pitlochry,300
UKM2701003,Rattray and Glenshee,301
UKM2701004,Alyth and Old Rattray,302
UKM2701005,Coupar Angus and Meigle,303
UKM2701006,Rosemount,304
UKM2701007,Blairgowrie,305
UKM2701008,Kinclaven and Clunie,306
UKM2701009,Strathtay and Dunkeld,307
UKM2701010,Breadalbane,308
UKM2701011,Comrie,309
UKM2701012,Crieff North,310
UKM2701013,Crieff South,311
UKM2701014,Strathord and Logiealmond,312
UKM2701015,Strathalmond,313
UKM2701016,Scone,314
UKM2701017,Dunsinnan,315
UKM2701018,East Carse,316
UKM2701019,Central Carse,317
UKM2701020,Barnhill and West Carse,318
UKM2701021,Pictstonhill,319
UKM2701022,North Inch,320
UKM2701023,Muirton,321
UKM2701024,North Muirton,322
UKM2701025,Hillyland,323
UKM2701026,Ruthven Park,324
UKM2701027,North Letham,325
UKM2701028,South Letham,326
UKM2701029,Wellshill,327
UKM2701030,Oakbank,328
UKM2701031,Craigie,329
UKM2702003,Wallace,330
UKM2301014,Ormiston/Pencaitland,331
UKM2702004,Raploch,332
UKM2301015,Aberlady/Gullane/Dirleton,333
UKM2702005,Town Centre,334
UKM2301016,Haddington West/Saltoun,335
UKM2702006,Argyll,336
UKM2301017,Haddington Central,337
UKM2702007,King's Park and Cambusbarron,338
UKM2301018,Haddington East/Athelstaneford,339
UKM2702008,Torbrex,340
UKM2301019,East Linton/Gifford,341
UKM2702009,Broomridge,342
UKM2301020,North Berwick West,343
UKM2702010,Borestone,344
UKM2301021,North Berwick East,345
UKM2702011,Bannockburn West,346
UKM2301022,Dunbar/West Barns,347
UKM2702012,Bannockburn East,348
UKM2301023,Dunbar East,349
UKM2702013,Polmaise,350
UKM2302001,Penicuik South West,351
UKM2702014,Sauchenford,352
UKM2302002,Penicuik North,353
UKM2702015,Dunblane West,354
UKM2302003,Penicuik/Roslin,355
UKM2702016,Dunblane East,356
UKM2302004,Penicuik South East,357
UKM2702017,Highland,358
UKM2302005,Bilston/Roslin,359
UKM2702018,Teith,360
UKM2302006,Loanhead,361
UKM2702019,Trossachs,362
UKM2302007,Poltonhall/Rosewell,363
UKM2702020,Campsies,364
UKM2302008,Bonnyrigg North,365
UKM2702021,Strathendrick,366
UKM2302009,Bonnyrigg South,367
UKM2702022,Blane Valley,368
UKM2302010,Newtongrange,369
UKM2800001,St Michael's,370
UKM2302011,Arniston/Cockpen,371
UKM2800002,Kingsfield,372
UKM2302012,Gorebridge South,373
UKM2800003,Preston,374
UKM2800004,Boghall,375
UKM2302013,Dalkeith/Newton,376
UKM2800005,Oatridge,377
UKM2302014,Dalkeith/Eskbank,378
UKM2800006,Armadale West,379
UKM2302015,Dalkeith/Woodburn,380
UKM2800007,Armadale Central,381
UKM2302016,Newbattle/Pathhead,382
UKM2800008,Easton,383
UKM2302017,Easthouses/Mayfield North,384
UKM2800009,Newland,385
UKM2302018,Mayfield South,386
UKM2800010,Durhamtoun,387
UKM2400001,Eyemouth and District South,388
UKM2800011,Deans,389
UKM2400002,Chirnside and District,390
UKM2800012,Knightsridge,391
UKM2800013,Ladywell,392
UKM2800014,Kirkton,393
UKM2800015,Carmondean,394
UKM2800016,Howden,395
UKM2800017,Craigshill,396
UKM2800018,Dedridge,397
