LAU212CD,LAU212NM,FID
UKD3103038,Marple South,2369
UKC2202044,Ouseburn,2370
UKC2300027,Castle,2371
UKD1201029,Dalston,2372
UKC2100059,Shilbottle,2373
UKD3103039,Offerton,2374
UKC2202045,Parklands,2375
UKC2300028,Copt Hill,2376
UKD1201030,Great Corby and Geltsdale,2377
UKC2100060,Sleekburn,2378
UKC2202046,South Heaton,2379
UKC2300029,Doxford,2380
UKD1201031,Hayton,2381
UKC2100061,South Blyth,2382
UKC2202047,South Jesmond,2383
UKC2300030,Fulwell,2384
UKD1201032,Longtown & Rockcliffe,2385
UKD1201033,Lyne,2386
UKC2100062,South Tynedale,2387
UKC2100063,Stakeford,2388
UKC2100064,Stocksfield and Broomhaugh,2389
UKC2300031,Hendon,2390
UKC2300032,Houghton,2391
UKC2300033,Millfield,2392
UKC2300034,Pallion,2393
UKC2300035,Redhill,2394
UKC2202048,Walker,2395
UKC2202049,Walkergate,2396
UKC2202050,Westerhope,2397
UKC2202051,Westgate,2398
UKC2202052,West Gosforth,2399
UKC2202053,Wingrove,2400
UKD3103040,Reddish North,2401
UKD3103041,Reddish South,2402
UKD3103042,Stepping Hill,2403
UKD3104022,Ashton Hurst,2404
UKD3104023,Ashton St Michael's,2405
UKD3104024,Ashton Waterloo,2406
UKD3104025,Audenshaw,2407
UKD3104026,Denton North East,2408
UKD3104027,Denton South,2409
UKD3104028,Denton West,2410
UKD3104029,Droylsden East,2411
UKD3104030,Droylsden West,2412
UKD3104031,Dukinfield,2413
UKD3104032,Dukinfield Stalybridge,2414
UKD3104033,Hyde Godley,2415
UKD3104034,Hyde Newton,2416
UKD3104035,Hyde Werneth,2417
UKD3104036,Longdendale,2418
UKD3104037,Mossley,2419
UKD3104038,St Peter's,2420
UKD3104039,Stalybridge North,2421
UKD3104040,Stalybridge South,2422
UKD3105004,Brooklands,2423
UKD3105022,Altrincham,2424
UKD3105023,Ashton upon Mersey,2425
UKD3105024,Bowdon,2426
UKD3105025,Broadheath,2427
UKD3105026,Bucklow-St Martins,2428
UKD3105027,Clifford,2429
UKD3105028,Davyhulme East,2430
UKD3105029,Davyhulme West,2431
UKD3105030,Flixton,2432
UKD3105031,Gorse Hill,2433
UKD3105032,Hale Barns,2434
UKD3105033,Hale Central,2435
UKD3105034,Longford,2436
UKD3105035,Priory,2437
UKD3105036,St Mary's,2438
UKD3105037,Sale Moor,2439
UKD3105038,Stretford,2440
UKD3105039,Timperley,2441
UKD3105040,Urmston,2442
UKD3105041,Village,2443
UKD3201021,Astley Bridge,2444
UKD3201022,Bradshaw,2445
UKD3201023,Breightmet,2446
UKD3201024,Bromley Cross,2447
UKD3201025,Crompton,2448
UKD3201026,Farnworth,2449
UKD3201027,Great Lever,2450
UKD3204021,Balderstone and Kirkholt,2451
UKD3204022,Bamford,2452
UKD3204023,Castleton,2453
UKD3204024,Central Rochdale,2454
UKD3201028,Halliwell,2455
UKD3204025,East Middleton,2456
UKD3204026,Healey,2457
UKD4306030,Old Laund Booth,2458
UKD3204027,Hopwood Hall,2459
UKD4100023,Audley,2460
UKD3204028,Kingsway,2461
UKD3201029,Harper Green,2462
UKD3204029,Littleborough Lakeside,2463
UKD4306031,Reedley,2464
UKD4308041,St Mary's,2465
UKD4100024,Bastwell,2466
UKD3201030,Heaton and Lostock,2467
UKD3204030,Milkstone and Deeplish,2468
UKD4306032,Southfield,2469
UKD4308042,Salthill,2470
UKD4100025,Beardwood with Lammack,2471
UKD3201031,Horwich and Blackrod,2472
UKD3204031,Milnrow and Newhey,2473
UKD4306033,Vivary Bridge,2474
UKD4308043,Waddington and West Bradford,2475
UKD4100026,Corporation Park,2476
UKD3201032,Horwich North East,2477
UKD3204032,Norden,2478
UKD4306034,Walverden,2479
UKD4308044,Whalley,2480
UKD4100027,Earcroft,2481
UKD3201033,Hulton,2482
UKD3204033,North Heywood,2483
UKD4306035,Waterside,2484
UKD4308045,Wiswell and Pendleton,2485
UKD4100028,Ewood,2486
UKD3201034,Kearsley,2487
UKD3204034,North Middleton,2488
UKD4306036,Whitefield,2489
UKD4309002,Eden,2490
UKD4100029,Fernhurst,2491
UKD4301026,Rosegrove with Lowerhouse,2492
UKD4304023,Clayton-le-Moors,2493
UKD3201035,Little Lever and Darcy Lever,2494
UKD3201036,Rumworth,2495
UKD3201037,Smithills,2496
UKD3201038,Tonge with the Haulgh,2497
UKD3201039,Westhoughton North and Chew Moor,2498
UKD3201040,Westhoughton South,2499
UKD3202017,Besses,2500
UKD3202018,Church,2501
UKD3202019,East,2502
UKD3202020,Elton,2503
UKD3202021,Holyrood,2504
UKD3202022,Moorside,2505
UKD3202023,North Manor,2506
UKD3202024,Pilkington Park,2507
UKD3202025,Radcliffe East,2508
UKD3202026,Radcliffe North,2509
UKD3202027,Radcliffe West,2510
UKD3202028,Ramsbottom,2511
UKD3202029,Redvales,2512
UKD3202030,St Mary's,2513
UKD3202031,Sedgley,2514
UKD3202032,Tottington,2515
UKD3202033,Unsworth,2516
UKD3203003,Chadderton North,2517
UKD3203021,Alexandra,2518
UKD3203022,Chadderton Central,2519
UKD3203023,Chadderton South,2520
UKD3203024,Coldhurst,2521
UKD3203025,Crompton,2522
UKD3203026,Failsworth East,2523
UKD3203027,Failsworth West,2524
UKD3203028,Hollinwood,2525
UKD3203029,Medlock Vale,2526
UKD3203030,Royton North,2527
UKD3203031,Royton South,2528
UKD3203032,Saddleworth North,2529
UKD3203033,Saddleworth South,2530
UKD3203034,Saddleworth West and Lees,2531
UKD3203035,St James',2532
UKD3203036,St Mary's,2533
UKD3203037,Shaw,2534
UKD3203038,Waterhead,2535
UKD3203039,Werneth,2536
UKD3204035,Smallbridge and Firgrove,2537
UKD4304024,Huncoat,2538
UKD4306037,Earby,2539
UKD3204036,South Middleton,2540
UKD4304025,Immanuel,2541
UKD4100030,Higher Croft,2542
UKD4306038,Foulridge,2543
UKD4309014,Cribden,2544
UKD3204037,Spotland and Falinge,2545
UKD4304026,Milnshaw,2546
UKD4301027,Rosehill with Burnley Wood,2547
UKD4100031,Little Harwood,2548
UKD4307019,Tulketh,2549
UKD4309015,Facit and Shawforth,2550
UKD3204038,Wardle and West Littleborough,2551
UKD4304027,Netherton,2552
UKD4301028,Trinity,2553
UKD4100032,Marsh House,2554
UKD4307020,Ashton,2555
UKD4309016,Goodshaw,2556
UKD3204039,West Heywood,2557
UKD4304028,Overton,2558
UKD4301029,Whittlefield with Ightenhill,2559
UKD4100033,Meadowhead,2560
UKD4307022,Cadley,2561
UKD4309017,Greenfield,2562
UKD3204040,West Middleton,2563
UKD4304029,Peel,2564
UKD4302013,Clayton-le-Woods West and Cuerden,2565
UKD4100034,Mill Hill,2566
UKD4307023,College,2567
UKD4309018,Greensclough,2568
UKD3205025,Abram,2569
UKD4304030,Rishton,2570
UKD4302019,Lostock,2571
UKD4100035,Queen's Park,2572
UKD4307024,Deepdale,2573
UKD4309019,Hareholme,2574
UKD3205026,Ashton,2575
UKD4304031,St Andrew's,2576
UKD4302023,Adlington and Anderton,2577
UKD4100036,Roe Lee,2578
UKD4307025,Fishwick,2579
UKD4309020,Healey and Whitworth,2580
UKD3205027,Aspull New Springs Whelley,2581
UKD4304032,St Oswald's,2582
UKD4302024,Astley and Buckshaw,2583
UKD4100037,Shadsworth with Whitebirk,2584
UKD4307026,Garrison,2585
UKD4309021,Helmshore,2586
UKD3205028,Astley Mosley Common,2587
UKD4304033,Spring Hill,2588
UKD4302025,Brindle and Hoghton,2589
UKD4100038,Shear Brow,2590
UKD4307027,Greyfriars,2591
UKD4309022,Irwell,2592
UKD3205029,Atherleigh,2593
UKD4305009,Halton-with-Aughton,2594
UKD4302026,Chisnall,2595
UKD4309023,Longholme,2596
UKD4100039,Sudell,2597
UKD4100040,Whitehall,2598
UKD4309024,Stacksteads,2599
UKD4307028,Ingol,2600
UKD4309025,Whitewell,2601
UKD4200023,Anchorsholme,2602
UKD4305022,Silverdale,2603
UKD3205030,Atherton,2604
UKD4302027,Chorley East,2605
UKD4307029,Larches,2606
UKD4305029,Warton,2607
UKD3205031,Bryn,2608
UKD4302028,Chorley North East,2609
UKD4200024,Bispham,2610
UKD4309026,Worsley,2611
UKD4307030,Lea,2612
UKD4305030,Bare,2613
UKD3205032,Douglas,2614
UKD4302029,Chorley North West,2615
UKD4200025,Bloomfield,2616
UKD4310013,Little Hoole and Much Hoole,2617
UKD4307031,Moor Park,2618
UKD4305031,Bolton-le-Sands,2619
UKD3205033,Golborne and Lowton West,2620
UKD4302030,Chorley South East,2621
UKD4200026,Brunswick,2622
UKD4310023,Bamber Bridge East,2623
UKD4307033,Preston Rural North,2624
UKD4305032,Bulk,2625
UKD3205034,Hindley,2626
UKD4302031,Chorley South West,2627
UKD4200027,Claremont,2628
UKD4310024,Bamber Bridge North,2629
UKD4307035,Riversway,2630
UKD4305033,Carnforth,2631
UKD3205035,Hindley Green,2632
UKD4302032,Clayton-le-Woods and Whittle-le-Woods,2633
UKD4200028,Clifton,2634
UKD4310025,Bamber Bridge West,2635
UKD4307036,St George's,2636
UKD4305034,Castle,2637
UKD3205036,Ince,2638
UKD4302033,Clayton-le-Woods North,2639
UKD4200029,Greenlands,2640
UKD4310026,Broad Oak,2641
UKD4307037,St Matthew's,2642
UKD4305035,Duke's,2643
UKD3205037,Leigh East,2644
UKD4302034,Coppull,2645
UKD4200030,Hawes Side,2646
UKD4310027,Charnock,2647
UKD4307038,Sharoe Green,2648
UKD4305036,Ellel,2649
UKD3205038,Leigh South,2650
UKD4302035,Eccleston and Mawdesley,2651
UKD4200031,Highfield,2652
UKD4310028,Coupe Green and Gregson Lane,2653
UKD4307039,Town Centre,2654
UKD4305037,Harbour,2655
UKD3205039,Leigh West,2656
UKD4302036,Euxton North,2657
UKD4200032,Ingthorpe,2658
UKD4310029,Earnshaw Bridge,2659
UKD4307040,University,2660
UKD4305038,Heysham Central,2661
UKD3205040,Lowton East,2662
UKD4302037,Euxton South,2663
UKD4200033,Layton,2664
UKD4310030,Farington East,2665
UKD4307041,Brookfield,2666
UKD4305039,Heysham North,2667
UKD3205041,Orrell,2668
UKD4302038,Heath Charnock and Rivington,2669
UKD4200034,Marton,2670
UKD4310031,Farington West,2671
UKD4307042,Preston Rural East,2672
UKD4305040,Heysham South,2673
UKD3205042,Pemberton,2674
UKD4302039,Pennine,2675
UKD4200035,Norbreck,2676
UKD4310032,Golden Hill,2677
UKD4307043,Ribbleton,2678
UKD4305041,John O'Gaunt,2679
UKD3205043,Shevington with Lower Ground,2680
UKD4302040,Wheelton and Withnell,2681
UKD4200036,Park,2682
UKD4310033,Howick and Priory,2683
UKD4308006,Chatburn,2684
UKD4305042,Kellet,2685
UKD3205044,Standish with Langtree,2686
UKD4303006,Elswick and Little Eccleston,2687
UKD4200037,Squires Gate,2688
UKD4310034,Kingsfold,2689
UKD4308018,Sabden,2690
UKD4305043,Lower Lune Valley,2691
UKD3205045,Tyldesley,2692
UKD4303014,Medlar-with-Wesham,2693
UKD4200038,Stanley,2694
UKD4310035,Leyland Central,2695
UKD4308023,Wilpshire,2696
UKD4305044,Overton,2697
UKD3205046,Wigan Central,2698
UKD4303015,Newton and Treales,2699
UKD4200039,Talbot,2700
UKD4200040,Tyldesley,2701
UKD4200041,Victoria,2702
UKD4200042,Warbreck,2703
UKD4200043,Waterloo,2704
UKD4301003,Briercliffe,2705
UKD4301011,Lanehead,2706
UKD4301017,Bank Hall,2707
UKD4301018,Brunshaw,2708
UKD4301019,Cliviger with Worsthorne,2709
UKD4301020,Coal Clough with Deerplay,2710
UKD4301021,Daneshouse with Stoneyholme,2711
UKD4301022,Gannow,2712
UKD4301023,Gawthorpe,2713
UKD4301024,Hapton with Park,2714
UKD4301025,Queensgate,2715
UKD4308025,""Aighton, Bailey and Chaigley"",2716
UKD4308026,Alston and Hothersall,2717
UKD3205047,Wigan West,2718
UKD4308027,Billington and Old Langho,2719
UKD4305045,Poulton,2720
UKD3205048,Winstanley,2721
UKD4308028,""Bowland, Newton and Slaidburn"",2722
UKD4305046,Scotforth East,2723
UKD3205049,Worsley Mesnes,2724
UKD4310036,Leyland St. Ambrose,2725
UKD4308029,Chipping,2726
UKD4303017,Ribby-with-Wrea,2727
UKD4305047,Scotforth West,2728
UKD4100006,East Rural,2729
UKD4310037,Leyland St. Mary's,2730
UKD4308030,Clayton-le-Dale with Ramsgreave,2731
UKD4303020,Singleton and Greenhalgh,2732
UKD4305048,Skerton East,2733
UKD4100010,Livesey with Pleasington,2734
UKD4310038,Longton and Hutton West,2735
UKD4308031,Derby and Thornley,2736
UKD4303023,Ansdell,2737
UKD4305049,Skerton West,2738
UKD4100014,North Turton with Tockholes,2739
UKD4310039,Lostock Hall,2740
UKD4308032,Dilworth,2741
UKD4303024,Ashton,2742
UKD4305050,Slyne-with-Hest,2743
UKD4100020,Sunnyhurst,2744
UKD4310040,Lowerhouse,2745
UKD4308033,Edisford and Low Moor,2746
UKD4303025,Central,2747
UKD4305051,Torrisholme,2748
UKD4100021,Wensley Fold,2749
UKD4310041,Middleforth,2750
UKD4308034,""Gisburn, Rimington"",2751
UKD4303026,Clifton,2752
UKD4305052,University,2753
UKD4310042,Moss Side,2754
UKD4308035,Langho,2755
UKD4303027,Fairhaven,2756
UKD4305053,Upper Lune Valley,2757
UKD4310043,New Longton and Hutton East,2758
UKD4308036,Littlemoor,2759
UKD4303028,Freckleton East,2760
UKD4305054,Westgate,2761
UKD4310044,Samlesbury and Walton,2762
UKD4308037,Mellor,2763
UKD4303029,Freckleton West,2764
UKD4306006,Coates,2765
UKD4310045,Seven Stars,2766
UKD4308038,Primrose,2767
UKD4303030,Heyhouses,2768
UKD4306007,Craven,2769
UKD4310046,Tardy Gate,2770
UKD4308039,Read and Simonstone,2771
UKD4303031,Kilnhouse,2772
UKD4306020,Barrowford,2773
UKD4310047,Walton-le-Dale,2774
UKD4308040,Ribchester,2775
UKD4303032,Kirkham North,2776
UKD4306021,Blacko and Higherford,2777
UKD4310048,Whitefield,2778
UKD4303033,Kirkham South,2779
UKD4306022,Boulsworth,2780
UKD4311009,Halsall,2781
UKD4303034,Park,2782
UKD4306023,Bradley,2783
UKD4311010,Hesketh-with-Becconsall,2784
UKD4303035,St Johns,2785
UKD4306024,Brierfield,2786
UKD4311012,Burscough East,2787
UKD4303036,St Leonards,2788
UKD4306025,Clover Hill,2789
UKD4311015,North Meols,2790
UKD4303037,Staining and Weeton,2791
UKD4306027,Higham and Pendleside,2792
UKD4303038,Warton and Westby,2793
UKD4306028,Horsfield,2794
UKD4304018,Altham,2795
UKD4306029,Marsden,2796
UKD4304019,Barnfield,2797
UKD4304020,Baxenden,2798
UKD4304021,Central,2799
UKD4304022,Church,2800
UKD7102013,St Bartholomews,2801
UKD4311016,Parbold,2802
UKD7102014,St Gabriels,2803
UKD4311017,Rufford,2804
UKD6100004,Burtonwood and Winwick,2805
UKD7102015,St Michaels,2806
UKD7200026,Warbreck,2807
UKD6200032,Mobberley,2808
UKE1100022,Beverley,2809
UKE1301015,Croft Baker,2810
UKD4311023,Tarleton,2811
UKD6300030,Saughall and Mollington,2812
UKD6100005,""Culcheth, Glazebury and Croft"",2813
UKD7102016,Shevington,2814
UKD7200027,Wavertree,2815
UKD6200033,Nantwich North and West,2816
UKE1100023,Boothferry,2817
UKE1301016,East Marsh,2818
UKD4311027,Ashurst,2819
UKD6300031,Shakerley,2820
UKD6100006,Fairfield and Howley,2821
UKD7102017,Stockbridge,2822
UKD7200028,West Derby,2823
UKD6200034,Nantwich South and Stapeley,2824
UKE1100024,Bransholme East,2825
UKE1301017,Haverstoe,2826
UKD4311028,Aughton and Downholland,2827
UKD6300032,St Paul's,2828
UKD6100007,Grappenhall and Thelwall,2829
UKD7102018,Swanside,2830
UKD7200029,Woolton,2831
UKD6200035,Odd Rode,2832
UKE1100025,Bransholme West,2833
UKE1301018,Heneage,2834
UKD4311029,Aughton Park,2835
UKD6300033,Strawberry,2836
UKD6100008,Great Sankey North,2837
UKD7102019,Whiston North,2838
UKD7200030,Yew Tree,2839
UKD6200036,Poynton East and Pott Shrigley,2840
UKE1100026,Bricknell,2841
UKE1301019,Humberston and New Waltham,2842
UKD4311031,Birch Green,2843
UKD6300034,Sutton,2844
UKD6100009,Great Sankey South,2845
UKD7102020,Whiston South,2846
UKD7300001,Ainsdale,2847
UKD6200037,Poynton West and Adlington,2848
UKE1100027,Derringham,2849
UKE1301020,Park,2850
UKD4311032,Burscough West,2851
UKD6300035,Tarporley,2852
UKD6100010,""Hatton, Stretton and Walton"",2853
UKD7102021,Whitefield,2854
UKD7300002,Blundellsands,2855
UKD6200038,Prestbury,2856
UKE1100028,Drypool,2857
UKE1301021,Scartho,2858
UKD4311034,Digmoor,2859
UKD6300036,Tarvin and Kelsall,2860
UKD6100011,Latchford East,2861
UKD7103001,Billinge and Seneley Green,2862
UKD7300003,Cambridge,2863
UKD6200039,Sandbach Elworth,2864
UKE1100029,Holderness,2865
UKE1301022,Sidney Sussex,2866
UKD4311035,Knowsley,2867
UKD6300037,Tattenhall,2868
UKD6100012,Latchford West,2869
UKD7103002,Blackbrook,2870
UKD7300004,Duke's,2871
UKD6200040,Sandbach Ettiley Heath and Wheelock,2872
UKE1100030,Ings,2873
UKE1301023,South,2874
UKD4311036,Moorside,2875
UKD6300038,Upton,2876
UKD6100013,Lymm,2877
UKD7103003,Bold,2878
UKD7300005,Meols,2879
UKD6200041,Sandbach Heath and East,2880
UKE1100031,Kings Park,2881
UKE1301024,Waltham,2882
UKD4311038,Scarisbrick,2883
UKD6300039,Weaver and Cuddington,2884
UKD6100014,Orford,2885
UKD7103004,Earlestown,2886
UKD7300006,Birkdale,2887
UKD6200042,Sandbach Town,2888
UKE1100032,Longhill,2889
UKE1301025,West Marsh,2890
UKD4311039,Scott,2891
UKD6300040,Whitby,2892
UKD6100015,Penketh and Cuerdley,2893
UKD7103005,Eccleston,2894
UKD7300007,Church,2895
UKD6200043,Shavington,2896
UKE1100033,Marfleet,2897
UKE1301026,Wolds,2898
UKD4311040,Skelmersdale North,2899
UKD6300041,Willaston and Thornton,2900
UKD6100016,Poplars and Hulme,2901
UKD7103006,Haydock,2902
UKD7300008,Derby,2903
UKD6200044,Sutton,2904
UKE1100034,Myton,2905
UKE1301027,Yarborough,2906
UKD4311042,Tanhouse,2907
UKD6300042,Winnington and Castle,2908
UKD6100017,Poulton North,2909
UKD6100018,Poulton South,2910
UKD6100019,Rixton and Woolston,2911
UKD6100020,Stockton Heath,2912
UKD6100021,Westbrook,2913
UKD6100022,Whittle Hall,2914
UKD6200001,Alderley Edge,2915
UKD6200002,Alsager,2916
UKD6200003,Audlem,2917
UKD6200004,Bollington,2918
UKD6200005,Brereton Rural,2919
UKD6200006,Broken Cross and Upton,2920
UKD6200007,Bunbury,2921
UKD6200008,Chelford,2922
UKD6200009,Congleton East,2923
UKD6200010,Congleton West,2924
UKD6200011,Crewe Central,2925
UKD6200012,Crewe East,2926
UKD6200013,Crewe North,2927
UKD6200014,Crewe South,2928
UKD6200015,Crewe St Barnabas,2929
UKD6200016,Crewe West,2930
UKD6200017,Dane Valley,2931
UKD6200018,Disley,2932
UKD6200019,Gawsworth,2933
UKD6200020,Handforth,2934
UKD6200021,Haslington,2935
UKD6200022,High Legh,2936
UKD6200023,Knutsford,2937
UKD6200024,Leighton,2938
UKD6200025,Macclesfield Central,2939
UKD6200026,Macclesfield East,2940
UKD6200027,Macclesfield Hurdsfield,2941
UKD6200028,Macclesfield South,2942
UKD6200029,Macclesfield Tytherington,2943
UKD6200030,Macclesfield West and Ivy,2944
UKD6200031,Middlewich,2945
UKD7103007,Moss Bank,2946
UKD7300009,Ford,2947
UKD6200045,Willaston and Rope,2948
UKD4311043,Up Holland,2949
UKE1100035,Newington,2950
UKD7103008,Newton,2951
UKE1302002,Bottesford,2952
UKD7300010,Harington,2953
UKD6200046,Wilmslow Dean Row,2954
UKD4311044,Wrightington,2955
UKE1100036,Newland,2956
UKD7103009,Parr,2957
UKE1302006,Axholme North,2958
UKD7300011,Kew,2959
UKD6300043,Winsford Over and Verdin,2960
UKD6200047,Wilmslow East,2961
UKD4311045,Derby,2962
UKE1100037,Orchard Park and Greenwood,2963
UKD7103010,Rainford,2964
UKE1302016,Ashby,2965
UKD7300012,Linacre,2966
UKD6300044,Winsford Swanlow and Dene,2967
UKD6200048,Wilmslow Lacey Green,2968
UKD4311046,Skelmersdale South,2969
UKE1100038,Pickering,2970
UKD7103011,Rainhill,2971
UKE1302017,Axholme Central,2972
UKD7300013,Litherland,2973
UKD6300045,Winsford Wharton,2974
UKD6200049,Wilmslow West and Chorley,2975
UKD4311047,Bickerstaffe,2976
UKE1100039,St Andrew's,2977
UKD7103012,Sutton,2978
UKE1302018,Axholme South,2979
UKD7300014,Manor,2980
UKD6300046,Witton and Rudheath,2981
UKD6200050,Wistaston,2982
UKD4311048,Newburgh,2983
UKE1100040,Southcoates East,2984
UKD7103013,Thatto Heath,2985
UKE1302019,Barton,2986
UKD7300015,Molyneux,2987
UKD7101001,Appleton,2988
UKD6200051,Wrenbury,2989
UKD4312004,Brock,2990
UKE1100041,Southcoates West,2991
UKD7103014,Town Centre,2992
UKE1302020,Brigg and Wolds,2993
UKD7300016,Netherton and Orrell,2994
UKD7101002,Beechwood,2995
UKD6200052,Wybunbury,2996
UKD4312007,Catterall,2997
UKE1100042,Sutton,2998
UKD7103015,West Park,2999
UKE1302021,Broughton and Appleby,3000
UKD7300017,Norwood,3001
UKD7101003,Birchfield,3002
UKD6300001,Blacon,3003
UKD4312028,Bourne,3004
UKE1100043,University,3005
UKD7103016,Windle,3006
UKE1302022,Brumby,3007
UKD7300018,Park,3008
UKD7101004,Broadheath,3009
UKD6300002,Boughton,3010
UKD4312029,Breck,3011
UKE1200013,Howden,3012
UKD7200001,Allerton and Hunts Cross,3013
UKE1302023,Burringham and Gunness,3014
UKE1302024,Burton upon Stather and Winterton,3015
UKE1302025,Crosby and Park,3016
UKE1302026,Ferry,3017
UKE1302027,Frodingham,3018
UKE1302028,Kingsway with Lincoln Gardens,3019
UKE1302029,Ridge,3020
UKE1302030,Town,3021
UKE2100011,Fulford,3022
UKE2100014,Heslington,3023
UKE2100018,Huntington and New Earswick,3024
UKE2100028,Wheldrake,3025
UKE2100030,Acomb,3026
UKE2100031,Bishopthorpe,3027
UKE2100032,Clifton,3028
UKE2100033,Derwent,3029
UKE2100034,Dringhouses and Woodthorpe,3030
UKE2100035,Fishergate,3031
UKE2100036,Guildhall,3032
UKE2100037,Haxby and Wigginton,3033
UKE2100038,Heworth,3034
UKE2100039,Heworth Without,3035
UKE2100040,Holgate,3036
UKE2100041,Hull Road,3037
UKE2100042,Micklegate,3038
UKE2100043,Osbaldwick,3039
UKE2100044,Rural West York,3040
UKE2100045,""Skelton, Rawcliffe and Clifton Without"",3041
UKD6300003,Chester City,3042
UKD7101005,Daresbury,3043
UKD7200002,Anfield,3044
UKD6300004,Chester Villages,3045
UKD7300019,Ravenmeols,3046
UKE1200014,Howdenshire,3047
UKD7101006,Ditton,3048
UKD7200003,Belle Vale,3049
UKD6300005,Davenham and Moulton,3050
UKD7300020,St Oswald,3051
UKE1200029,Beverley Rural,3052
UKD7101007,Farnworth,3053
UKD7200004,Central,3054
UKD4312030,Cabus,3055
UKD6300006,Dodleston and Huntington,3056
UKD7300021,Sudell,3057
UKE1200030,Bridlington Central and Old Town,3058
UKD7101008,Grange,3059
UKD7200005,Childwall,3060
UKD4312031,Calder,3061
UKD6300007,Ellesmere Port Town,3062
UKD7300022,Victoria,3063
UKE1200031,Bridlington North,3064
UKD7101009,Hale,3065
UKD7200006,Church,3066
UKD4312032,Carleton,3067
UKD6300008,Elton,3068
UKD7400001,Bebington,3069
UKE1200032,Bridlington South,3070
UKD7101010,Halton Brook,3071
UKD7200007,Clubmoor,3072
UKD4312033,Cleveleys Park,3073
UKD6300009,Farndon,3074
UKD7400002,Bidston and St James,3075
UKE1200033,Cottingham North,3076
UKD7101011,Halton Castle,3077
UKD7200008,County,3078
UKD4312034,Garstang,3079
UKD6300010,Frodsham,3080
UKD7400003,Birkenhead and Tranmere,3081
UKE1200034,Cottingham South,3082
UKD7101012,Halton Lea,3083
UKD7200009,Cressington,3084
UKD4312035,Great Eccleston,3085
UKD6300011,Garden Quarter,3086
UKD7400004,Bromborough,3087
UKE1200035,Dale,3088
UKD7101013,Halton View,3089
UKD7200010,Croxteth,3090
UKD4312036,Hambleton and Stalmine-with-Staynall,3091
UKD6300012,Gowy,3092
UKD7400005,Clatterbridge,3093
UKE1200036,Driffield and Rural,3094
UKD7101014,Heath,3095
UKD7200011,Everton,3096
UKD4312037,Hardhorn,3097
UKD6300013,Grange,3098
UKD7400006,Claughton,3099
UKE1200037,East Wolds and Coastal,3100
UKD7101015,Hough Green,3101
UKD7200012,Fazakerley,3102
UKD4312038,High Cross,3103
UKD6300014,Great Boughton,3104
UKD7400007,Eastham,3105
UKE1200038,Goole North,3106
UKD7101016,Kingsway,3107
UKD7200013,Greenbank,3108
UKD4312039,Jubilee,3109
UKD6300015,Handbridge Park,3110
UKD7400008,""Greasby, Frankby and Irby"",3111
UKE1200039,Goole South,3112
UKD7101017,Mersey,3113
UKD7200014,Kensington and Fairfield,3114
UKD4312040,Mount,3115
UKD6300016,Hartford and Greenbank,3116
UKD7400009,Heswall,3117
UKE1200040,Hessle,3118
UKE1200041,Mid Holderness,3119
UKE1200042,Minster and Woodmansey,3120
UKE1200043,North Holderness,3121
UKE1200044,Pocklington Provincial,3122
UKE1200045,St Mary's,3123
UKE1200046,""Snaith, Airmyn, Rawcliffe and Marshland"",3124
UKE1200047,South East Holderness,3125
UKE1200048,South Hunsley,3126
UKE1200049,South West Holderness,3127
UKE1200050,Tranby,3128
UKE1200051,Willerby and Kirk Ella,3129
UKE1200052,Wolds Weighton,3130
UKE1301002,Freshney,3131
UKE1301006,Immingham,3132
UKD7200015,Kirkdale,3133
UKD4312041,Norcross,3134
UKD7400010,Hoylake and Meols,3135
UKD6300017,Helsby,3136
UKD7101018,Norton North,3137
UKD7200016,Knotty Ash,3138
UKD4312042,Park,3139
UKD7400011,Leasowe and Moreton East,3140
UKD6300018,Hoole,3141
UKD7101019,Norton South,3142
UKD7200017,Mossley Hill,3143
UKD4312043,Pharos,3144
UKD7400012,Liscard,3145
UKD6300019,Kingsley,3146
UKD7101020,Riverside,3147
UKD7200018,Norris Green,3148
UKD4312044,Pilling,3149
UKD7400013,Moreton West and Saughall Massie,3150
UKD6300020,Lache,3151
UKD7101021,Windmill Hill,3152
UKD7200019,Old Swan,3153
UKD4312045,Preesall,3154
UKD7400014,New Brighton,3155
UKD6300021,Ledsham and Manor,3156
UKD7102001,Cherryfield,3157
UKD7200020,Picton,3158
UKD4312046,Rossall,3159
UKD7400015,Oxton,3160
UKD6300022,Little Neston and Burton,3161
UKD7102002,Halewood North,3162
UKD7200021,Princes Park,3163
UKD4312047,Staina,3164
UKD7400016,Pensby and Thingwall,3165
UKD6300023,Malpas,3166
UKD7102003,Halewood South,3167
UKD7200022,Riverside,3168
UKD4312048,Tithebarn,3169
UKD7400017,Prenton,3170
UKD6300024,Marbury,3171
UKD7102004,Halewood West,3172
UKD7200023,St Michael's,3173
UKD4312049,Victoria,3174
UKD7400018,Rock Ferry,3175
UKD6300025,Neston,3176
UKD7102005,Kirkby Central,3177
UKD7200024,Speke-Garston,3178
UKD4312050,Warren,3179
UKD7400019,Seacombe,3180
UKD6300026,Netherpool,3181
UKD7102006,Longview,3182
UKD7200025,Tuebrook and Stoneycroft,3183
UKD4312051,Wyresdale,3184
UKD7400020,Upton,3185
UKD6300027,Newton,3186
UKD7102007,Northwood,3187
UKD6100001,Appleton,3188
UKD7400021,Wallasey,3189
