Year Houses were Built and Completed in Plymouth,Number of Afforadable Houses Built in Plymouth
2002/2003,166
2003/2004,67
2004/2005,163
2005/2006,154
2006 - 2007,252
2007 - 2008,216
2008 -2009,290
2009 - 2010,335
2010 - 2011,368
2011 - 2012,276
2012 - 2013,266
2013 -2014,183
2014 - 2015,396
