Date,Hour,LocationName,Weekday,BRCYear,BRCQuarter,BRCMonthName,BRCWeek,InCount
31/01/2014,10,Headrow,Friday,2014,1,January,5,748
31/01/2014,10,Dortmund Square ,Friday,2014,1,January,5,1277
31/01/2014,10,Albion Street South,Friday,2014,1,January,5,1036
31/01/2014,10,Albion Street North,Friday,2014,1,January,5,774
31/01/2014,11,Briggate,Friday,2014,1,January,5,1924
31/01/2014,11,Briggate at McDonalds ,Friday,2014,1,January,5,1202
31/01/2014,11,Commercial Street at Lush,Friday,2014,1,January,5,1769
31/01/2014,11,Commercial Street at Barratts,Friday,2014,1,January,5,1672
31/01/2014,11,Headrow,Friday,2014,1,January,5,990
31/01/2014,11,Dortmund Square ,Friday,2014,1,January,5,1937
31/01/2014,11,Albion Street South,Friday,2014,1,January,5,1454
31/01/2014,11,Albion Street North,Friday,2014,1,January,5,1112
31/01/2014,12,Briggate,Friday,2014,1,January,5,3160
31/01/2014,12,Briggate at McDonalds ,Friday,2014,1,January,5,1611
31/01/2014,12,Commercial Street at Lush,Friday,2014,1,January,5,2548
31/01/2014,12,Commercial Street at Barratts,Friday,2014,1,January,5,2704
31/01/2014,12,Headrow,Friday,2014,1,January,5,1544
31/01/2014,12,Dortmund Square ,Friday,2014,1,January,5,2940
31/01/2014,12,Albion Street South,Friday,2014,1,January,5,2065
31/01/2014,12,Albion Street North,Friday,2014,1,January,5,1613
31/01/2014,13,Briggate,Friday,2014,1,January,5,3330
31/01/2014,13,Briggate at McDonalds ,Friday,2014,1,January,5,1627
31/01/2014,13,Commercial Street at Lush,Friday,2014,1,January,5,2511
31/01/2014,13,Commercial Street at Barratts,Friday,2014,1,January,5,2774
31/01/2014,13,Headrow,Friday,2014,1,January,5,1451
31/01/2014,13,Dortmund Square ,Friday,2014,1,January,5,4005
31/01/2014,13,Albion Street South,Friday,2014,1,January,5,1519
31/01/2014,13,Albion Street North,Friday,2014,1,January,5,1485
31/01/2014,14,Briggate,Friday,2014,1,January,5,2498
31/01/2014,14,Briggate at McDonalds ,Friday,2014,1,January,5,1564
31/01/2014,14,Commercial Street at Lush,Friday,2014,1,January,5,1848
31/01/2014,14,Commercial Street at Barratts,Friday,2014,1,January,5,2218
31/01/2014,14,Headrow,Friday,2014,1,January,5,1157
31/01/2014,14,Dortmund Square ,Friday,2014,1,January,5,3975
31/01/2014,14,Albion Street South,Friday,2014,1,January,5,1199
31/01/2014,14,Albion Street North,Friday,2014,1,January,5,1153
31/01/2014,15,Briggate,Friday,2014,1,January,5,2522
31/01/2014,15,Briggate at McDonalds ,Friday,2014,1,January,5,1530
31/01/2014,15,Commercial Street at Lush,Friday,2014,1,January,5,1509
31/01/2014,15,Commercial Street at Barratts,Friday,2014,1,January,5,2142
31/01/2014,15,Headrow,Friday,2014,1,January,5,1158
31/01/2014,15,Dortmund Square ,Friday,2014,1,January,5,3863
31/01/2014,15,Albion Street South,Friday,2014,1,January,5,879
31/01/2014,15,Albion Street North,Friday,2014,1,January,5,857
31/01/2014,16,Briggate,Friday,2014,1,January,5,2404
31/01/2014,16,Briggate at McDonalds ,Friday,2014,1,January,5,1260
31/01/2014,16,Commercial Street at Lush,Friday,2014,1,January,5,1021
31/01/2014,16,Commercial Street at Barratts,Friday,2014,1,January,5,1525
31/01/2014,16,Headrow,Friday,2014,1,January,5,970
31/01/2014,16,Dortmund Square ,Friday,2014,1,January,5,3227
31/01/2014,16,Albion Street South,Friday,2014,1,January,5,785
31/01/2014,16,Albion Street North,Friday,2014,1,January,5,662
31/01/2014,17,Briggate,Friday,2014,1,January,5,1874
31/01/2014,17,Briggate at McDonalds ,Friday,2014,1,January,5,1138
31/01/2014,17,Commercial Street at Lush,Friday,2014,1,January,5,758
31/01/2014,17,Commercial Street at Barratts,Friday,2014,1,January,5,922
31/01/2014,17,Headrow,Friday,2014,1,January,5,763
31/01/2014,17,Dortmund Square ,Friday,2014,1,January,5,2346
31/01/2014,17,Albion Street South,Friday,2014,1,January,5,1489
31/01/2014,17,Albion Street North,Friday,2014,1,January,5,619
31/01/2014,18,Briggate,Friday,2014,1,January,5,1407
31/01/2014,18,Briggate at McDonalds ,Friday,2014,1,January,5,759
31/01/2014,18,Commercial Street at Lush,Friday,2014,1,January,5,320
31/01/2014,18,Commercial Street at Barratts,Friday,2014,1,January,5,420
31/01/2014,18,Headrow,Friday,2014,1,January,5,504
31/01/2014,18,Dortmund Square ,Friday,2014,1,January,5,1308
31/01/2014,18,Albion Street South,Friday,2014,1,January,5,878
31/01/2014,18,Albion Street North,Friday,2014,1,January,5,268
31/01/2014,19,Briggate,Friday,2014,1,January,5,899
31/01/2014,19,Briggate at McDonalds ,Friday,2014,1,January,5,490
31/01/2014,19,Commercial Street at Lush,Friday,2014,1,January,5,196
31/01/2014,19,Commercial Street at Barratts,Friday,2014,1,January,5,304
31/01/2014,19,Headrow,Friday,2014,1,January,5,432
31/01/2014,19,Dortmund Square ,Friday,2014,1,January,5,1001
31/01/2014,19,Albion Street South,Friday,2014,1,January,5,766
31/01/2014,19,Albion Street North,Friday,2014,1,January,5,136
31/01/2014,20,Briggate,Friday,2014,1,January,5,740
31/01/2014,20,Briggate at McDonalds ,Friday,2014,1,January,5,375
31/01/2014,20,Commercial Street at Lush,Friday,2014,1,January,5,146
31/01/2014,20,Commercial Street at Barratts,Friday,2014,1,January,5,238
31/01/2014,20,Headrow,Friday,2014,1,January,5,286
31/01/2014,20,Dortmund Square ,Friday,2014,1,January,5,663
31/01/2014,20,Albion Street South,Friday,2014,1,January,5,650
31/01/2014,20,Albion Street North,Friday,2014,1,January,5,156
31/01/2014,21,Briggate,Friday,2014,1,January,5,564
31/01/2014,21,Briggate at McDonalds ,Friday,2014,1,January,5,216
31/01/2014,21,Commercial Street at Lush,Friday,2014,1,January,5,156
31/01/2014,21,Commercial Street at Barratts,Friday,2014,1,January,5,234
31/01/2014,21,Headrow,Friday,2014,1,January,5,270
31/01/2014,21,Dortmund Square ,Friday,2014,1,January,5,397
31/01/2014,21,Albion Street South,Friday,2014,1,January,5,468
31/01/2014,21,Albion Street North,Friday,2014,1,January,5,179
31/01/2014,22,Briggate,Friday,2014,1,January,5,662
31/01/2014,22,Briggate at McDonalds ,Friday,2014,1,January,5,360
31/01/2014,22,Commercial Street at Lush,Friday,2014,1,January,5,101
31/01/2014,22,Commercial Street at Barratts,Friday,2014,1,January,5,161
31/01/2014,22,Headrow,Friday,2014,1,January,5,252
31/01/2014,22,Dortmund Square ,Friday,2014,1,January,5,372
31/01/2014,22,Albion Street South,Friday,2014,1,January,5,473
31/01/2014,22,Albion Street North,Friday,2014,1,January,5,199
31/01/2014,23,Briggate,Friday,2014,1,January,5,954
31/01/2014,23,Briggate at McDonalds ,Friday,2014,1,January,5,393
31/01/2014,23,Commercial Street at Lush,Friday,2014,1,January,5,126
31/01/2014,23,Commercial Street at Barratts,Friday,2014,1,January,5,156
31/01/2014,23,Headrow,Friday,2014,1,January,5,248
31/01/2014,23,Dortmund Square ,Friday,2014,1,January,5,216
31/01/2014,23,Albion Street South,Friday,2014,1,January,5,353
31/01/2014,23,Albion Street North,Friday,2014,1,January,5,167
01/02/2014,0,Briggate,Saturday,2014,1,January,5,487
01/02/2014,0,Briggate at McDonalds ,Saturday,2014,1,January,5,332
01/02/2014,0,Commercial Street at Lush,Saturday,2014,1,January,5,171
01/02/2014,0,Commercial Street at Barratts,Saturday,2014,1,January,5,145
01/02/2014,0,Headrow,Saturday,2014,1,January,5,151
01/02/2014,0,Dortmund Square ,Saturday,2014,1,January,5,162
01/02/2014,0,Albion Street South,Saturday,2014,1,January,5,134
