Breed,Sex,England Total,Wales Total,Scotland Total
SD,F,"1,257",22,23
SD,M,34,1,0
SDX,F,420,5,28
SDX,M,4,0,0
SH,F,36,4,30
SH,M,3,0,0
SHO,F,236,37,64
SHO,M,8,6,6
SHOX,F,163,14,763
SHOX,M,4,1,4
SHX,F,16,3,57
SHX,M,1,0,0
SM,F,"1,460",138,553
SM,M,145,15,57
SMX,F,"6,486",650,"8,424"
SMX,M,280,24,236
SOB,,1,0,0
SOB,F,9,0,0
SOBX,F,2,0,0
SOBX,M,1,0,0
SRWX,F,1,0,1
SU,F,369,2,1
SU,M,17,0,0
SUX,F,197,3,3
SUX,M,9,0,0
TB,M,1,0,0
WA,F,0,1,0
WB,F,230,"1,218",29
WB,M,8,25,0
WBX,F,163,240,12
WBX,M,5,9,1
WG,F,21,0,10
WGX,F,1,0,0
WGX,M,1,0,0
WP,F,100,13,3
WP,M,6,2,0
WPX,F,13,2,0
WS,F,4,0,10
WS,M,3,0,4
WSX,F,27,5,132
WW,F,0,2,0
WWX,F,1,1,0
ZE,F,3,3,1
ZE,M,1,0,1
Unknown,F,103,17,23
Unknown,M,9,1,3
County Totals,,"109,513","24,225","45,350"
