LAD17CD,LAD17NM,CSP17CD,CSP17NM,PFA17CD,PFA17NM,FID
E06000034,Thurrock,E22000091,Thurrock,E23000028,Essex,34
E06000035,Medway,E22000143,Medway,E23000032,Kent,35
E06000036,Bracknell Forest,E22000304,Bracknell Forest,E23000029,Thames Valley,36
E06000037,West Berkshire,E22000314,West Berkshire,E23000029,Thames Valley,37
E06000038,Reading,E22000309,Reading,E23000029,Thames Valley,38
E06000039,Slough,E22000310,Slough,E23000029,Thames Valley,39
E06000040,Windsor and Maidenhead,E22000316,Windsor and Maidenhead,E23000029,Thames Valley,40
E06000041,Wokingham,E22000317,Wokingham,E23000029,Thames Valley,41
E06000042,Milton Keynes,E22000307,Milton Keynes,E23000029,Thames Valley,42
E06000043,Brighton and Hove,E22000292,Brighton and Hove,E23000033,Sussex,43
E06000044,Portsmouth,E22000118,Portsmouth,E23000030,Hampshire,44
E06000045,Southampton,E22000120,Southampton,E23000030,Hampshire,45
E06000046,Isle of Wight,E22000116,Isle of Wight,E23000030,Hampshire,46
E06000047,County Durham,E22000365,County Durham,E23000008,Durham,47
E06000057,Northumberland,E22000358,Northumberland,E23000007,Northumbria,48
E07000144,Broadland,E22000219,Broadland,E23000024,Norfolk,49
E06000049,Cheshire East,E22000354,Cheshire East,E23000006,Cheshire,50
E06000050,Cheshire West and Chester,E22000355,Cheshire West and Chester,E23000006,Cheshire,51
E06000051,Shropshire,E22000360,Shropshire,E23000016,West Mercia,52
E06000052,Cornwall,E22000356,Cornwall,E23000035,Devon & Cornwall,53
E06000053,Isles of Scilly,E22000050,Isles of Scilly,E23000035,Devon & Cornwall,54
E06000054,Wiltshire,E22000361,Wiltshire,E23000038,Wiltshire,55
E06000055,Bedford,E22000009,Bedford,E23000026,Bedfordshire,56
E06000056,Central Bedfordshire,E22000353,Central Bedfordshire,E23000026,Bedfordshire,57
E07000004,Aylesbury Vale,E22000303,Aylesbury Vale,E23000029,Thames Valley,58
E07000005,Chiltern,E22000306,Chiltern,E23000029,Thames Valley,59
E07000145,Great Yarmouth,E22000220,Great Yarmouth,E23000024,Norfolk,60
E07000146,King's Lynn and West Norfolk,E22000221,King's Lynn and West Norfolk,E23000024,Norfolk,61
E07000147,North Norfolk,E22000222,North Norfolk,E23000024,Norfolk,62
E07000148,Norwich,E22000223,Norwich,E23000024,Norfolk,63
E07000149,South Norfolk,E22000224,South Norfolk,E23000024,Norfolk,64
E07000150,Corby,E22000233,Corby,E23000022,Northamptonshire,65
E07000151,Daventry,E22000357,Daventry and South Northamptonshire,E23000022,Northamptonshire,66
E07000152,East Northamptonshire,E22000235,East Northamptonshire,E23000022,Northamptonshire,67
E07000153,Kettering,E22000236,Kettering,E23000022,Northamptonshire,68
E07000154,Northampton,E22000237,Northampton,E23000022,Northamptonshire,69
E07000155,South Northamptonshire,E22000357,Daventry and South Northamptonshire,E23000022,Northamptonshire,70
E07000156,Wellingborough,E22000239,Wellingborough,E23000022,Northamptonshire,71
E07000163,Craven,E22000372,North Yorkshire,E23000009,North Yorkshire,72
E07000164,Hambleton,E22000372,North Yorkshire,E23000009,North Yorkshire,73
E07000165,Harrogate,E22000372,North Yorkshire,E23000009,North Yorkshire,74
E07000166,Richmondshire,E22000372,North Yorkshire,E23000009,North Yorkshire,75
E07000167,Ryedale,E22000372,North Yorkshire,E23000009,North Yorkshire,76
