objectid,ttwa01cd,ttwa01cdo,ttwa01nm,st_areashape,st_lengthshape
103,E30000092,146,Matlock,650650262.72812,189706.37865415
104,E30000093,148,Middlesbrough & Stockton,762278409.661183,294501.354728858
105,E30000094,150,Milton Keynes & Aylesbury,1140398433.58644,259418.340453044
106,E30000095,151,Minehead,572370995.235903,149481.628394825
107,E30000096,154,"Morpeth, Ashington & Alnwick",1641909297.86312,320518.714573276
108,E30000097,156,Newbury,946640099.838457,203116.174791077
109,E30000098,157,Newcastle & Durham,1245777534.86342,377044.737476632
110,E30000099,162,Northallerton & Thirsk,1041074339.65993,275285.219517343
111,E30000100,163,Northampton & Wellingborough,1156035782.49109,296611.949335031
112,E30000101,164,Norwich,1971826622.39255,525935.549927288
113,E30000102,165,Nottingham,908618725.831216,220926.683072082
114,E30000103,167,Okehampton,571193801.820682,170798.102979452
115,E30000104,171,Oxford,1819009870.39793,374358.774594015
116,E30000105,172,Paignton & Totnes,344470438.496951,247244.779605126
117,E30000106,174,Penrith & Appleby,1957865472.55603,271597.267434758
118,E30000107,175,Penzance & Isles of Scilly,313724960.506152,278003.255986
119,E30000108,177,Peterborough,1570468970.50423,326680.983710858
120,E30000109,180,Plymouth,1195997527.13028,520020.034531621
121,E30000110,181,Poole,507621793.879199,315379.043507671
122,E30000111,183,Portsmouth,853377180.378733,371020.433127448
123,E30000112,184,Preston,938387777.760721,359978.900731777
124,E30000113,186,Reading & Bracknell,725961945.506392,214615.154880082
125,E30000114,188,Richmond & Catterick,622081696.597315,173539.897410756
126,E30000115,189,Rochdale & Oldham,318583612.852462,106804.858266685
127,E30000116,190,Rugby,266630265.780203,129013.260344852
128,E30000117,191,Salisbury,1270759255.2905,271808.923462517
129,E30000118,192,Scarborough,415505407.767399,132796.165316017
130,E30000119,193,Scunthorpe,768588909.521271,236254.102354605
131,E30000120,194,Shaftesbury & Blandford Forum,815863226.847572,210321.223986054
132,E30000121,195,Sheffield & Rotherham,793626887.237351,211689.713627391
133,E30000122,197,Shrewsbury,1115505574.06271,275705.658752612
134,E30000123,198,Skegness,509063441.034168,186822.151626664
135,E30000124,200,South Holland,742342268.87735,193538.323040756
136,E30000125,201,Southampton,1338068028.58341,447965.938393891
137,E30000126,202,Southend & Brentwood,519408019.550675,319301.341128457
138,E30000127,204,St Austell,1059985097.15794,369009.451333593
139,E30000128,205,Stafford,611852840.789399,139269.269098325
140,E30000129,206,Stevenage,722665412.307134,197978.91190547
141,E30000130,208,Stoke-on-Trent,1045688492.49345,290918.457930647
142,E30000131,211,Sunderland,255497323.300249,157115.808851132
143,E30000132,213,Swindon,2200270095.36932,367547.440916825
144,E30000133,214,Taunton,751468235.976513,225675.900930809
145,E30000134,215,Telford & Bridgnorth,879415851.84171,265142.990610368
146,E30000135,216,Thetford & Mildenhall,1106356626.42932,239728.987253635
147,E30000136,218,Tiverton,535057946.84704,203795.733980425
148,E30000137,219,Torquay,53356463.5541398,53162.514624649
149,E30000138,220,Trowbridge & Warminster,627965206.62219,195175.669531309
150,E30000139,221,"Truro, Redruth & Camborne",546789304.477143,312539.281963675
151,E30000140,222,Tunbridge Wells,1056651871.66997,274838.69879598
152,E30000141,224,Wadebridge,279595285.432431,191264.646418256
153,E30000142,225,Wakefield & Castleford,468705887.463963,159011.936626704
154,E30000143,226,Walsall & Cannock,385808251.339729,140784.746362305
155,E30000144,227,Warrington & Wigan,712956016.143906,236615.744781665
156,E30000145,228,Warwick & Stratford-upon-Avon,1031115577.17793,288929.809523363
157,E30000146,229,Wells & Shepton Mallet,620635456.274156,181871.674083713
158,E30000147,230,Whitby,470453297.532562,140494.836881666
159,E30000148,231,Whitehaven,721610450.800883,228047.414942293
160,E30000149,233,Wirral & Ellesmere Port,245450843.401606,148948.719261968
161,E30000150,234,Wisbech,486092519.790023,186894.108546003
162,E30000151,235,Wolverhampton,405409543.374636,135401.50585816
163,E30000152,236,Worcester & Malvern,902039345.992833,250955.42499671
164,E30000153,237,Workington & Keswick,866955658.783362,177521.71515766
165,E30000154,238,Worksop & Retford,598732531.510201,163533.604148535
166,E30000155,239,Worthing,190512984.10423,133079.991148522
167,E30000156,241,Wycombe & Slough,901724794.017135,214302.605691487
168,E30000157,242,Yeovil & Chard,1094652124.20198,242150.49207272
169,E30000158,243,York,1720637773.92771,417448.841869118
170,K01000001,018,Berwick,1989612999.34483,382797.976628386
171,K01000002,028,Brecon,1240745159.56123,223588.04605082
172,K01000003,046,Carlisle,1960737092.10357,564273.546453577
173,K01000004,050,Chester & Flint,674247704.516145,262935.482012972
174,K01000005,152,Monmouth & Cinderford,599213676.640265,202518.864405864
175,K01000006,158,Newport & Cwmbran,718068931.473262,303216.965759897
176,K01000007,170,Oswestry,911962874.151019,188735.286944424
177,K01000008,240,Wrexham & Whitchurch,818293140.132018,234260.739498676
178,S22000001,001,Aberdeen,5173753601.07775,594506.907335379
179,S22000002,005,Ayr & Kilmarnock,2379199767.4216,400717.123017158
180,S22000003,006,Badenoch,2242404504.02464,372653.793846312
181,S22000004,009,Banff,672535385.433933,177401.678973794
182,S22000005,042,Campbeltown,624284911.700059,202206.341950904
183,S22000006,068,Dornoch & Lairg,2945653366.19449,406942.272566764
184,S22000007,071,Dumbarton,537940743.639354,262638.91519206
185,S22000008,072,Dumfries & Annan,2565844085.8852,450378.502576032
186,S22000009,073,Dundee,499204765.961017,224059.785146559
187,S22000010,074,Dunfermline,291649420.111718,134937.456135791
188,S22000011,076,Dunoon & Bute,1037342577.32596,346733.248222596
189,S22000012,079,Edinburgh,1323060343.3835,343200.644855926
190,S22000013,080,Eilean Siar,2998251313.96141,1813763.16180007
191,S22000014,083,Falkirk,333028261.065273,149563.870592061
192,S22000015,086,Forfar & Montrose,1875789569.92505,295151.234770249
193,S22000016,087,Fraserburgh,273559059.726371,112340.667245359
194,S22000017,088,Galashiels & Peebles,2288793757.70985,342895.374424515
195,S22000018,089,Glasgow,1052882506.98155,359015.201100681
196,S22000019,093,Greenock,185192175.648431,87150.1419384817
197,S22000020,102,Hawick,1000390083.43315,195038.463853138
198,S22000021,110,Invergordon,826458517.975869,191709.918354174
199,S22000022,111,Inverness & Dingwall,5033687279.50674,791436.592349937
