sample,date,latitude,longitude,size,sex,season,analyte,measured_value,lod,units,value,detected
TYP111215-02,12/15/2011,32.57003,-80.19822,L,male,fall,corticosterone,NA,0.484,ng/g ww,0.484,FALSE
TYP120110-02,1/10/2012,32.65757,-80.01073,M,male,winter,corticosterone,NA,0.484,ng/g ww,0.484,FALSE
TYP120112-01,1/12/2012,32.81717,-79.92647,M,male,winter,corticosterone,NA,0.484,ng/g ww,0.484,FALSE
TYP120112-02,1/12/2012,32.81272,-79.91814,L,male,winter,corticosterone,NA,0.484,ng/g ww,0.484,FALSE
TYP120119-01,1/19/2012,32.55066,-80.45466,L,male,winter,corticosterone,0.66,0.484,ng/g ww,0.66,TRUE
TYP120119-03,1/19/2012,32.53057,-80.41205,L,male,winter,corticosterone,NA,0.484,ng/g ww,0.484,FALSE
TYP120119-04,1/19/2012,32.52467,-80.40909,M,male,winter,corticosterone,NA,0.484,ng/g ww,0.484,FALSE
TYP120120-01,1/20/2012,32.53066,-80.3572,L,male,winter,corticosterone,NA,0.484,ng/g ww,0.484,FALSE
TYP120217-01,2/17/2012,32.77552,-79.91837,L,male,winter,corticosterone,NA,0.484,ng/g ww,0.484,FALSE
TYP120217-02,2/17/2012,32.78398,-79.92317,L,male,winter,corticosterone,NA,0.484,ng/g ww,0.484,FALSE
TYP120217-03,2/17/2012,32.77087,-79.92567,L,male,winter,corticosterone,NA,0.484,ng/g ww,0.484,FALSE
TYP120217-04,2/17/2012,32.77467,-79.95071,L,male,winter,corticosterone,NA,0.484,ng/g ww,0.484,FALSE
TYP120217-05,2/17/2012,32.7442,-79.87368,L,male,winter,corticosterone,NA,0.484,ng/g ww,0.484,FALSE
TYP120222-01,2/22/2012,32.50465,-80.45399,L,male,winter,corticosterone,0.596,0.484,ng/g ww,0.596,TRUE
TYP120222-02,2/22/2012,32.48022,-80.47798,L,male,winter,corticosterone,NA,0.484,ng/g ww,0.484,FALSE
TYP120222-04,2/22/2012,32.45397,-80.52129,L,male,winter,corticosterone,NA,0.484,ng/g ww,0.484,FALSE
TYP120223-03,2/23/2012,32.50501,-80.45623,L,male,winter,corticosterone,0.587,0.484,ng/g ww,0.587,TRUE
TYP120228-01,2/28/2012,32.59929,-80.20278,M,male,winter,corticosterone,NA,0.484,ng/g ww,0.484,FALSE
TYP120228-02,2/28/2012,32.57491,-80.20242,M,male,winter,corticosterone,NA,0.484,ng/g ww,0.484,FALSE
TYP120322-02,3/22/2012,32.81764,-79.91458,L,male,spring,corticosterone,NA,0.484,ng/g ww,0.484,FALSE
TYP120322-03,3/22/2012,32.81231,-79.91724,L,male,spring,corticosterone,NA,0.484,ng/g ww,0.484,FALSE
TYP120322-04,3/22/2012,32.75439,-79.90849,L,male,spring,corticosterone,0.618,0.484,ng/g ww,0.618,TRUE
TYP120328-01,3/28/2012,32.56975,-80.20721,L,male,spring,corticosterone,NA,0.484,ng/g ww,0.484,FALSE
TYP120328-02,3/28/2012,32.563*,-80.193*,L,male,spring,corticosterone,0.554,0.484,ng/g ww,0.554,TRUE
TYP120328-03,3/28/2012,32.561*,-80.181*,L,male,spring,corticosterone,1.03,0.484,ng/g ww,1.03,TRUE
TYP120404-02,4/4/2012,32.65739,-79.96301,L,male,spring,corticosterone,NA,0.484,ng/g ww,0.484,FALSE
TYP120502-01,5/2/2012,32.77147,-79.94424,L,male,spring,corticosterone,1.63,0.484,ng/g ww,1.63,TRUE
TYP120502-02,5/2/2012,32.82911,-79.89382,L,male,spring,corticosterone,NA,0.484,ng/g ww,0.484,FALSE
TYP120502-03,5/2/2012,32.72878,-79.90706,L,male,spring,corticosterone,NA,0.484,ng/g ww,0.484,FALSE
TYP120517-01,5/17/2012,32.66219,-80.00282,L,male,spring,corticosterone,NA,0.484,ng/g ww,0.484,FALSE
TYP120517-04,5/17/2012,32.68811,-79.99229,L,male,spring,corticosterone,NA,0.484,ng/g ww,0.484,FALSE
TYP120524-01,5/24/2012,32.75612,-80.01014,L,male,spring,corticosterone,NA,0.484,ng/g ww,0.484,FALSE
TYP120619-01,6/19/2012,32.50082,-80.54573,L,male,spring,corticosterone,NA,0.484,ng/g ww,0.484,FALSE
TYP120620-01,6/20/2012,32.44863,-80.56577,L,male,summer,corticosterone,NA,0.484,ng/g ww,0.484,FALSE
TYP120620-02,6/20/2012,32.44008,-80.55183,L,male,summer,corticosterone,NA,0.484,ng/g ww,0.484,FALSE
TYP120620-03,6/20/2012,32.43996,-80.55172,L,male,summer,corticosterone,NA,0.484,ng/g ww,0.484,FALSE
TYP120620-04,6/20/2012,32.48972,-80.42776,L,male,summer,corticosterone,NA,0.484,ng/g ww,0.484,FALSE
TYP120628-03,6/28/2012,32.5485,-80.21537,L,male,summer,corticosterone,NA,0.484,ng/g ww,0.484,FALSE
TYP120628-04,6/28/2012,32.58147,-80.20526,M,male,summer,corticosterone,NA,0.484,ng/g ww,0.484,FALSE
TYP120629-01,6/29/2012,32.74507,-79.87231,M,male,summer,corticosterone,NA,0.484,ng/g ww,0.484,FALSE
TYP120629-02,6/29/2012,32.85991,-79.89228,L,male,summer,corticosterone,0.759,0.484,ng/g ww,0.759,TRUE
TYP120718-03,7/18/2012,32.57794,-80.20734,L,male,summer,corticosterone,NA,0.484,ng/g ww,0.484,FALSE
TYP120718-04,7/18/2012,32.58151,-80.22098,L,male,summer,corticosterone,NA,0.484,ng/g ww,0.484,FALSE
TYP120719-01,7/19/2012,32.76243,-79.91124,L,male,summer,corticosterone,NA,0.484,ng/g ww,0.484,FALSE
TYP120724-01,7/24/2012,32.47217,-80.42187,L,male,summer,corticosterone,NA,0.484,ng/g ww,0.484,FALSE
TYP120724-02,7/24/2012,32.52462,-80.48184,L,male,summer,corticosterone,NA,0.484,ng/g ww,0.484,FALSE
TYP120724-03,7/24/2012,32.50175,-80.52306,L,male,summer,corticosterone,2.03,0.484,ng/g ww,2.03,TRUE
TYP120724-04,7/24/2012,32.49846,-80.34969,L,male,summer,corticosterone,NA,0.484,ng/g ww,0.484,FALSE
TYP120726-01,7/26/2012,32.44485,-80.55469,L,male,summer,corticosterone,1.82,0.484,ng/g ww,1.82,TRUE
TYP120731-01,7/31/2012,32.75371,-79.90562,L,male,summer,corticosterone,0.584,0.484,ng/g ww,0.584,TRUE
TYP120731-02,7/31/2012,32.72825,-79.85874,L,male,summer,corticosterone,NA,0.484,ng/g ww,0.484,FALSE
TYP120731-03,7/31/2012,32.71359,-79.85281,L,male,summer,corticosterone,NA,0.484,ng/g ww,0.484,FALSE
TYP120731-04,7/31/2012,32.74626,-79.87216,L,male,summer,corticosterone,NA,0.484,ng/g ww,0.484,FALSE
TYP120731-05,7/31/2012,32.74382,-79.87291,L,male,summer,corticosterone,NA,0.484,ng/g ww,0.484,FALSE
TYP120814-02,8/14/2012,32.49521,-80.3481,L,male,summer,corticosterone,1.61,0.484,ng/g ww,1.61,TRUE
TYP120814-03,8/14/2012,32.49074,-80.34679,L,male,summer,corticosterone,0.858,0.484,ng/g ww,0.858,TRUE
TYP120814-04,8/14/2012,32.50057,-80.35676,L,male,summer,corticosterone,NA,0.484,ng/g ww,0.484,FALSE
TYP120814-05,8/14/2012,32.53215,-80.35588,M,male,summer,corticosterone,NA,0.484,ng/g ww,0.484,FALSE
TYP120816-01,8/16/2012,32.51784,-80.46529,L,male,summer,corticosterone,NA,0.484,ng/g ww,0.484,FALSE
TYP120816-02,8/16/2012,32.44472,-80.55397,M,male,summer,corticosterone,NA,0.484,ng/g ww,0.484,FALSE
TYP120816-03,8/16/2012,32.51823,-80.46459,L,male,summer,corticosterone,NA,0.484,ng/g ww,0.484,FALSE
TYP120823-03,8/23/2012,32.72582,-79.86312,L,male,summer,corticosterone,NA,0.484,ng/g ww,0.484,FALSE
TYP120824-01,8/24/2012,32.4962,-80.41842,L,male,summer,corticosterone,NA,0.484,ng/g ww,0.484,FALSE
TYP120824-02,8/24/2012,32.48709,-80.42071,L,male,summer,corticosterone,0.95,0.484,ng/g ww,0.95,TRUE
TYP120824-04,8/24/2012,32.48656,-80.42816,M,male,summer,corticosterone,NA,0.484,ng/g ww,0.484,FALSE
TYP120824-05,8/24/2012,32.48769,-80.42905,L,male,summer,corticosterone,0.927,0.484,ng/g ww,0.927,TRUE
TYP111205-01,12/5/2011,32.55334,-80.45541,M/L,female,winter,11-deoxycortisol,NA,0.378,ng/g ww,0.378,FALSE
TYP111205-02,12/5/2011,32.51476,-80.40867,L,female,winter,11-deoxycortisol,NA,0.378,ng/g ww,0.378,FALSE
TYP111215-01,12/15/2011,32.56793,-80.19315,M,female,winter,11-deoxycortisol,0.402,0.378,ng/g ww,0.402,TRUE
TYP120119-02,1/19/2012,32.53508,-80.41873,L,female,winter,11-deoxycortisol,0.678,0.378,ng/g ww,0.678,TRUE
TYP120119-05,1/19/2012,32.50996,-80.40843,M,female,winter,11-deoxycortisol,0.706,0.378,ng/g ww,0.706,TRUE
TYP120223-01,2/23/2012,32.51926,-80.35011,S,female,winter,11-deoxycortisol,0.504,0.378,ng/g ww,0.504,TRUE
TYP120223-02,2/23/2012,32.50039,-80.4462,L,female,winter,11-deoxycortisol,0.472,0.378,ng/g ww,0.472,TRUE
TYP120314-02,3/14/2012,32.63398,-80.014,L,female,spring,11-deoxycortisol,NA,0.378,ng/g ww,0.378,FALSE
TYP120328-04,3/28/2012,32.571*,-80.203*,M,female,spring,11-deoxycortisol,0.382,0.378,ng/g ww,0.382,TRUE
TYP120814-06,8/14/2012,32.53115,-80.4454,L,female,summer,11-deoxycortisol,0.446,0.378,ng/g ww,0.446,TRUE
TYP120823-01,8/23/2012,32.75953,-79.86294,M,female,summer,11-deoxycortisol,0.591,0.378,ng/g ww,0.591,TRUE
TYP120824-03,8/24/2012,32.47945,-80.42104,L,female,summer,11-deoxycortisol,1.49,0.378,ng/g ww,1.49,TRUE
TYP111006-02,10/6/2011,32.74203,-79.87411,L,male,fall,11-deoxycortisol,0.39,0.378,ng/g ww,0.39,TRUE
TYP111013-01,10/13/2011,32.65188,-80.01337,L,male,fall,11-deoxycortisol,NA,0.378,ng/g ww,0.378,FALSE
TYP111018-01,10/18/2011,32.81876,-79.92971,M,male,fall,11-deoxycortisol,0.446,0.378,ng/g ww,0.446,TRUE
TYP111018-02,10/18/2011,32.81787,-79.92978,M,male,fall,11-deoxycortisol,NA,0.378,ng/g ww,0.378,FALSE
TYP111018-03,10/18/2011,32.82582,-79.89954,L,male,fall,11-deoxycortisol,NA,0.378,ng/g ww,0.378,FALSE
TYP111020-01,10/20/2011,32.68402,-79.94781,M,male,fall,11-deoxycortisol,NA,0.378,ng/g ww,0.378,FALSE
TYP111020-02,10/20/2011,32.68212,-79.9481,L,male,fall,11-deoxycortisol,NA,0.378,ng/g ww,0.378,FALSE
TYP111020-03,10/20/2011,32.65676,-79.96186,L,male,fall,11-deoxycortisol,NA,0.378,ng/g ww,0.378,FALSE
TYP111020-04,10/20/2011,32.65471,-79.95841,M,male,fall,11-deoxycortisol,0.519,0.378,ng/g ww,0.519,TRUE
TYP111102-02,11/2/2011,32.78601,-79.91342,L,male,fall,11-deoxycortisol,0.383,0.378,ng/g ww,0.383,TRUE
TYP111109-01,11/9/2011,32.69154,-79.89108,L,male,fall,11-deoxycortisol,NA,0.378,ng/g ww,0.378,FALSE
TYP111115-01,11/15/2011,32.63134,-79.9989,L,male,fall,11-deoxycortisol,NA,0.378,ng/g ww,0.378,FALSE
TYP111115-02,11/15/2011,32.63316,-80.01234,L,male,fall,11-deoxycortisol,NA,0.378,ng/g ww,0.378,FALSE
TYP111130-03,11/30/2011,32.73155,-79.86607,L,male,fall,11-deoxycortisol,0.43,0.378,ng/g ww,0.43,TRUE
TYP111205-03,12/5/2011,32.46657,-80.41351,L,male,fall,11-deoxycortisol,NA,0.378,ng/g ww,0.378,FALSE
TYP111215-02,12/15/2011,32.57003,-80.19822,L,male,fall,11-deoxycortisol,0.72,0.378,ng/g ww,0.72,TRUE
TYP120110-02,1/10/2012,32.65757,-80.01073,M,male,winter,11-deoxycortisol,NA,0.378,ng/g ww,0.378,FALSE
TYP120112-01,1/12/2012,32.81717,-79.92647,M,male,winter,11-deoxycortisol,0.43,0.378,ng/g ww,0.43,TRUE
TYP120112-02,1/12/2012,32.81272,-79.91814,L,male,winter,11-deoxycortisol,0.458,0.378,ng/g ww,0.458,TRUE
TYP120119-01,1/19/2012,32.55066,-80.45466,L,male,winter,11-deoxycortisol,2.16,0.378,ng/g ww,2.16,TRUE
TYP120119-03,1/19/2012,32.53057,-80.41205,L,male,winter,11-deoxycortisol,0.597,0.378,ng/g ww,0.597,TRUE
TYP120119-04,1/19/2012,32.52467,-80.40909,M,male,winter,11-deoxycortisol,NA,0.378,ng/g ww,0.378,FALSE
TYP120120-01,1/20/2012,32.53066,-80.3572,L,male,winter,11-deoxycortisol,0.474,0.378,ng/g ww,0.474,TRUE
TYP120217-01,2/17/2012,32.77552,-79.91837,L,male,winter,11-deoxycortisol,NA,0.378,ng/g ww,0.378,FALSE
TYP120217-02,2/17/2012,32.78398,-79.92317,L,male,winter,11-deoxycortisol,0.545,0.378,ng/g ww,0.545,TRUE
TYP120217-03,2/17/2012,32.77087,-79.92567,L,male,winter,11-deoxycortisol,NA,0.378,ng/g ww,0.378,FALSE
TYP120217-04,2/17/2012,32.77467,-79.95071,L,male,winter,11-deoxycortisol,1.24,0.378,ng/g ww,1.24,TRUE
TYP120217-05,2/17/2012,32.7442,-79.87368,L,male,winter,11-deoxycortisol,0.59,0.378,ng/g ww,0.59,TRUE
TYP120222-01,2/22/2012,32.50465,-80.45399,L,male,winter,11-deoxycortisol,0.766,0.378,ng/g ww,0.766,TRUE
TYP120222-02,2/22/2012,32.48022,-80.47798,L,male,winter,11-deoxycortisol,0.833,0.378,ng/g ww,0.833,TRUE
TYP120222-04,2/22/2012,32.45397,-80.52129,L,male,winter,11-deoxycortisol,NA,0.378,ng/g ww,0.378,FALSE
TYP120223-03,2/23/2012,32.50501,-80.45623,L,male,winter,11-deoxycortisol,0.505,0.378,ng/g ww,0.505,TRUE
TYP120228-01,2/28/2012,32.59929,-80.20278,M,male,winter,11-deoxycortisol,0.501,0.378,ng/g ww,0.501,TRUE
TYP120228-02,2/28/2012,32.57491,-80.20242,M,male,winter,11-deoxycortisol,NA,0.378,ng/g ww,0.378,FALSE
TYP120322-02,3/22/2012,32.81764,-79.91458,L,male,spring,11-deoxycortisol,0.554,0.378,ng/g ww,0.554,TRUE
TYP120322-03,3/22/2012,32.81231,-79.91724,L,male,spring,11-deoxycortisol,0.668,0.378,ng/g ww,0.668,TRUE
TYP120322-04,3/22/2012,32.75439,-79.90849,L,male,spring,11-deoxycortisol,0.444,0.378,ng/g ww,0.444,TRUE
TYP120328-01,3/28/2012,32.56975,-80.20721,L,male,spring,11-deoxycortisol,NA,0.378,ng/g ww,0.378,FALSE
TYP120328-02,3/28/2012,32.563*,-80.193*,L,male,spring,11-deoxycortisol,0.569,0.378,ng/g ww,0.569,TRUE
TYP120328-03,3/28/2012,32.561*,-80.181*,L,male,spring,11-deoxycortisol,0.712,0.378,ng/g ww,0.712,TRUE
TYP120404-02,4/4/2012,32.65739,-79.96301,L,male,spring,11-deoxycortisol,NA,0.378,ng/g ww,0.378,FALSE
TYP120502-01,5/2/2012,32.77147,-79.94424,L,male,spring,11-deoxycortisol,1.73,0.378,ng/g ww,1.73,TRUE
TYP120502-02,5/2/2012,32.82911,-79.89382,L,male,spring,11-deoxycortisol,0.455,0.378,ng/g ww,0.455,TRUE
TYP120502-03,5/2/2012,32.72878,-79.90706,L,male,spring,11-deoxycortisol,NA,0.378,ng/g ww,0.378,FALSE
TYP120517-01,5/17/2012,32.66219,-80.00282,L,male,spring,11-deoxycortisol,0.563,0.378,ng/g ww,0.563,TRUE
TYP120517-04,5/17/2012,32.68811,-79.99229,L,male,spring,11-deoxycortisol,0.548,0.378,ng/g ww,0.548,TRUE
TYP120524-01,5/24/2012,32.75612,-80.01014,L,male,spring,11-deoxycortisol,NA,0.378,ng/g ww,0.378,FALSE
TYP120619-01,6/19/2012,32.50082,-80.54573,L,male,spring,11-deoxycortisol,NA,0.378,ng/g ww,0.378,FALSE
TYP120620-01,6/20/2012,32.44863,-80.56577,L,male,summer,11-deoxycortisol,0.383,0.378,ng/g ww,0.383,TRUE
TYP120620-02,6/20/2012,32.44008,-80.55183,L,male,summer,11-deoxycortisol,NA,0.378,ng/g ww,0.378,FALSE
TYP120620-03,6/20/2012,32.43996,-80.55172,L,male,summer,11-deoxycortisol,NA,0.378,ng/g ww,0.378,FALSE
TYP120620-04,6/20/2012,32.48972,-80.42776,L,male,summer,11-deoxycortisol,NA,0.378,ng/g ww,0.378,FALSE
TYP120628-03,6/28/2012,32.5485,-80.21537,L,male,summer,11-deoxycortisol,NA,0.378,ng/g ww,0.378,FALSE
TYP120628-04,6/28/2012,32.58147,-80.20526,M,male,summer,11-deoxycortisol,0.44,0.378,ng/g ww,0.44,TRUE
TYP120629-01,6/29/2012,32.74507,-79.87231,M,male,summer,11-deoxycortisol,NA,0.378,ng/g ww,0.378,FALSE
TYP120629-02,6/29/2012,32.85991,-79.89228,L,male,summer,11-deoxycortisol,1.63,0.378,ng/g ww,1.63,TRUE
TYP120718-03,7/18/2012,32.57794,-80.20734,L,male,summer,11-deoxycortisol,NA,0.378,ng/g ww,0.378,FALSE
TYP120718-04,7/18/2012,32.58151,-80.22098,L,male,summer,11-deoxycortisol,NA,0.378,ng/g ww,0.378,FALSE
TYP120719-01,7/19/2012,32.76243,-79.91124,L,male,summer,11-deoxycortisol,0.648,0.378,ng/g ww,0.648,TRUE
TYP120724-01,7/24/2012,32.47217,-80.42187,L,male,summer,11-deoxycortisol,0.382,0.378,ng/g ww,0.382,TRUE
TYP120724-02,7/24/2012,32.52462,-80.48184,L,male,summer,11-deoxycortisol,NA,0.378,ng/g ww,0.378,FALSE
TYP120724-03,7/24/2012,32.50175,-80.52306,L,male,summer,11-deoxycortisol,0.756,0.378,ng/g ww,0.756,TRUE
TYP120724-04,7/24/2012,32.49846,-80.34969,L,male,summer,11-deoxycortisol,0.467,0.378,ng/g ww,0.467,TRUE
TYP120726-01,7/26/2012,32.44485,-80.55469,L,male,summer,11-deoxycortisol,1.48,0.378,ng/g ww,1.48,TRUE
TYP120731-01,7/31/2012,32.75371,-79.90562,L,male,summer,11-deoxycortisol,0.482,0.378,ng/g ww,0.482,TRUE
TYP120731-02,7/31/2012,32.72825,-79.85874,L,male,summer,11-deoxycortisol,0.558,0.378,ng/g ww,0.558,TRUE
TYP120731-03,7/31/2012,32.71359,-79.85281,L,male,summer,11-deoxycortisol,NA,0.378,ng/g ww,0.378,FALSE
TYP120731-04,7/31/2012,32.74626,-79.87216,L,male,summer,11-deoxycortisol,NA,0.378,ng/g ww,0.378,FALSE
TYP120731-05,7/31/2012,32.74382,-79.87291,L,male,summer,11-deoxycortisol,0.442,0.378,ng/g ww,0.442,TRUE
TYP120814-02,8/14/2012,32.49521,-80.3481,L,male,summer,11-deoxycortisol,1.17,0.378,ng/g ww,1.17,TRUE
TYP120814-03,8/14/2012,32.49074,-80.34679,L,male,summer,11-deoxycortisol,0.48,0.378,ng/g ww,0.48,TRUE
TYP120814-04,8/14/2012,32.50057,-80.35676,L,male,summer,11-deoxycortisol,NA,0.378,ng/g ww,0.378,FALSE
TYP120814-05,8/14/2012,32.53215,-80.35588,M,male,summer,11-deoxycortisol,0.396,0.378,ng/g ww,0.396,TRUE
TYP120816-01,8/16/2012,32.51784,-80.46529,L,male,summer,11-deoxycortisol,NA,0.378,ng/g ww,0.378,FALSE
TYP120816-02,8/16/2012,32.44472,-80.55397,M,male,summer,11-deoxycortisol,0.485,0.378,ng/g ww,0.485,TRUE
TYP120816-03,8/16/2012,32.51823,-80.46459,L,male,summer,11-deoxycortisol,0.502,0.378,ng/g ww,0.502,TRUE
TYP120823-03,8/23/2012,32.72582,-79.86312,L,male,summer,11-deoxycortisol,NA,0.378,ng/g ww,0.378,FALSE
TYP120824-01,8/24/2012,32.4962,-80.41842,L,male,summer,11-deoxycortisol,0.44,0.378,ng/g ww,0.44,TRUE
TYP120824-02,8/24/2012,32.48709,-80.42071,L,male,summer,11-deoxycortisol,0.91,0.378,ng/g ww,0.91,TRUE
TYP120824-04,8/24/2012,32.48656,-80.42816,M,male,summer,11-deoxycortisol,NA,0.378,ng/g ww,0.378,FALSE
TYP120824-05,8/24/2012,32.48769,-80.42905,L,male,summer,11-deoxycortisol,1.33,0.378,ng/g ww,1.33,TRUE
TYP111205-01,12/5/2011,32.55334,-80.45541,M/L,female,winter,17-hydroxyprogesterone,NA,0.577,ng/g ww,0.577,FALSE
TYP111205-02,12/5/2011,32.51476,-80.40867,L,female,winter,17-hydroxyprogesterone,NA,0.577,ng/g ww,0.577,FALSE
TYP111215-01,12/15/2011,32.56793,-80.19315,M,female,winter,17-hydroxyprogesterone,1.33,0.577,ng/g ww,1.33,TRUE
TYP120119-02,1/19/2012,32.53508,-80.41873,L,female,winter,17-hydroxyprogesterone,NA,0.577,ng/g ww,0.577,FALSE
TYP120119-05,1/19/2012,32.50996,-80.40843,M,female,winter,17-hydroxyprogesterone,NA,0.577,ng/g ww,0.577,FALSE
TYP120223-01,2/23/2012,32.51926,-80.35011,S,female,winter,17-hydroxyprogesterone,NA,0.577,ng/g ww,0.577,FALSE
TYP120223-02,2/23/2012,32.50039,-80.4462,L,female,winter,17-hydroxyprogesterone,NA,0.577,ng/g ww,0.577,FALSE
TYP120314-02,3/14/2012,32.63398,-80.014,L,female,spring,17-hydroxyprogesterone,NA,0.577,ng/g ww,0.577,FALSE
TYP120328-04,3/28/2012,32.571*,-80.203*,M,female,spring,17-hydroxyprogesterone,NA,0.577,ng/g ww,0.577,FALSE
TYP120814-06,8/14/2012,32.53115,-80.4454,L,female,summer,17-hydroxyprogesterone,NA,0.577,ng/g ww,0.577,FALSE
TYP120823-01,8/23/2012,32.75953,-79.86294,M,female,summer,17-hydroxyprogesterone,NA,0.577,ng/g ww,0.577,FALSE
TYP120824-03,8/24/2012,32.47945,-80.42104,L,female,summer,17-hydroxyprogesterone,NA,0.577,ng/g ww,0.577,FALSE
TYP111006-02,10/6/2011,32.74203,-79.87411,L,male,fall,17-hydroxyprogesterone,0.895,0.577,ng/g ww,0.895,TRUE
TYP111013-01,10/13/2011,32.65188,-80.01337,L,male,fall,17-hydroxyprogesterone,2.47,0.577,ng/g ww,2.47,TRUE
TYP111018-01,10/18/2011,32.81876,-79.92971,M,male,fall,17-hydroxyprogesterone,NA,0.577,ng/g ww,0.577,FALSE
TYP111018-02,10/18/2011,32.81787,-79.92978,M,male,fall,17-hydroxyprogesterone,NA,0.577,ng/g ww,0.577,FALSE
TYP111018-03,10/18/2011,32.82582,-79.89954,L,male,fall,17-hydroxyprogesterone,1.55,0.577,ng/g ww,1.55,TRUE
TYP111020-01,10/20/2011,32.68402,-79.94781,M,male,fall,17-hydroxyprogesterone,NA,0.577,ng/g ww,0.577,FALSE
TYP111020-02,10/20/2011,32.68212,-79.9481,L,male,fall,17-hydroxyprogesterone,NA,0.577,ng/g ww,0.577,FALSE
TYP111020-03,10/20/2011,32.65676,-79.96186,L,male,fall,17-hydroxyprogesterone,NA,0.577,ng/g ww,0.577,FALSE
TYP111020-04,10/20/2011,32.65471,-79.95841,M,male,fall,17-hydroxyprogesterone,NA,0.577,ng/g ww,0.577,FALSE
TYP111102-02,11/2/2011,32.78601,-79.91342,L,male,fall,17-hydroxyprogesterone,NA,0.577,ng/g ww,0.577,FALSE
TYP111109-01,11/9/2011,32.69154,-79.89108,L,male,fall,17-hydroxyprogesterone,NA,0.577,ng/g ww,0.577,FALSE
TYP111115-01,11/15/2011,32.63134,-79.9989,L,male,fall,17-hydroxyprogesterone,NA,0.577,ng/g ww,0.577,FALSE
TYP111115-02,11/15/2011,32.63316,-80.01234,L,male,fall,17-hydroxyprogesterone,0.894,0.577,ng/g ww,0.894,TRUE
TYP111130-03,11/30/2011,32.73155,-79.86607,L,male,fall,17-hydroxyprogesterone,1.03,0.577,ng/g ww,1.03,TRUE
TYP111205-03,12/5/2011,32.46657,-80.41351,L,male,fall,17-hydroxyprogesterone,1.12,0.577,ng/g ww,1.12,TRUE
TYP111215-02,12/15/2011,32.57003,-80.19822,L,male,fall,17-hydroxyprogesterone,NA,0.577,ng/g ww,0.577,FALSE
TYP120110-02,1/10/2012,32.65757,-80.01073,M,male,winter,17-hydroxyprogesterone,NA,0.577,ng/g ww,0.577,FALSE
TYP120112-01,1/12/2012,32.81717,-79.92647,M,male,winter,17-hydroxyprogesterone,3.17,0.577,ng/g ww,3.17,TRUE
TYP120112-02,1/12/2012,32.81272,-79.91814,L,male,winter,17-hydroxyprogesterone,1.85,0.577,ng/g ww,1.85,TRUE
TYP120119-01,1/19/2012,32.55066,-80.45466,L,male,winter,17-hydroxyprogesterone,1.75,0.577,ng/g ww,1.75,TRUE
TYP120119-03,1/19/2012,32.53057,-80.41205,L,male,winter,17-hydroxyprogesterone,NA,0.577,ng/g ww,0.577,FALSE
TYP120119-04,1/19/2012,32.52467,-80.40909,M,male,winter,17-hydroxyprogesterone,NA,0.577,ng/g ww,0.577,FALSE
TYP120120-01,1/20/2012,32.53066,-80.3572,L,male,winter,17-hydroxyprogesterone,1.58,0.577,ng/g ww,1.58,TRUE
TYP120217-01,2/17/2012,32.77552,-79.91837,L,male,winter,17-hydroxyprogesterone,5.21,0.577,ng/g ww,5.21,TRUE
TYP120217-02,2/17/2012,32.78398,-79.92317,L,male,winter,17-hydroxyprogesterone,3.09,0.577,ng/g ww,3.09,TRUE
TYP120217-03,2/17/2012,32.77087,-79.92567,L,male,winter,17-hydroxyprogesterone,1.35,0.577,ng/g ww,1.35,TRUE
TYP120217-04,2/17/2012,32.77467,-79.95071,L,male,winter,17-hydroxyprogesterone,3.06,0.577,ng/g ww,3.06,TRUE
TYP120217-05,2/17/2012,32.7442,-79.87368,L,male,winter,17-hydroxyprogesterone,1.79,0.577,ng/g ww,1.79,TRUE
TYP120222-01,2/22/2012,32.50465,-80.45399,L,male,winter,17-hydroxyprogesterone,2.31,0.577,ng/g ww,2.31,TRUE
TYP120222-02,2/22/2012,32.48022,-80.47798,L,male,winter,17-hydroxyprogesterone,3.99,0.577,ng/g ww,3.99,TRUE
TYP120222-04,2/22/2012,32.45397,-80.52129,L,male,winter,17-hydroxyprogesterone,2.15,0.577,ng/g ww,2.15,TRUE
TYP120223-03,2/23/2012,32.50501,-80.45623,L,male,winter,17-hydroxyprogesterone,3.39,0.577,ng/g ww,3.39,TRUE
TYP120228-01,2/28/2012,32.59929,-80.20278,M,male,winter,17-hydroxyprogesterone,NA,0.577,ng/g ww,0.577,FALSE
TYP120228-02,2/28/2012,32.57491,-80.20242,M,male,winter,17-hydroxyprogesterone,NA,0.577,ng/g ww,0.577,FALSE
TYP120322-02,3/22/2012,32.81764,-79.91458,L,male,spring,17-hydroxyprogesterone,5.43,0.577,ng/g ww,5.43,TRUE
TYP120322-03,3/22/2012,32.81231,-79.91724,L,male,spring,17-hydroxyprogesterone,2.28,0.577,ng/g ww,2.28,TRUE
TYP120322-04,3/22/2012,32.75439,-79.90849,L,male,spring,17-hydroxyprogesterone,5.72,0.577,ng/g ww,5.72,TRUE
TYP120328-01,3/28/2012,32.56975,-80.20721,L,male,spring,17-hydroxyprogesterone,4.51,0.577,ng/g ww,4.51,TRUE
TYP120328-02,3/28/2012,32.563*,-80.193*,L,male,spring,17-hydroxyprogesterone,3.35,0.577,ng/g ww,3.35,TRUE
TYP120328-03,3/28/2012,32.561*,-80.181*,L,male,spring,17-hydroxyprogesterone,2.96,0.577,ng/g ww,2.96,TRUE
