sample,date,latitude,longitude,size,sex,season,analyte,measured_value,lod,units,value,detected
TYP120328-03,3/28/2012,32.561*,-80.181*,L,male,spring,cortisone,NA,0.168,ng/g ww,0.168,FALSE
TYP120404-02,4/4/2012,32.65739,-79.96301,L,male,spring,cortisone,NA,0.168,ng/g ww,0.168,FALSE
TYP120502-01,5/2/2012,32.77147,-79.94424,L,male,spring,cortisone,1.85,0.168,ng/g ww,1.85,TRUE
TYP120502-02,5/2/2012,32.82911,-79.89382,L,male,spring,cortisone,NA,0.168,ng/g ww,0.168,FALSE
TYP120502-03,5/2/2012,32.72878,-79.90706,L,male,spring,cortisone,NA,0.168,ng/g ww,0.168,FALSE
TYP120517-01,5/17/2012,32.66219,-80.00282,L,male,spring,cortisone,0.459,0.168,ng/g ww,0.459,TRUE
TYP120517-04,5/17/2012,32.68811,-79.99229,L,male,spring,cortisone,NA,0.168,ng/g ww,0.168,FALSE
TYP120524-01,5/24/2012,32.75612,-80.01014,L,male,spring,cortisone,NA,0.168,ng/g ww,0.168,FALSE
TYP120619-01,6/19/2012,32.50082,-80.54573,L,male,spring,cortisone,NA,0.168,ng/g ww,0.168,FALSE
TYP120620-01,6/20/2012,32.44863,-80.56577,L,male,summer,cortisone,NA,0.168,ng/g ww,0.168,FALSE
TYP120620-02,6/20/2012,32.44008,-80.55183,L,male,summer,cortisone,0.199,0.168,ng/g ww,0.199,TRUE
TYP120620-03,6/20/2012,32.43996,-80.55172,L,male,summer,cortisone,0.206,0.168,ng/g ww,0.206,TRUE
TYP120620-04,6/20/2012,32.48972,-80.42776,L,male,summer,cortisone,NA,0.168,ng/g ww,0.168,FALSE
TYP120628-03,6/28/2012,32.5485,-80.21537,L,male,summer,cortisone,NA,0.168,ng/g ww,0.168,FALSE
TYP120628-04,6/28/2012,32.58147,-80.20526,M,male,summer,cortisone,NA,0.168,ng/g ww,0.168,FALSE
TYP120629-01,6/29/2012,32.74507,-79.87231,M,male,summer,cortisone,NA,0.168,ng/g ww,0.168,FALSE
TYP120629-02,6/29/2012,32.85991,-79.89228,L,male,summer,cortisone,NA,0.168,ng/g ww,0.168,FALSE
TYP120718-03,7/18/2012,32.57794,-80.20734,L,male,summer,cortisone,NA,0.168,ng/g ww,0.168,FALSE
TYP120718-04,7/18/2012,32.58151,-80.22098,L,male,summer,cortisone,NA,0.168,ng/g ww,0.168,FALSE
TYP120719-01,7/19/2012,32.76243,-79.91124,L,male,summer,cortisone,NA,0.168,ng/g ww,0.168,FALSE
TYP120724-01,7/24/2012,32.47217,-80.42187,L,male,summer,cortisone,NA,0.168,ng/g ww,0.168,FALSE
TYP120724-02,7/24/2012,32.52462,-80.48184,L,male,summer,cortisone,0.22,0.168,ng/g ww,0.22,TRUE
TYP120724-03,7/24/2012,32.50175,-80.52306,L,male,summer,cortisone,0.239,0.168,ng/g ww,0.239,TRUE
TYP120724-04,7/24/2012,32.49846,-80.34969,L,male,summer,cortisone,NA,0.168,ng/g ww,0.168,FALSE
TYP120726-01,7/26/2012,32.44485,-80.55469,L,male,summer,cortisone,2.72,0.168,ng/g ww,2.72,TRUE
TYP120731-01,7/31/2012,32.75371,-79.90562,L,male,summer,cortisone,0.337,0.168,ng/g ww,0.337,TRUE
TYP120731-02,7/31/2012,32.72825,-79.85874,L,male,summer,cortisone,NA,0.168,ng/g ww,0.168,FALSE
TYP120731-03,7/31/2012,32.71359,-79.85281,L,male,summer,cortisone,NA,0.168,ng/g ww,0.168,FALSE
TYP120731-04,7/31/2012,32.74626,-79.87216,L,male,summer,cortisone,NA,0.168,ng/g ww,0.168,FALSE
TYP120731-05,7/31/2012,32.74382,-79.87291,L,male,summer,cortisone,NA,0.168,ng/g ww,0.168,FALSE
TYP120814-02,8/14/2012,32.49521,-80.3481,L,male,summer,cortisone,0.245,0.168,ng/g ww,0.245,TRUE
TYP120814-03,8/14/2012,32.49074,-80.34679,L,male,summer,cortisone,NA,0.168,ng/g ww,0.168,FALSE
TYP120814-04,8/14/2012,32.50057,-80.35676,L,male,summer,cortisone,NA,0.168,ng/g ww,0.168,FALSE
TYP120814-05,8/14/2012,32.53215,-80.35588,M,male,summer,cortisone,NA,0.168,ng/g ww,0.168,FALSE
TYP120816-01,8/16/2012,32.51784,-80.46529,L,male,summer,cortisone,NA,0.168,ng/g ww,0.168,FALSE
TYP120816-02,8/16/2012,32.44472,-80.55397,M,male,summer,cortisone,NA,0.168,ng/g ww,0.168,FALSE
TYP120816-03,8/16/2012,32.51823,-80.46459,L,male,summer,cortisone,NA,0.168,ng/g ww,0.168,FALSE
TYP120823-03,8/23/2012,32.72582,-79.86312,L,male,summer,cortisone,NA,0.168,ng/g ww,0.168,FALSE
TYP120824-01,8/24/2012,32.4962,-80.41842,L,male,summer,cortisone,NA,0.168,ng/g ww,0.168,FALSE
TYP120824-02,8/24/2012,32.48709,-80.42071,L,male,summer,cortisone,NA,0.168,ng/g ww,0.168,FALSE
TYP120824-04,8/24/2012,32.48656,-80.42816,M,male,summer,cortisone,NA,0.168,ng/g ww,0.168,FALSE
TYP120824-05,8/24/2012,32.48769,-80.42905,L,male,summer,cortisone,1.01,0.168,ng/g ww,1.01,TRUE
TYP111205-01,12/5/2011,32.55334,-80.45541,M/L,female,winter,cortisol,0.308,0.181,ng/g ww,0.308,TRUE
TYP111205-02,12/5/2011,32.51476,-80.40867,L,female,winter,cortisol,0.732,0.181,ng/g ww,0.732,TRUE
TYP111215-01,12/15/2011,32.56793,-80.19315,M,female,winter,cortisol,NA,0.181,ng/g ww,0.181,FALSE
TYP120119-02,1/19/2012,32.53508,-80.41873,L,female,winter,cortisol,1.14,0.181,ng/g ww,1.14,TRUE
TYP120119-05,1/19/2012,32.50996,-80.40843,M,female,winter,cortisol,0.227,0.181,ng/g ww,0.227,TRUE
TYP120223-01,2/23/2012,32.51926,-80.35011,S,female,winter,cortisol,0.336,0.181,ng/g ww,0.336,TRUE
TYP120223-02,2/23/2012,32.50039,-80.4462,L,female,winter,cortisol,NA,0.181,ng/g ww,0.181,FALSE
TYP120314-02,3/14/2012,32.63398,-80.014,L,female,spring,cortisol,0.255,0.181,ng/g ww,0.255,TRUE
TYP120328-04,3/28/2012,32.571*,-80.203*,M,female,spring,cortisol,NA,0.181,ng/g ww,0.181,FALSE
TYP120814-06,8/14/2012,32.53115,-80.4454,L,female,summer,cortisol,1.38,0.181,ng/g ww,1.38,TRUE
TYP120823-01,8/23/2012,32.75953,-79.86294,M,female,summer,cortisol,1.2,0.181,ng/g ww,1.2,TRUE
TYP120824-03,8/24/2012,32.47945,-80.42104,L,female,summer,cortisol,2.95,0.181,ng/g ww,2.95,TRUE
TYP111006-02,10/6/2011,32.74203,-79.87411,L,male,fall,cortisol,1.77,0.181,ng/g ww,1.77,TRUE
TYP111013-01,10/13/2011,32.65188,-80.01337,L,male,fall,cortisol,1.07,0.181,ng/g ww,1.07,TRUE
TYP111018-01,10/18/2011,32.81876,-79.92971,M,male,fall,cortisol,NA,0.181,ng/g ww,0.181,FALSE
TYP111018-02,10/18/2011,32.81787,-79.92978,M,male,fall,cortisol,0.24,0.181,ng/g ww,0.24,TRUE
TYP111018-03,10/18/2011,32.82582,-79.89954,L,male,fall,cortisol,0.255,0.181,ng/g ww,0.255,TRUE
TYP111020-01,10/20/2011,32.68402,-79.94781,M,male,fall,cortisol,0.816,0.181,ng/g ww,0.816,TRUE
TYP111020-02,10/20/2011,32.68212,-79.9481,L,male,fall,cortisol,0.744,0.181,ng/g ww,0.744,TRUE
TYP111020-03,10/20/2011,32.65676,-79.96186,L,male,fall,cortisol,1.2,0.181,ng/g ww,1.2,TRUE
TYP111020-04,10/20/2011,32.65471,-79.95841,M,male,fall,cortisol,0.27,0.181,ng/g ww,0.27,TRUE
TYP111102-02,11/2/2011,32.78601,-79.91342,L,male,fall,cortisol,0.596,0.181,ng/g ww,0.596,TRUE
