Start_Date,End_Date,Therms,Bill Amt
8/5/2019,9/4/2019,4.686,46.77
9/4/2019,10/2/2019,12.887,49.75
10/2/2019,11/1/2019,1799.816,333.94
11/1/2019,12/3/2019,6812.335,910.28
12/3/2019,1/3/2020,5930.331,1147.76
1/3/2020,2/4/2020,6612.278,1335.17
2/4/2020,3/3/2020,6204.098,1002.51
3/3/2020,4/2/2020,3336.659,635.22
4/2/2020,5/4/2020,1887.319,310.97
5/4/2020,6/2/2020,1105.682,217.43
6/2/2020,7/2/2020,39.87,52.48
7/2/2020,8/4/2020,5.869,46.98
8/4/2020,9/2/2020,28.143,50.85
9/2/2020,10/2/2020,413.146,117.14
10/2/2020,11/3/2020,2375.718,420.25
11/3/2020,12/2/2020,3604.793,765.99
12/2/2020,1/5/2021,7193.892,1299.68
