Point1,
RGo,
C1s,
279.55,149.2188
279.5,164.0625
279.45,150
279.4,127.3438
279.35,154.6875
279.3,127.3438
279.25,114.0625
279.2,131.25
279.15,129.6875
279.1,137.5
279.05,144.5313
279,135.9375
278.95,153.9063
278.9,140.625
278.85,149.2188
278.8,135.1563
278.75,139.0625
278.7,142.9688
278.65,126.5625
278.6,135.1563
278.55,135.9375
278.5,136.7188
278.45,135.9375
278.4,134.375
278.35,124.2188
278.3,132.8125
278.25,133.5938
278.2,142.1875
278.15,153.9063
278.1,126.5625
278.05,130.4688
278,146.875,Point1,
RGo,
O1s,
1,
545,316.25
544.95,327.5
544.9,297.5
544.85,326.25
544.8,291.875
544.75,305
544.7,326.875
544.65,316.25
544.6,311.25
544.55,319.375
544.5,307.5
544.45,315
544.4,315.625
544.35,298.75
544.3,316.25
544.25,298.75
544.2,323.125
544.15,301.875
544.1,302.5
544.05,303.125
544,330
543.95,300
543.9,336.25
543.85,325
543.8,309.375
543.75,288.75
543.7,320.625
543.65,316.25
543.6,306.25
543.55,285
543.5,325
543.45,286.25
543.4,321.875
543.35,307.5
543.3,302.5
543.25,310
543.2,304.375
543.15,318.125
543.1,328.75
543.05,313.125
543,325.625
542.95,300.625
542.9,306.875
542.85,296.25
542.8,316.25
542.75,325
542.7,307.5
542.65,318.75
542.6,329.375
542.55,330
542.5,325
542.45,317.5
542.4,283.75
542.35,295
542.3,298.75
542.25,316.875
542.2,309.375
542.15,301.875
542.1,311.875
542.05,298.75
542,333.75
541.95,296.875
541.9,304.375
541.85,305.625
541.8,293.125
541.75,304.375
541.7,326.875
541.65,304.375
541.6,315
541.55,297.5
541.5,310.625
541.45,303.125
541.4,286.875
541.35,316.25
541.3,316.25
541.25,318.125
541.2,293.75
541.15,301.25
541.1,303.75
541.05,288.75
541,301.25
540.95,305
540.9,311.25
540.85,333.125
540.8,315.625
540.75,311.25
540.7,290
540.65,320
540.6,300
540.55,300
540.5,301.25
540.45,302.5
540.4,312.5
540.35,288.75
540.3,286.875
540.25,294.375
540.2,302.5
540.15,290.625
540.1,291.25
540.05,316.25
540,298.125
539.95,306.875
539.9,296.25
539.85,283.125
539.8,305
539.75,285
539.7,302.5
539.65,305.625
539.6,296.875
539.55,307.5
539.5,298.125
539.45,276.25
539.4,285
539.35,306.25
539.3,291.875
539.25,291.875
539.2,293.75
539.15,286.25
539.1,284.375
539.05,303.75
539,298.125
538.95,307.5
538.9,266.875
538.85,275.625
538.8,295.625
538.75,315.625
538.7,305
538.65,305.625
538.6,293.125
538.55,303.75
538.5,305
538.45,325
538.4,305
538.35,299.375
538.3,286.875
538.25,316.25
538.2,276.875
538.15,330.625
538.1,285
538.05,296.875
538,300
537.95,317.5
537.9,290.625
537.85,295
537.8,312.5
537.75,299.375
537.7,285
537.65,319.375
537.6,296.25
537.55,306.875
537.5,280.625
537.45,283.75
537.4,305
537.35,281.25
537.3,296.875
537.25,291.25
537.2,300
537.15,288.75
537.1,306.875
537.05,310
537,285.625
536.95,277.5
536.9,288.125
536.85,293.75
536.8,306.25
536.75,323.75
536.7,279.375
536.65,283.125
536.6,321.875
536.55,308.125
536.5,331.875
536.45,308.125
536.4,290
536.35,320.625
536.3,311.25
536.25,290
536.2,321.875
536.15,306.25
536.1,312.5
536.05,284.375
536,306.25
535.95,266.25
535.9,296.875
535.85,278.125
535.8,286.875
535.75,294.375
535.7,300
535.65,298.75
535.6,303.75
535.55,299.375
535.5,289.375
535.45,315
535.4,290
535.35,296.25
535.3,301.875
535.25,310.625
535.2,328.75
535.15,301.25
535.1,300
535.05,319.375
535,306.875
534.95,321.25
534.9,293.125
534.85,288.125
534.8,293.125
534.75,322.5
534.7,311.875
534.65,319.375
534.6,293.125
534.55,306.875
534.5,306.25
534.45,313.75
534.4,337.5
534.35,336.25
534.3,329.375
534.25,318.75
534.2,345
534.15,340
534.1,332.5
534.05,339.375
534,346.25
533.95,362.5
533.9,363.75
533.85,390
533.8,362.5
533.75,416.25
533.7,408.125
533.65,422.5
533.6,382.5
533.55,413.125
533.5,410
533.45,432.5
533.4,423.75
533.35,468.125
533.3,486.25
533.25,506.25
533.2,498.125
533.15,468.125
533.1,494.375
533.05,532.5
533,483.125
532.95,560
532.9,530.625
532.85,526.25
532.8,532.5
532.75,530.625
532.7,570
532.65,562.5
532.6,570.625
532.55,570.625
532.5,583.75
532.45,603.75
532.4,569.375
532.35,564.375
532.3,573.125
532.25,557.5
532.2,564.375
532.15,595
532.1,561.25
532.05,618.75
532,624.375
531.95,595
531.9,618.75
531.85,641.875
531.8,646.25
531.75,648.75
531.7,648.125
531.65,652.5
531.6,600.625
531.55,643.75
531.5,581.25
531.45,543.75
531.4,628.75
531.35,573.75
531.3,546.875
531.25,557.5
531.2,570.625
531.15,566.875
531.1,528.125
531.05,499.375
531,490
530.95,473.125
530.9,463.75
530.85,446.25
530.8,443.125
530.75,410
530.7,434.375
530.65,409.375
530.6,386.25
530.55,381.875
530.5,346.875
530.45,360
530.4,346.875
530.35,352.5
530.3,316.875
530.25,368.125
530.2,313.75
530.15,341.875
