Employer_Name,County,City,Date_AVSE_Approved,ObjectId
Alorica,Maricopa,Mesa,8/18/2015,109
America's Best AMT,Maricopa,Goodyear,7/9/2018,110
American Express Global Business Travel ,,,Date Unknown,111
American Express,Maricopa,Phoenix,8/18/2015,112
Cetechs,Maricopa,Mesa,Date Unknown,113
Connexta,Maricopa,Phoenix,Date Unknown,114
AmeriCorps VISTA,Maricopa,Phoenix,2/1/2018,115
Duncan Family Farms,Maricopa,Goodyear,Date Unknown,116
Loews Ventana Canyon Resort,Pima,Tucson,Date Unknown,117
The Centers for Habilitation (TCH),Maricopa,Tempe,Date Unknown,118
APS,Maricopa,Phoenix,6/25/2015,119
AQST Space Systems,Maricopa,Mesa,12/4/2018,120
Arizona Complete Health (Cenpatico),Pima,Tucson,7/2/2018,121
Arizona Corporation Commisssion,Maricopa,Phoenix,8/1/2015,122
Arizona Criminal Justice Commission,Maricopa,Phoenix,6/27/2016,123
Arizona Culinary Institute,Maricopa,Phoenix,8/24/2015,124
Arizona Cyberwarfare Range,Maricopa,Mesa,12/4/2018,125
Arizona Department of Administration,Maricopa,Phoenix,7/2/2018,126
Arizona Department of Corrections,Maricopa,Phoenix,7/9/2015,127
Arizona Department of Economic Security,Maricopa,Phoenix,10/23/2015,128
Arizona Department of Education,Maricopa,Phoenix,Pending,129
Arizona Department of Health Services,Statewide,Statewide,12/11/2018,130
Arizona Department of Revenue,Maricopa,Phoenix,8/13/2018,131
Arizona Department of State,Maricopa,Phoenix,7/31/2016,132
Arizona Department of Transportation,Maricopa,Phoenix,4/2/2018,133
Arizona Ford Careers,Maricopa,Peoria,6/2/2016,134
Arizona Health Care Cost Containment System,Maricopa,Phoenix,8/3/2016,135
Arizona School for the Deaf and Blind,Pima,Tucson,6/15/2016,136
Arizona State Land Department,Maricopa,Phoenix,8/18/2016,137
Arizona State University,Maricopa,Tempe,11/1/2015,138
Arizona Veteran Security,Maricopa,Sun City,12/4/2018,139
Ascent Aviation,Pima,Tucson,12/4/2018,140
Bank of the West,Gila,Miami,11/17/2017,141
Banner University Health Plans,Pima,Tucson,5/21/2018,142
Barker Contracting,Pima,Tucson,9/17/2018,143
Bishop Fox,Maricopa,Tempe,Date Unknown,144
Bombardier Inc.,Pima,Tucson,10/16/2018,145
CAID,Pima,Tucson,3/13/2018,146
Casa Grande Police Department,Pinal,Casa Grande,1/23/2019,147
CGI,Cochise,Sierra Vista,2/27/2017,148
Chrysalis Shelter,Maricopa,Phoenix,5/26/2016,149
City of Avondale,Maricopa,Avondale,8/19/2015,150
City of Goodyear,Maricopa,Goodyear,12/4/2018,151
