,,,
,,,
,,,
""Estimated"",""Sales by Fore"",""igners of U.S. Securit"",""ies Owing to ABS Principal Repayments""
,""(Mi"",""llions of Dollars)"",
,,,
,,,
,,,
,,,
,""U.S. Agency"",""of which: Agency ABS"",""U.S. Corporate""
,""ABS Bonds"",""by Fgrn. Off. Inst."",""ABS Bonds""
,,,
""2006-Oct"",5644,1942,7987
""2006-Sep"",6204,2074,7660
""2006-Aug"",5317,1724,7538
""2006-Jul"",5483,1723,10402
""2006-Jun"",5505,1730,9387
""2006-May"",4865,1503,6368
""2006-Apr"",5158,1565,8933
""2006-Mar"",4559,1358,6794
""2006-Feb"",4138,1210,5677
""2006-Jan"",4605,1321,6982
""2005-Dec"",5209,1466,7085
""2005-Nov"",5656,1561,7120
""2005-Oct"",5734,1551,8498
""2005-Sep"",7135,1891,8256
""2005-Aug"",6385,1657,8828
""2005-Jul"",5853,1487,8273
""2005-Jun"",5088,1241,7082
""2005-May"",4607,1076,6151
""2005-Apr"",5286,1181,5886
""2005-Mar"",4384,934,4722
""2005-Feb"",3902,791,4639
""2005-Jan"",4448,857,4085
""2004-Dec"",4559,831,3241
""2004-Nov"",4140,712,3326
""2004-Oct"",3839,621,2452
""2004-Sep"",3771,572,2562
""2004-Aug"",3586,507,2680
""2004-Jul"",3887,510,3383
""2004-Jun"",4378,576,2692
""2004-May"",5595,705,3654
""2004-Apr"",4939,594,4709
""2004-Mar"",3833,440,2830
""2004-Feb"",2889,315,2579
""2004-Jan"",3058,317,3597
""2003-Dec"",4125,403,4144
""2003-Nov"",3907,360,5086
""2003-Oct"",5247,453,5478
""2003-Sep"",7596,613,4383
""2003-Aug"",9561,718,3284
""2003-Jul"",8569,594,3608
""2003-Jun"",7311,464,4250
""2003-May"",7356,450,3209
""2003-Apr"",6732,395,3443
""2003-Mar"",5661,319,2610
""2003-Feb"",5590,301,3169
""2003-Jan"",5985,309,3162
""2002-Dec"",5880,289,3188
""2002-Nov"",6395,299,3298
""2002-Oct"",5265,234,2394
""2002-Sep"",4181,175,2054
""2002-Aug"",3161,125,2243
""2002-Jul"",2399,89,1675
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
