Accession PI Number,Country of Origin,DNA Content (pg),Predicted 2n Number,Counted 2n Number,Reported 2n Number
409153,South Africa,3.22,36,,
409720,South Africa,3.22,36,36,
409142,South Africa,3.23,36,,
409420,South Africa,3.23,36,,
184779,South Africa,3.24,36,,
409398,South Africa,3.24,36,,
657683,Kenya,3.24,36,,
208141,South Africa,3.25,36,,
299543,South Africa,3.26,36,,
414479,South Africa,3.26,36,,
409573,South Africa,3.28,36,36,
339893,Australia,3.43,37-44,,
295656,Zimbabwe,3.55,37-44,,
299539,South Africa,3.55,37-44,,
409698,South Africa,3.55,37-44,,
210693,South Africa,3.58,37-44,43,
294596,Australia,3.58,37-44,,
339982,Australia,3.58,37-44,,
364438,South Africa,3.58,37-44,,
271207,India,3.61,37-44,43,
294595,Australia,3.61,37-44,,
295659,Zimbabwe,3.61,37-44,,
365743,Tanzania,3.61,37-44,,
414501,South Africa,3.61,37-44,,
414504,Australia,3.61,37-44,,
253725,Tanzania,3.64,37-44,,
409148,South Africa,3.64,37-44,,
409681,South Africa,3.64,37-44,,
409682,South Africa,3.64,37-44,,
413219,South Africa,3.64,37-44,,
414464,South Africa,3.64,37-44,,
409299,South Africa,3.67,37-44,,
409349,South Africa,3.67,37-44,,
409565,South Africa,3.67,37-44,,
409680,Australia,3.67,37-44,,
409708,South Africa,3.69,37-44,43,
229662,Madagascar,3.69,37-44,,
253260,South Africa,3.69,37-44,,
284837,Australia,3.69,37-44,43,
299504,South Africa,3.69,37-44,,
299505,South Africa,3.69,37-44,,
299662,South Africa,3.69,37-44,,
307622,Australia,3.69,37-44,,
364442,South Africa,3.69,37-44,,
365661,Tanzania,3.69,37-44,,
365707,Tanzania,3.69,37-44,,
365717,Tanzania,3.69,37-44,,
409172,South Africa,3.69,37-44,,
409319,South Africa,3.69,37-44,,
409417,South Africa,3.69,37-44,,
409683,South Africa,3.69,37-44,,
409689,South Africa,3.69,37-44,,
409715,South Africa,3.69,37-44,,
414495,South Africa,3.69,37-44,,
275102,India,3.72,37-44,,
299545,South Africa,3.72,37-44,,
365698,Tanzania,3.72,37-44,,
365704,Tanzania,3.72,37-44,,
365726,Tanzania,3.72,37-44,,
365727,Tanzania,3.72,37-44,,
409171,South Africa,3.72,37-44,,
409203,South Africa,3.72,37-44,,
413184,South Africa,3.72,37-44,,
414485,South Africa,3.72,37-44,43,"2n=45; Hignight et al., 1991"
414490,South Africa,3.72,37-44,,
156546,Zimbabwe,3.75,37-44,,"2n=40; Fisher et al., 1954"
203521,Zimbabwe,3.75,37-44,,
253727,Uganda,3.75,37-44,,
271202,India,3.75,37-44,,
284835,India,3.75,37-44,,
292637,Argentina,3.75,37-44,,
298978,Zimbabwe,3.75,37-44,,
299530,South Africa,3.75,37-44,,
307619,Australia,3.75,37-44,,
364441,South Africa,3.75,37-44,,
365651,Tanzania,3.75,37-44,,
365667,Tanzania,3.75,37-44,,
365701,Tanzania,3.75,37-44,,
365735,Tanzania,3.75,37-44,,
409144,South Africa,3.75,37-44,,
409690,South Africa,3.75,37-44,,
409714,South Africa,3.75,37-44,,
414491,South Africa,3.75,37-44,,
414492,South Africa,3.75,37-44,,
414493,South Africa,3.75,37-44,,
414503,South Africa,3.75,37-44,,
271198,India,3.78,37-44,,
299540,South Africa,3.78,37-44,,
365706,Tanzania,3.78,37-44,,
365720,Tanzania,3.78,37-44,,
409252,South Africa,3.78,37-44,,
409690,South Africa,3.78,37-44,,
409719,Kenya,3.78,37-44,,
414485,South Africa,3.78,37-44,,
210694,Zimbabwe,3.81,45,,
365654,Tanzania,3.81,45,,
409194,South Africa,3.81,45,,
409236,South Africa,3.81,45,,
409238,South Africa,3.81,45,,
409418,South Africa,3.81,45,,
409677,South Africa,3.81,45,,
657684,Tanzania,3.81,45,,
206969,South Africa,3.84,45,,
224998,Zimbabwe,3.84,45,,
271210,India,3.84,45,,
299516,South Africa,3.84,45,,
299544,South Africa,3.84,45,,
307623,Australia,3.84,45,,
365663,Tanzania,3.84,45,45,
409183,South Africa,3.84,45,,
409231,South Africa,3.84,45,,
409254,South Africa,3.84,45,,
409258,South Africa,3.84,45,,
409407,South Africa,3.84,45,,
409439,South Africa,3.84,45,45,
409477,South Africa,3.84,45,,
409571,South Africa,3.84,45,45,
409678,South Africa,3.84,45,,
409701,South Africa,3.84,45,,
414511,Kenya,3.84,45,,
414516,Tanzania,3.84,45,,
657673,Tanzania,3.84,45,,
253258,South Africa,3.87,45,,
299544,South Africa,3.87,45,,
364435,South Africa,3.87,45,,
365740,Tanzania,3.87,45,,
409157,South Africa,3.87,45,,
409216,South Africa,3.87,45,,
409218,South Africa,3.87,45,,
409234,South Africa,3.87,45,,
409242,South Africa,3.87,45,,
409557,South Africa,3.87,45,45,"2n=45; Hignight et al., 1991"
409579,South Africa,3.87,45,,
409615,South Africa,3.87,45,,
414508,South Africa,3.87,45,,
299541,Kenya,3.88,45,,
275100,India,3.9,45,,
364434,South Africa,3.9,45,,
365655,Tanzania,3.9,45,,
409184,South Africa,3.9,45,,
409207,South Africa,3.9,45,,
409229,South Africa,3.9,45,,
409246,South Africa,3.9,45,,
409262,South Africa,3.9,45,,
409271,South Africa,3.9,45,,
409289,South Africa,3.9,45,,
409298,South Africa,3.9,45,,
409321,South Africa,3.9,45,,
409353,South Africa,3.9,45,,
409431,South Africa,3.9,45,,
409443,South Africa,3.9,45,,
409591,South Africa,3.9,45,,
414502,South Africa,3.9,45,,
657685,Tanzania,3.9,45,,
203362,South Africa,3.93,45,45,
203365,South Africa,3.93,45,,
299525,South Africa,3.93,45,,
409178,South Africa,3.93,45,,
409191,South Africa,3.93,45,,
409239,South Africa,3.93,45,,
409263,South Africa,3.93,45,,
409264,South Africa,3.93,45,,
409276,South Africa,3.93,45,,
409292,South Africa,3.93,45,,
409355,South Africa,3.93,45,,
409424,South Africa,3.93,45,,
414480,South Africa,3.93,45,,
414514,Australia,3.93,45,,
657670,Botswana,3.93,45,,
253261,South Africa,3.96,45,,
253266,South Africa,3.96,45,,
298979,Zimbabwe,3.96,45,,
364432,South Africa,3.96,45,,
365713,Tanzania,3.96,45,,
409177,South Africa,3.96,45,,
409211,South Africa,3.96,45,,
