"Age","LakeElev.Anom","UpperBound","LowerBound"
50,14.1209732356246,0,28.2419464712493
100,13.6416520789478,0,27.2833041578956
150,13.8447181097092,0,27.6894362194185
200,14.0477445201914,0,28.0954890403828
250,14.2507313103944,0,28.5014626207888
300,14.4537187345218,0,28.9074374690436
350,14.6567457789285,0,29.3134915578569
400,15.2621632630816,0,30.5243265261631
450,15.8743278735097,0,31.7486557470195
500,17.1226098236423,0,34.2452196472846
550,18.0201992330381,0,36.0403984660762
600,18.9628311245641,0,37.9256622491283
650,19.3210039551161,0,38.6420079102323
700,19.6791728215055,0,39.358345643011
750,20.0372281876522,0,40.0744563753044
800,20.3953197173912,0,40.7906394347823
850,20.7534817440775,0,41.5069634881551
900,21.1116565284938,0,42.2233130569876
950,22.0260632169985,0,44.052126433997
1000,22.978449964391,0,45.9568999287821
1050,23.9689187377139,0,47.9378374754278
1100,23.2732103426974,0,46.5464206853948
1150,22.53266502319,0,45.06533004638
1200,23.0051874315287,0,46.0103748630574
1250,24.6457790052917,0,49.2915580105833
1300,26.3312107689583,0,52.6624215379166
1350,27.3271863852416,0,54.6543727704833
1400,28.3266432236877,0,56.6532864473754
1450,29.3296539397301,0,58.6593078794602
1500,29.8125873604295,0,59.6251747208591
1550,30.2955967019754,0,60.5911934039507
1600,30.7787113530823,0,61.5574227061646
1650,31.8063124019632,2.08803131083712,61.5245934930892
1700,34.8056223642156,4.19634166125892,65.4149030671723
1750,37.7239038393634,6.32493105126541,69.1228766274614
1800,41.5881671117911,9.25092607614104,73.9254081474412
1850,43.4141092334607,12.2039598204629,74.6242586464585
1900,45.9577260868467,16.0279049557983,75.8875472178951
1950,46.9488030514413,17.0190666189721,76.8785394839105
2000,58.9546620493486,20.4997965897235,97.4095275089738
2050,70.8234734431547,24.2910823413504,117.355864544959
2100,82.6842656316946,28.0920461641217,137.276485099267
2150,96.499758215526,32.7410507731083,160.258465657944
2200,98.3132570859887,36.0095358558444,160.616978316133
2250,100.140338895911,39.3050850899214,160.975592701901
2300,78.4902425158106,36.8053916799583,120.175093351663
2350,68.3080030760754,34.5712780637809,102.04472808837
2400,58.1477963225868,32.3345752305827,83.9610174145909
2450,59.7002581922827,33.7984153759003,85.6021010086651
2500,61.2583740562592,35.2693698072361,87.2473783052822
2550,62.8221439145162,36.7474385245902,88.8968493044423
2600,66.8940323099642,42.6823770491803,91.1056875707481
2650,70.9896814648659,48.6600068306011,93.3193560991306
2700,75.1090913792212,54.6803278688525,95.5378548895899
2750,75.5768905897157,55.0901639344262,96.0636172450053
2800,76.0446898002103,55.5,96.5893796004206
2850,76.5124890107049,55.9098360655738,97.115141955836
2900,76.3902199934973,56.3196721311475,96.4607678558472
2950,76.8580192039919,56.7295081967213,96.9865302112625
3000,77.3258184144865,57.1393442622951,97.5122925666779
3050,74.0592077903329,51.5117827868852,96.6066327937805
3100,70.1775606135043,45.8415300546448,94.5135911723639
3150,66.9910870474292,43.3195695169909,90.6626045778674
3200,68.1150501443378,46.8189993767797,89.411100911896
3250,67.7031770006296,49.0278640652759,86.3784899359834
3300,66.5640582820372,48.0653151296263,85.0628014344481
3350,65.4069089986803,47.0956519079584,83.7181660894022
3400,65.7784923167823,47.4361236848544,84.1208609487103
3450,65.2067589510037,46.7673156402591,83.6462022617482
3500,64.6324899725286,46.0931718811502,83.1718080639071
3550,64.0556853813573,45.4136924075276,82.6976783551869
3600,64.4196618613702,45.7381570408825,83.1011666818578
3650,64.7836383413831,46.0626216742375,83.5046550085288
3700,65.1476148213961,46.3870863075925,83.9081433351997
3750,65.5161996865628,46.7115509409474,84.3208484321782
3800,65.8943794349075,47.0360155743024,84.7527432955127
3850,66.291970826649,47.3604802076574,85.2234614456407
3900,66.7116280783805,47.6849448410123,85.7383113157486
3950,67.1483646920778,48.0094094743673,86.2873199097882
4000,67.5923639075221,48.3338741077223,86.8508537073219
4050,68.0363631229664,48.6583387410772,87.4143875048555
4100,68.4803623384107,48.9828033744322,87.9779213023892
4150,68.924361553855,49.3072680077872,88.5414550999229
4200,69.3683607692993,49.6317326411421,89.1049888974566
4250,69.8123599847437,49.9561972744971,89.6685226949902
4300,70.256359200188,50.280661907852,90.2320564925239
4350,65.5656751742306,45.2999607938568,85.8313895546044
4400,64.5530580745863,40.2854612805538,88.8206548686189
4450,61.2055040748537,30.9389533311702,91.4720548185372
4500,63.0190662778366,26.8367740103829,99.2013585452904
4550,58.7664310346167,18.3552684944841,99.1775935747494
4600,55.2177481764291,10.8334009301319,99.6020954227263
4650,49.0055334049108,3.26421560674886,94.7468512030726
4700,45.1784894839039,0,90.3569789678078
4750,41.2726258182679,0,82.5452516365359
4800,39.9870020511539,0,79.9740041023078
4850,42.4170216681345,3.49915540540541,81.3348879308635
4900,49.4278958462147,11.7623873873874,87.093404305042
4950,56.503740524498,20.1241554054054,92.8833256435907
5000,62.8059932727059,29.9197635135135,95.6922230318984
5050,63.3496685263774,30.2153716216216,96.4839654311331
5100,63.868585340767,30.5109797297297,97.2261909518043
5150,58.4482672544888,20.9539199690593,95.9426145399183
5200,55.878571110529,16.1564758228661,95.6006663981919
5250,53.2486215618231,11.2841907437809,95.2130523798652
5300,53.5819685907262,11.3552882048984,95.808648976554
5350,53.915444047246,11.4264036418816,96.4044844526103
5400,54.2489296389587,11.497524687335,97.0003345905823
5450,54.5823565182857,11.5686277569226,97.5960852796488
5500,52.6873425866606,7.73611637604246,97.6385687972787
5550,53.6823703771961,3.87990428354814,103.484836470844
5600,54.6781166023934,0,109.356233204787
5650,57.9028906256424,0,115.805781251285
5700,58.2383143888053,0,116.476628777611
5750,60.5848054569048,4.02210481425322,117.147506099556
5800,65.9448507437006,13.46232358006,118.427377907341
5850,71.3346847777688,22.9578660686791,119.711503486858
5900,72.9529130749811,28.4866274658574,117.419198684105
5950,74.6251663314236,34.1417855638363,115.108547099011
6000,78.0857928624221,39.8284913062002,116.343094418644
6050,87.4400634402796,52.487253601213,122.392873279346
6100,93.7838070947978,59.7278635961587,127.839750593437
6150,96.5696663800219,67.0079605761941,126.13137218385
6200,95.2766084222041,67.3871029346967,123.166113909711
6250,93.9807038864632,67.7663411644833,120.195066608443
6300,94.478733175065,68.1456689380491,120.811797412081
6350,96.4112787693152,70.4895835226958,122.332974015935
6400,98.3508280584403,72.8460050508119,123.855651066069
6450,96.3374424391045,67.9584766034052,124.716408274804
6500,91.0852693469462,59.0770209211358,123.093517772757
6550,83.6454614112485,50.1435413505311,117.147381471966
6600,79.791569743576,48.4144489361739,111.168690550978
6650,79.8776491607934,48.6751426588673,111.08015566272
6700,82.1182733504398,48.9357806204253,115.300766080454
6750,84.6998684523974,49.1964707838973,120.203266120898
