OBJECTID,FEATURE1,FEATURE2,FEATURE3,SHAPE.LEN
7008,Ridge,Transverse, ,0.0205994696512182
7018,Ridge,Transverse, ,0.0117362930599286
7023,Ridge,Transverse, ,0.0315040851594953
7032,Ridge,Transverse, ,0.0117861901351279
7058,Ridge,Iceberg Marks, ,0.0151319566060622
7060,Ridge,Iceberg Marks, ,0.0241163214309855
7076,Ridge,Iceberg Marks, ,0.0083216819428118
7082,Ridge,Iceberg Marks, ,0.0126613394332483
7085,Ridge,Iceberg Marks, ,0.0159381164808412
7097,Ridge,Iceberg Marks, ,0.0215427290272129
7101,Ridge,Iceberg Marks, ,0.0143979504921987
7107,Ridge,Iceberg Marks, ,0.00841321023975284
7110,Ridge,Iceberg Marks, ,0.00930020880941322
7112,Ridge,Iceberg Marks, ,0.018159885282116
7120,Ridge,Iceberg Marks, ,0.00785559948867206
7125,Ridge,Iceberg Marks, ,0.0250136927468352
7144,Ridge,Iceberg Marks, ,0.00929803806185965
7147,Ridge,Iceberg Marks, ,0.0130825543663236
7148,Ridge,Iceberg Marks, ,0.0158269367332336
7149,Ridge,Iceberg Marks, ,0.0118512659202064
7150,Ridge,Iceberg Marks, ,0.0119068884069612
7152,Ridge,Iceberg Marks, ,0.0115078049127226
7154,Ridge,Iceberg Marks, ,0.0212037697288057
7158,Ridge,Iceberg Marks, ,0.0191286729647571
7160,Ridge,Iceberg Marks, ,0.00922355472552175
7161,Ridge,Iceberg Marks, ,0.00822389435099101
7163,Ridge,Iceberg Marks, ,0.0088526698015019
7165,Ridge,Iceberg Marks, ,0.0137369918047801
7172,Ridge,Transverse, ,0.0225369397203439
7174,Ridge,Transverse, ,0.0153597717498801
7175,Ridge,Transverse, ,0.0140086942776683
7177,Ridge,Transverse, ,0.0226794589828738
7179,Ridge,Transverse, ,0.014213272964738
7181,Ridge,Transverse, ,0.0114235570892902
7182,Ridge,Transverse, ,0.0216078945266504
7188,Ridge,Transverse, ,0.00934974435996149
7190,Ridge,Transverse, ,0.0185033419991195
7191,Ridge,Transverse, ,0.0224167896705407
7195,Ridge,Transverse, ,0.0088261335805761
7196,Ridge,Transverse, ,0.0230016701051398
7198,Ridge,Transverse, ,0.0296722606812729
7201,Ridge,Transverse, ,0.0228132131964435
7204,Ridge,Transverse, ,0.0151924824036794
7206,Ridge,Transverse, ,0.0151247215660453
7208,Ridge,Transverse, ,0.00927088253099121
7211,Ridge,Transverse, ,0.0226439596768698
7213,Ridge,Transverse, ,0.010831471056611
7218,Ridge,Transverse, ,0.0179848935498728
7219,Ridge,Transverse, ,0.0141269288698996
7225,Ridge,Transverse, ,0.00665487583382544
7226,Ridge,Transverse, ,0.00998493707011326
7233,Ridge,Transverse, ,0.0276252232965054
7236,Ridge,Transverse, ,0.014840328828194
7238,Ridge,Transverse, ,0.0153291650404759
7239,Ridge,Transverse, ,0.0152771803590781
7244,Ridge,Transverse, ,0.0197817607587398
7250,Ridge,Transverse, ,0.0135774416379154
7252,Ridge,Transverse, ,0.0142867933978031
7256,Ridge,Transverse, ,0.0111805180220776
7260,Ridge,Transverse, ,0.0302026480382742
7267,Ridge,Transverse, ,0.00578202301118216
7272,Ridge,Transverse, ,0.0145736021087003
7275,Ridge,Transverse, ,0.0195738839616549
7277,Ridge,Transverse, ,0.0102793511070366
7282,Ridge,Transverse, ,0.0117989154946741
7284,Ridge,Transverse, ,0.018751700938916
7286,Ridge,Transverse, ,0.0105498642056481
7292,Ridge,Transverse, ,0.0130624751436626
7295,Ridge,Transverse, ,0.014859190774338
7296,Ridge,Transverse, ,0.0119603040736276
7297,Ridge,Transverse, ,0.0169889214859594
7298,Ridge,Transverse, ,0.016093303868761
7306,Ridge,Transverse, ,0.0207621425702248
7307,Ridge,Transverse, ,0.0273255596896828
7310,Ridge,Transverse, ,0.00832806242179111
7313,Ridge,Transverse, ,0.0124677499516401
7315,Ridge,Transverse, ,0.0138946922652535
7316,Ridge,Transverse, ,0.0114397786740673
7318,Ridge,Transverse, ,0.0128304531118318
7319,Ridge,Transverse, ,0.0146254172549073
7320,Ridge,Transverse, ,0.0118104774815249
7321,Ridge,Transverse, ,0.0114831635773695
7322,Ridge,Transverse, ,0.00466285316543852
7328,Ridge,Transverse, ,0.00595389203609622
7329,Ridge,Transverse, ,0.00996732026301337
7330,Ridge,Transverse, ,0.017206179224345
7337,Ridge,Transverse, ,0.0184812615290855
7339,Ridge,Transverse, ,0.00879510468582289
7342,Ridge,Transverse, ,0.0104673549881845
7345,Ridge,Transverse, ,0.0127282529699233
7347,Ridge,Transverse, ,0.0153253760224397
7350,Ridge,Transverse, ,0.0120534864133881
7351,Ridge,Transverse, ,0.0266659098848598
7356,Ridge,Transverse, ,0.0667911971366221
7361,River Channel,Small,Not Buried,0.0106915554393686
7363,River Channel,Small,Not Buried,0.0877506188631669
7200,Ridge,Transverse, ,0.0114654424269879
7202,Ridge,Transverse, ,0.0190463519018977
7209,Ridge,Transverse, ,0.0302906592950312
7215,Ridge,Transverse, ,0.00494906748675622
7221,Ridge,Transverse, ,0.019886394289806
7232,Ridge,Transverse, ,0.0162753439706034
7237,Ridge,Transverse, ,0.0153574303184571
