OBJECTID,SOURCE_ID,SYMBOL,FEATURE_DESC,ANGLE
214290,10701,78,Gravel Pit,0
214291,10701,78,Gravel Pit,0
214292,10701,78,Gravel Pit,0
214293,10701,103,Sewage Disposal Plant,0
214294,10701,59,Vacant Farm Unit,0
214295,10701,59,Vacant Farm Unit,0
214296,10701,59,Vacant Farm Unit,0
214124,10202,59,Vacant Farm Unit,0
214125,10302,113,Asterisk,0
214126,10302,58,Farm Unit,180
214127,10302,78,Gravel Pit,0
214128,10302,78,Gravel Pit,0
214129,10302,58,Farm Unit,0
214130,10302,58,Farm Unit,0
214131,10302,58,Farm Unit,0
214132,10302,58,Farm Unit,90
214133,10302,58,Farm Unit,0
214134,10302,58,Farm Unit,0
214135,20301,60,Dwelling other than Farm,0
214136,20301,60,Dwelling other than Farm,0
214137,20301,60,Dwelling other than Farm,0
214138,10301,58,Farm Unit,270
214139,10301,60,Dwelling other than Farm,0
214140,10301,60,Dwelling other than Farm,0
214141,10301,60,Dwelling other than Farm,0
214142,10302,129,""Highway Bridge, General"",0.20310052
214143,10301,245,Butte,0
214144,20303,60,Dwelling other than Farm,0
214145,20303,60,Dwelling other than Farm,0
214146,20303,60,Dwelling other than Farm,0
214147,20303,60,Dwelling other than Farm,0
214148,20303,60,Dwelling other than Farm,0
214149,20303,60,Dwelling other than Farm,0
214150,20310,61,Vacant Dwelling other than Farm,0
214151,10302,28,""Cemetery, East & West"",0
214152,10302,78,Gravel Pit,0
214153,10301,37,Tourist Court or Motel,13.31770642
214154,10301,103,Sewage Disposal Plant,0
214155,10301,78,Gravel Pit,0
214156,10301,66,Seasonal Dwellings closely spaced,2.16377328
214157,10301,78,Gravel Pit,0
214158,20304,37,Store or Small Business Establishment,0
214159,20304,46,Filling Station,0
214160,10301,58,Vacant Farm Unit,270
214161,10401,43,Gas or Oil Well,0
214162,10401,43,Gas or Oil Well,0
214163,10401,43,Gas or Oil Well,0
214164,10401,43,Gas or Oil Well,0
214165,10401,58,Farm Unit,0
214166,10401,58,Farm Unit,0
214339,20811,60,Dwelling other than Farm,0
214340,20811,60,Dwelling other than Farm,0
214341,20811,60,Dwelling other than Farm,0
214342,20811,60,Dwelling other than Farm,0
214343,20811,60,Dwelling other than Farm,0
214344,20811,60,Dwelling other than Farm,0
214345,20811,60,Dwelling other than Farm,0
214346,20811,70,Warehouse General,0
214347,20811,80,Schoolhouse,0
214348,20811,70,Warehouse General,0
214349,20811,60,Dwelling other than Farm,0
214350,20811,82,Other Educational Institution,0
214351,20811,82,Other Educational Institution,0
214352,20811,82,Other Educational Institution,0
214353,20811,82,Other Educational Institution,0
214354,10802,48,Rifle Club,1.92532147
214355,10802,60,Dwelling other than Farm,0
214356,10802,60,Dwelling other than Farm,0
214357,10802,60,Dwelling other than Farm,0
214358,10802,13,Tourist Court or Motel,0.78976586
214359,10802,58,Farm Unit,0
214360,10802,37,Fire Engine House,0
214361,10802,37,Store or Small Business Establishment,0
214362,10902,35,""Toll House, State Port of Entry, or Weigh Station"",0
214363,10902,106,Power Substation,0
214364,10902,113,Asterisk,0
214365,10901,103,Sewage Disposal Plant,0
214366,10901,37,Store or Small Business Establishment,0
214367,20905,60,Dwelling other than Farm,0
214368,10902,129,""Highway Bridge, General"",0
214369,10902,129,""Highway Bridge, General"",358.6598646
214370,10902,129,""Highway Bridge, General"",358.96807342
214371,10902,129,""Highway Bridge, General"",358.60484228
214372,20904,129,""Highway Bridge, General"",0
214373,10902,129,""Highway Bridge, General"",359.86353158
214374,10902,130,Minor Drainage Structure,0
214375,10901,104,""Water Supply Stand Pipe, or Tank"",0
214376,10902,60,Dwelling other than Farm,0
214377,10902,60,Dwelling other than Farm,0
214464,11101,248,Wind Turbine,0
214465,11101,248,Wind Turbine,0
214466,11101,248,Wind Turbine,0
214467,11101,248,Wind Turbine,0
214468,11101,248,Wind Turbine,0
214469,11101,248,Wind Turbine,0
214470,11101,248,Wind Turbine,0
214471,11101,248,Wind Turbine,0
214472,11101,248,Wind Turbine,0
214473,11101,248,Wind Turbine,0
214474,11101,248,Wind Turbine,0
214475,11101,248,Wind Turbine,0
214476,11101,248,Wind Turbine,0
214477,11101,248,Wind Turbine,0
214478,11101,248,Wind Turbine,0
214479,11101,248,Wind Turbine,0
214480,11101,248,Wind Turbine,0
214481,11101,248,Wind Turbine,0
214482,11101,248,Wind Turbine,0
214483,11101,248,Wind Turbine,0
214484,11101,248,Wind Turbine,0
214485,11101,248,Wind Turbine,0
214486,11101,248,Wind Turbine,0
214487,11101,248,Wind Turbine,0
214488,11101,248,Wind Turbine,0
214489,11101,248,Wind Turbine,0
214490,11101,248,Wind Turbine,0
214491,11101,248,Wind Turbine,0
214492,11101,248,Wind Turbine,0
214493,11101,248,Wind Turbine,0
214494,11101,248,Wind Turbine,0
214495,11101,248,Wind Turbine,0
214496,11101,248,Wind Turbine,0
214497,11101,248,Wind Turbine,0
214498,11101,248,Wind Turbine,0
214499,11101,248,Wind Turbine,0
214500,11101,248,Wind Turbine,0
214501,11201,58,Farm Unit,0
214502,11201,59,Vacant Farm Unit,0
214503,11201,57,Rest Area,0
214504,11201,42,Mine Shaft or Drift,0
