Core.DepthRank,CoreName,Depth,Age.Yng,Age,Age.Old,LOI,
1,55A,497,NA,1083.89,NA,87.18662953,
1,55A,498,NA,1103.224,NA,88.99082569,
1,55A,499,NA,1122.557,NA,88.0733945,
1,55A,500,NA,1141.891,NA,88.98809524,
1,55A,501,NA,1161.224,NA,88.15789474,
1,55A,502,NA,1180.557,NA,85.62874251,
1,55A,503,NA,1199.891,NA,82.68156425,
1,55A,504,NA,1219.224,NA,83.47826087,
1,55A,505,NA,1238.558,NA,86.16714697,
1,55A,506,NA,1257.891,NA,86.74351585,
1,55A,507,NA,1277.224,NA,87.78877888,
1,55A,511,NA,1354.558,NA,84.90566038,
1,55A,512,NA,1373.891,NA,88.75739645,
1,55A,513,NA,1393.225,NA,88.69047619,
1,55A,514,NA,1412.558,NA,88.95027624,
1,55A,515,NA,1431.891,NA,90.35532995,
1,55A,516,NA,1451.225,NA,89.53488372,
1,55A,517,NA,1470.558,NA,89.17525773,
1,55A,518,NA,1489.892,NA,87.5,
1,55A,519,NA,1509.225,NA,89.50617284,
1,55A,520,NA,1528.558,NA,88.60759494,
1,55A,521,NA,1547.892,NA,88.23529412,
1,55A,522,NA,1567.225,NA,88.46153846,
1,55A,523,NA,1586.559,NA,86.70212766,
1,55A,524,NA,1605.892,NA,84.39306358,
1,55A,525,NA,1625.225,NA,84.1025641,
1,55A,526,NA,1644.559,NA,87.36263736,
1,55A,527,NA,1663.892,NA,85.79881657,
1,55A,528,NA,1683.225,NA,86.32478632,
1,55A,529,NA,1702.559,NA,84.15300546,
1,55A,530,NA,1713.126,NA,84.45595855,
1,55A,531,NA,1719.914,NA,85.45454545,
1,55A,532,NA,1726.701,NA,85.20408163,
1,55A,533,NA,1733.489,NA,85.20710059,
1,55A,534,NA,1740.277,NA,85.78680203,
1,55A,535,NA,1747.064,NA,79.88505747,
1,55A,536,NA,1753.852,NA,81.90954774,
1,55A,537,NA,1760.639,NA,83.42245989,
1,55A,541,NA,1787.789,NA,86.98224852,
1,55A,542,NA,1794.577,NA,86.1878453,
1,55A,543,NA,1801.364,NA,87.42857143,
1,55A,544,NA,1808.152,NA,86.80203046,
1,55A,545,NA,1814.939,NA,88.3248731,
1,55A,546,NA,1821.727,NA,86.19047619,
1,55A,547,NA,1828.514,NA,87.89473684,
1,55A,548,NA,1835.302,NA,88.55721393,
1,55A,549,NA,1842.089,NA,88.57142857,
1,55A,550,NA,1848.877,NA,88.88888889,
1,55A,551,NA,1855.664,NA,88.35978836,
1,55A,552,NA,1862.452,NA,89.59537572,
1,55A,553,NA,1869.239,NA,88.29787234,
1,55A,554,NA,1876.027,NA,86.15384615,
1,55A,555,NA,1882.814,NA,85.4368932,
1,55A,556,NA,1889.602,NA,86.74033149,
1,55A,557,NA,1896.39,NA,89.61748634,
