ID,Created_EST,Transport_Arrival_EST,Exit_EST
98,1/2/2013 10:19,1/2/2013 11:06,1/2/2013 11:40
99,1/2/2013 10:20,1/2/2013 11:05,1/2/2013 11:42
100,1/2/2013 10:44,1/2/2013 11:09,1/2/2013 12:09
101,1/2/2013 10:49,,1/2/2013 11:08
102,1/2/2013 10:50,,1/2/2013 10:54
103,1/2/2013 10:53,1/2/2013 11:22,1/2/2013 11:48
104,1/2/2013 10:57,1/2/2013 11:28,1/2/2013 12:08
105,1/2/2013 10:58,1/2/2013 11:44,1/2/2013 12:11
106,1/2/2013 11:23,1/2/2013 11:54,1/2/2013 12:27
107,1/2/2013 11:35,1/2/2013 12:24,1/2/2013 12:45
108,1/2/2013 11:40,1/2/2013 12:13,1/2/2013 12:51
109,1/2/2013 11:42,1/2/2013 12:47,1/2/2013 13:03
110,1/2/2013 11:49,1/2/2013 12:12,1/2/2013 12:42
111,1/2/2013 11:50,1/2/2013 12:01,1/2/2013 12:38
112,1/2/2013 11:59,1/2/2013 12:32,1/2/2013 13:00
113,1/2/2013 12:02,1/2/2013 12:51,1/2/2013 13:34
114,1/2/2013 12:14,1/2/2013 12:42,1/2/2013 13:12
115,1/2/2013 12:15,,1/2/2013 13:22
116,1/2/2013 12:19,1/2/2013 12:41,1/2/2013 12:59
117,1/2/2013 12:23,,1/2/2013 13:10
118,1/2/2013 12:31,1/2/2013 12:53,1/2/2013 13:42
119,1/2/2013 12:33,1/2/2013 13:15,1/2/2013 13:58
120,1/2/2013 12:33,1/2/2013 13:32,1/2/2013 13:50
121,1/2/2013 12:38,1/2/2013 13:00,1/2/2013 13:35
122,1/2/2013 12:38,1/2/2013 13:15,1/2/2013 14:09
123,1/2/2013 12:39,1/2/2013 13:20,1/2/2013 13:41
124,1/2/2013 12:49,,1/2/2013 16:00
125,1/2/2013 12:53,,1/2/2013 14:16
126,1/2/2013 13:03,1/2/2013 13:51,1/2/2013 14:20
127,1/2/2013 13:06,,1/2/2013 14:26
128,1/2/2013 13:08,1/2/2013 13:42,1/2/2013 13:55
129,1/2/2013 13:13,1/2/2013 13:39,1/2/2013 14:12
130,1/2/2013 13:26,,1/2/2013 14:43
131,1/2/2013 13:30,,1/2/2013 14:09
132,1/2/2013 13:35,1/2/2013 14:10,1/2/2013 15:24
133,1/2/2013 13:36,,1/2/2013 13:49
134,1/2/2013 13:37,1/2/2013 14:26,1/2/2013 15:00
135,1/2/2013 13:39,1/2/2013 14:26,1/2/2013 15:11
136,1/2/2013 13:42,1/2/2013 14:01,1/2/2013 14:27
137,1/2/2013 13:44,,1/2/2013 13:52
138,1/2/2013 13:44,1/2/2013 14:22,1/2/2013 14:48
139,1/2/2013 13:45,,1/2/2013 13:47
140,1/2/2013 13:50,,1/2/2013 14:18
141,1/2/2013 13:53,1/2/2013 14:15,1/2/2013 14:31
142,1/2/2013 14:00,,1/2/2013 14:08
143,1/2/2013 14:00,,1/2/2013 14:21
144,1/2/2013 14:08,1/2/2013 14:47,1/2/2013 15:08
145,1/2/2013 14:08,1/2/2013 14:43,1/2/2013 15:13
146,1/2/2013 14:12,1/2/2013 14:47,1/2/2013 15:38
147,1/2/2013 14:14,,1/2/2013 15:28
148,1/2/2013 14:21,1/2/2013 14:38,1/2/2013 15:11
149,1/2/2013 14:58,1/2/2013 15:36,1/2/2013 16:16
150,1/2/2013 15:06,1/2/2013 15:37,1/2/2013 16:17
151,1/2/2013 15:08,1/2/2013 16:00,1/2/2013 16:43
152,1/2/2013 15:08,,1/2/2013 16:20
153,1/2/2013 15:20,,1/2/2013 15:22
154,1/2/2013 15:24,1/2/2013 16:01,1/2/2013 16:48
155,1/2/2013 15:26,,1/2/2013 17:19
156,1/2/2013 15:26,1/2/2013 16:15,1/2/2013 16:50
157,1/2/2013 15:32,1/2/2013 16:10,1/2/2013 16:44
158,1/2/2013 15:40,1/2/2013 16:08,1/2/2013 16:29
159,1/2/2013 15:42,1/2/2013 16:45,1/2/2013 17:26
160,1/2/2013 15:43,,1/2/2013 15:52
161,1/2/2013 15:47,,1/2/2013 16:29
162,1/2/2013 15:54,1/2/2013 16:41,1/2/2013 17:17
163,1/2/2013 16:00,1/2/2013 16:49,1/2/2013 17:30
164,1/2/2013 16:05,1/2/2013 16:42,1/2/2013 17:17
165,1/2/2013 16:07,1/2/2013 16:45,1/2/2013 17:32
166,1/2/2013 16:09,1/2/2013 17:05,1/2/2013 17:40
167,1/2/2013 16:10,1/2/2013 16:40,1/2/2013 17:07
168,1/2/2013 16:13,1/2/2013 16:46,1/2/2013 17:10
169,1/2/2013 16:17,1/2/2013 17:02,1/2/2013 18:22
170,1/2/2013 16:17,1/2/2013 17:02,1/2/2013 17:36
171,1/2/2013 16:19,1/2/2013 16:40,1/2/2013 17:42
172,1/2/2013 16:19,,1/2/2013 16:36
173,1/2/2013 16:28,1/2/2013 17:05,1/2/2013 17:37
174,1/2/2013 16:30,,1/2/2013 16:47
175,1/2/2013 16:36,1/2/2013 17:01,1/2/2013 17:39
176,1/2/2013 16:38,1/2/2013 17:13,1/2/2013 18:16
177,1/2/2013 16:39,1/2/2013 17:19,1/2/2013 17:29
178,1/2/2013 16:41,1/2/2013 17:04,1/2/2013 17:35
179,1/2/2013 16:42,,1/2/2013 16:43
180,1/2/2013 16:44,1/2/2013 17:21,1/2/2013 18:08
181,1/2/2013 16:53,1/2/2013 17:19,1/2/2013 17:53
182,1/2/2013 17:03,,1/2/2013 18:02
183,1/2/2013 17:08,1/2/2013 17:47,1/2/2013 18:21
184,1/2/2013 17:16,,1/2/2013 17:18
185,1/2/2013 17:20,,1/2/2013 18:09
186,1/2/2013 17:20,,1/2/2013 17:51
187,1/2/2013 17:23,,1/2/2013 18:05
188,1/2/2013 17:24,,1/2/2013 18:24
189,1/2/2013 17:24,1/2/2013 17:53,1/2/2013 18:29
190,1/2/2013 17:25,1/2/2013 18:07,1/2/2013 18:59
191,1/2/2013 17:28,1/2/2013 18:11,1/2/2013 18:45
192,1/2/2013 17:28,,1/2/2013 17:29
193,1/2/2013 17:31,,1/2/2013 17:38
194,1/2/2013 17:42,,1/2/2013 17:57
195,1/2/2013 17:46,1/2/2013 18:18,1/2/2013 18:53
196,1/2/2013 17:47,1/2/2013 18:16,1/2/2013 19:00
197,1/2/2013 17:49,1/2/2013 18:23,1/2/2013 19:02
198,1/2/2013 18:00,1/2/2013 18:32,1/2/2013 19:15
199,1/2/2013 18:02,1/2/2013 18:22,1/2/2013 18:45
200,1/2/2013 18:10,1/2/2013 19:12,1/2/2013 19:30
201,1/2/2013 18:13,1/2/2013 18:30,1/2/2013 19:06
202,1/2/2013 18:17,1/2/2013 19:01,1/2/2013 19:26
203,1/2/2013 18:17,1/2/2013 18:50,1/2/2013 19:37
204,1/2/2013 18:25,1/2/2013 19:11,1/2/2013 19:51
205,1/2/2013 18:25,1/2/2013 19:12,1/2/2013 19:45
206,1/2/2013 18:26,,1/2/2013 18:57
207,1/2/2013 18:27,1/2/2013 19:15,1/2/2013 19:48
208,1/2/2013 18:30,,1/2/2013 18:33
209,1/2/2013 18:47,,1/2/2013 20:04
210,1/2/2013 18:49,,1/2/2013 18:50
211,1/2/2013 19:01,1/2/2013 19:46,1/2/2013 20:06
212,1/2/2013 19:01,1/2/2013 19:48,1/2/2013 20:29
213,1/2/2013 19:04,1/2/2013 19:57,1/2/2013 20:34
214,1/2/2013 19:07,1/2/2013 19:32,1/2/2013 20:04
215,1/2/2013 19:07,1/2/2013 19:43,1/2/2013 20:27
216,1/2/2013 19:13,1/2/2013 19:41,1/2/2013 20:08
217,1/2/2013 19:16,,1/2/2013 19:51
218,1/2/2013 19:17,1/2/2013 19:57,1/2/2013 20:30
219,1/2/2013 19:20,1/2/2013 20:08,1/2/2013 20:42
220,1/2/2013 19:21,,1/2/2013 19:40
221,1/2/2013 19:23,1/2/2013 20:02,1/2/2013 20:50
222,1/2/2013 19:34,1/2/2013 20:39,1/2/2013 21:23
223,1/2/2013 19:41,1/2/2013 20:14,1/2/2013 21:01
224,1/2/2013 19:43,,1/2/2013 20:19
225,1/2/2013 19:44,1/2/2013 20:29,1/2/2013 21:23
226,1/2/2013 19:47,1/2/2013 20:22,1/2/2013 21:11
227,1/2/2013 19:49,1/2/2013 20:15,1/2/2013 20:48
228,1/2/2013 19:54,1/2/2013 20:18,1/2/2013 21:03
229,1/2/2013 20:02,1/2/2013 21:04,1/2/2013 21:50
230,1/2/2013 20:07,1/2/2013 20:47,1/2/2013 21:01
231,1/2/2013 20:08,1/2/2013 20:56,1/2/2013 21:48
232,1/2/2013 20:11,,1/2/2013 20:19
233,1/2/2013 20:16,1/2/2013 20:38,1/2/2013 21:20
234,1/2/2013 20:22,1/2/2013 20:53,1/2/2013 21:48
235,1/2/2013 20:27,1/2/2013 21:25,1/2/2013 21:48
236,1/2/2013 20:27,,1/2/2013 21:34
237,1/2/2013 20:35,1/2/2013 21:22,1/2/2013 21:39
238,1/2/2013 20:41,1/2/2013 21:49,1/2/2013 22:22
239,1/2/2013 20:53,1/2/2013 21:12,1/2/2013 21:43
240,1/2/2013 20:53,,1/2/2013 22:37
241,1/2/2013 20:53,1/2/2013 21:29,1/2/2013 21:47
242,1/2/2013 20:55,1/2/2013 21:34,1/2/2013 22:15
243,1/2/2013 21:02,,1/2/2013 23:14
244,1/2/2013 21:04,1/2/2013 21:35,1/2/2013 21:59
245,1/2/2013 21:04,1/2/2013 21:29,1/2/2013 22:09
246,1/2/2013 21:12,1/2/2013 21:58,1/2/2013 23:02
247,1/2/2013 21:13,,1/2/2013 21:20
248,1/2/2013 21:19,1/2/2013 21:51,1/2/2013 22:23
249,1/2/2013 21:25,1/2/2013 21:57,1/2/2013 22:16
250,1/2/2013 21:25,1/2/2013 22:12,1/2/2013 22:32
251,1/2/2013 21:29,,1/2/2013 21:30
252,1/2/2013 21:29,1/2/2013 22:03,1/2/2013 22:51
253,1/2/2013 21:29,1/2/2013 22:15,1/2/2013 22:56
254,1/2/2013 21:30,,1/2/2013 21:44
255,1/2/2013 22:07,,1/2/2013 22:10
256,1/2/2013 22:10,,1/2/2013 22:20
257,1/2/2013 22:11,1/2/2013 22:54,1/2/2013 23:36
258,1/2/2013 22:17,,1/2/2013 22:18
259,1/2/2013 22:20,1/2/2013 23:14,1/2/2013 23:41
260,1/2/2013 22:31,1/2/2013 23:09,1/2/2013 23:33
261,1/2/2013 22:39,,1/2/2013 22:50
262,1/2/2013 22:46,1/2/2013 23:22,1/3/2013 0:12
263,1/2/2013 23:08,1/2/2013 23:57,1/3/2013 0:41
264,1/2/2013 23:08,,1/2/2013 23:18
265,1/2/2013 23:10,1/2/2013 23:40,1/2/2013 23:59
266,1/2/2013 23:17,1/2/2013 23:51,1/3/2013 0:39
267,1/2/2013 23:20,1/2/2013 23:59,1/3/2013 0:33
268,1/2/2013 23:28,1/3/2013 0:17,1/3/2013 0:54
269,1/2/2013 23:30,1/3/2013 0:26,1/3/2013 0:53
270,1/2/2013 23:33,1/3/2013 0:20,1/3/2013 1:20
271,1/2/2013 23:34,1/3/2013 0:07,1/3/2013 0:28
272,1/2/2013 23:37,1/3/2013 0:20,1/3/2013 1:15
273,1/2/2013 23:44,,1/3/2013 0:29
274,1/2/2013 23:47,1/3/2013 0:22,1/3/2013 0:50
275,1/2/2013 23:50,,1/2/2013 23:51
276,1/2/2013 23:52,,1/2/2013 23:53
277,1/2/2013 23:53,1/3/2013 0:29,1/3/2013 0:49
278,1/3/2013 0:04,1/3/2013 0:45,1/3/2013 1:21
279,1/3/2013 0:08,1/3/2013 0:45,1/3/2013 1:34
