start_date,end_date,kgal
2018-03-27T00:00:00Z,2018-04-27T00:00:00Z,24
2018-04-27T00:00:00Z,2018-05-30T00:00:00Z,13
2018-05-30T00:00:00Z,2018-06-28T00:00:00Z,14
2018-06-28T00:00:00Z,2018-07-31T00:00:00Z,19
2018-07-31T00:00:00Z,2018-08-30T00:00:00Z,28
2018-08-30T00:00:00Z,2018-09-28T00:00:00Z,26
2018-09-28T00:00:00Z,2018-10-24T00:00:00Z,14
2018-10-24T00:00:00Z,2018-12-04T00:00:00Z,23
2018-12-04T00:00:00Z,2019-01-02T00:00:00Z,15
2019-01-02T00:00:00Z,2019-02-05T00:00:00Z,19
2019-02-05T00:00:00Z,2019-02-27T00:00:00Z,11
2019-02-27T00:00:00Z,2019-03-29T00:00:00Z,18
2019-03-29T00:00:00Z,2019-04-24T00:00:00Z,13
2019-04-24T00:00:00Z,2019-06-03T00:00:00Z,19
2019-06-03T00:00:00Z,2019-06-28T00:00:00Z,12
2019-06-28T00:00:00Z,2019-07-30T00:00:00Z,20
2019-07-30T00:00:00Z,2019-08-30T00:00:00Z,22
2019-08-30T00:00:00Z,2019-09-27T00:00:00Z,13
2019-09-27T00:00:00Z,10/30/2019,15
10/30/2019,11/26/2019,15
11/26/2019,1/2/2020,27
1/2/2020,1/24/2020,18
1/24/2020,2/25/2020,21
2/25/2020,4/7/2020,22
4/7/2020,5/1/2020,13
5/1/2020,6/1/2020,16
6/1/2020,7/2/2020,17
7/2/2020,8/1/2020,17
8/1/2020,9/1/2020,17
9/1/2020,10/1/2020,17
10/1/2020,11/1/2020,22
11/1/2020,12/1/2020,20
12/1/2020,1/1/2021,19
