cmTop,cmBot,ageTop (yr BP),AgeBot (yr BP),CharVol (cm3),CharCount  (#)
138,139,7360.444329,7430.813141,4,0
139,140,7430.813141,7499.909145,4,0
140,141,7499.909145,7567.731229,4,8
141,142,7567.731229,7634.278279,4,1
142,143,7634.278279,7699.549183,4,2
143,144,7699.549183,7763.542827,4,0
144,145,7763.542827,7826.2581,4,0
145,146,7826.2581,7887.693886,4,0
146,147,7887.693886,7947.849075,4,0
147,148,7947.849075,8006.722551,4,0
148,149,8006.722551,8064.313204,4,0
149,150,8064.313204,8120.619919,4,0
150,151,8120.619919,8175.641583,4,0
151,152,8175.641583,8229.377084,4,1
152,153,8229.377084,8281.825309,4,1
153,154,8281.825309,8332.985144,4,1
154,155,8332.985144,8382.855477,4,1
155,156,8382.855477,8431.435194,4,5
156,157,8431.435194,8478.723183,4,3
157,158,8478.723183,8524.718331,4,0
158,159,8524.718331,8569.419524,4,0
159,160,8569.419524,8612.825649,4,1
160,161,8612.825649,8654.935594,4,1
161,162,8654.935594,8695.748246,4,0
162,163,8695.748246,8735.262491,4,0
163,164,8735.262491,8773.477216,4,1
164,165,8773.477216,8810.391309,4,1
165,166,8810.391309,8846.003657,4,1
166,167,8846.003657,8880.313146,4,5
167,168,8880.313146,8913.320613,4,5
168,169,8913.320613,8945.043866,4,0
169,170,8945.043866,8975.509449,4,2
170,171,8975.509449,9004.743981,4,3
171,172,9004.743981,9032.774077,4,0
172,173,9032.774077,9059.626357,4,2
173,174,9059.626357,9085.327436,4,0
174,175,9085.327436,9109.903932,4,1
175,176,9109.903932,9133.382463,4,2
176,177,9133.382463,9155.789647,4,21
177,178,9155.789647,9177.152099,4,6
178,179,9177.152099,9197.496438,4,0
179,180,9197.496438,9216.849281,4,0
180,181,9216.849281,9235.237246,4,4
181,182,9235.237246,9252.686949,4,1
182,183,9252.686949,9269.225008,4,3
183,184,9269.225008,9284.878041,4,5
184,185,9284.878041,9299.672664,4,0
185,186,9299.672664,9313.635496,4,7
186,187,9313.635496,9326.793153,4,1
187,188,9326.793153,9339.172252,4,5
188,189,9339.172252,9350.799412,4,5
189,190,9350.799412,9361.701249,4,4
190,191,9361.701249,9371.904381,4,2
191,192,9371.904381,9381.435425,4,1
192,193,9381.435425,9390.320998,4,2
193,194,9390.320998,9398.587719,4,8
194,195,9398.587719,9406.262203,4,7
195,196,9406.262203,9413.371069,4,6
196,197,9413.371069,9419.940934,4,1
197,198,9419.940934,9425.998415,4,0
198,199,9425.998415,9431.570129,4,4
199,200,9431.570129,9436.682694,4,3
200,201,9436.682694,9441.362728,4,3
201,202,9441.362728,9445.636847,4,2
202,203,9445.636847,9449.531668,4,4
203,204,9449.531668,9453.073811,4,2
204,205,9453.073811,9456.28989,4,0
205,206,9456.28989,9459.206525,4,1
206,207,9459.206525,9461.850332,4,5
207,208,9461.850332,9464.247928,4,2
208,209,9464.247928,9466.425931,4,2
