MDB;mdb110319;Full Magic Database;All Magic: The Gathering Cards at 2011.03.19.; ;
BLOCK;beg;Beginner Sets;Description;OTHER;
SET;st2k;Starter 2000;Description;07/2000;20
SET;st;Starter 1999;Description;07/1999;173
SET;p3k;Portal Three Kingdoms;Description;05/1999;180
SET;po2;Portal Second Age;Description;06/1998;165
SET;po;Portal;Description;06/1997;222
SET;itp;Introductory Two-Player Set;Description; ;67
BLOCK;ev;Event Incentives;Description;OTHER;
SET;15ann;15th Anniversary;Description; ;2
SET;gpx;Grand Prix;Description; ;5
SET;pro;Pro Tour;Description; ;5
SET;mgdc;Magic Game Day Cards;Description; ;7
SET;wrl;Worlds;Description; ;1
SET;drc;Dragon Con;Description; ;1
BLOCK;tour;Tournament Rewards;Description;OTHER;
SET;ptc;Prerelease Events;Description; ;48
SET;rep;Release Events;Description; ;13
SET;mlp;Magic: The Gathering Launch Parties;Description; ;13
SET;sum;Summer of Magic;Description; ;2
SET;mss;Magic Scholarship Series;Description; ;5
SET;grc;Gateway;Description; ;50
SET;cp;Champs;Description; ;12
SET;thgt;Two-Headed Giant Tournament;Description; ;1
SET;jsr;Junior Series;Description; ;6
SET;ajs;APAC Junior Series;Description; ;4
SET;arena;Arena League;Description; ;83
SET;fnmp;Friday Night Magic;Description; ;131
SET;mprp;Magic Player Rewards;Description; ;53
SET;sus;Super Series;Description; ;13
BLOCK;gift;Gifts;Description;OTHER;
SET;hho;Happy Holidays;Description; ;5
SET;jr;Judge Gift Program;Description; ;58
SET;pot;Portal Demogame;Description; ;6
BLOCK;red;Redemption Rewards;Description;OTHER;
SET;euro;European Land Program;Description; ;15
SET;guru;Guru;Description; ;5
SET;apac;Asia Pacific Land Program;Description; ;15
SET;wotc;WotC Online Store;Description; ;1
BLOCK;uqc;Celebration Cards;Description;OTHER;
SET;uqc;Celebration Cards;Description; ;6
BLOCK;mbp;Media Inserts;Description;OTHER;
SET;mbp;Media Inserts;Description; ;33
BLOCK;dcilm;Membership Incentives;Description;OTHER;
SET;dcilm;Legend Membership;Description; ;2
