# From 24/9/2003 to 31/10/2003
# And 12:00 to 18:00
# Executed at Jun 11, 2011 4:05:33 PM
# Using 100x100
# Desired K: 10
# 
# Format: 
# 	Time start, Time end, Regions
# Region Format:
# 	unique users | reading count | area > <Next Region>
# 
# Total Region Count:
# 8828
############

1067104800000,1067105700000,26|40|550>24|142|1499>24|86|1250>23|134|750>18|29|576>15|67|1240>13|21|1624>13|39|271>13|137|248>12|16|205>12|88|1787
1067105700000,1067106600000,23|77|1499>21|107|750>20|64|1240>17|25|550>15|93|1250>15|24|576>15|36|271>14|31|1624>14|16|205>12|68|1787>10|102|248
1067106600000,1067107500000,9|156|272>27|61|1499>24|71|1624>20|105|726>20|60|1250>18|75|1240>17|37|271>14|25|576>13|68|1787>12|15|205>11|30|550
1067107500000,1067108400000,7|53|2323>39|96|1250>30|132|1499>22|74|1240>22|41|550>17|32|1624>16|27|576>13|91|395>13|36|271>10|127|272
1067108400000,1067109300000,28|78|1250>28|53|1624>26|163|2323>23|51|1499>16|56|1240>15|36|576>14|18|271>12|43|395>11|18|550>10|49|272
1067109300000,1067110200000,9|53|434>42|240|2284>34|80|1250>27|86|1499>21|33|576>20|26|1624>20|35|271>17|55|1240>16|25|550>15|56|272
1067110200000,1067111100000,9|44|477>44|185|2241>31|80|1499>27|76|1250>26|49|271>19|94|1240>18|61|576>18|59|1624>14|52|272>10|18|550
1067111100000,1067112000000,34|120|2241>30|85|1250>29|72|1499>27|49|1624>25|41|550>18|30|271>18|25|576>17|173|1240>16|69|477>15|63|272
1067112000000,1067112900000,36|158|2241>29|80|1499>27|45|1624>25|82|1250>21|42|271>19|41|576>16|135|1240>15|18|550>12|75|477>11|49|272
1067112900000,1067113800000,49|203|2241>37|77|1624>34|116|1499>32|79|1250>22|38|576>20|53|271>20|174|272>19|80|1240>15|86|477>14|17|550
1067113800000,1067114700000,60|270|1121>31|100|1499>29|101|1250>23|49|1624>22|41|576>18|48|272>18|142|1240>17|42|271>16|69|477>14|23|550>0|0|1120
1067114700000,1067115600000,9|74|1233>32|98|1250>30|149|1008>27|68|1499>24|39|1624>20|95|1240>19|58|271>18|42|576>18|63|272>15|18|550>11|47|477
1067115600000,1067116500000,8|51|1479>42|182|762>37|147|1499>34|124|1250>26|57|1624>25|88|1240>22|61|576>21|74|272>18|37|550>16|64|271>12|44|477
1067116500000,1067117400000,35|157|762>34|167|1499>29|56|1624>28|75|1250>24|77|576>20|37|550>19|127|272>16|62|1240>16|45|271>14|48|477>10|62|1479
1067117400000,1067118300000,34|132|762>34|141|1499>27|64|271>23|46|1624>23|73|1250>23|69|576>22|104|477>19|75|1240>17|33|550>17|162|272>11|47|1479
1067118300000,1067119200000,6|44|2070>32|173|1499>31|73|171>31|58|1624>26|71|1250>25|36|550>24|51|271>24|51|576>19|70|1240>18|88|477>16|152|272
1067119200000,1067120100000,2|2|307>35|71|1624>34|224|1499>31|94|1250>24|145|1934>23|34|550>20|86|1240>19|175|272>18|34|576>17|45|271>15|57|477
1067187600000,1067188500000,0|0|3123>0|0|2490>0|0|2206>0|0|847>0|0|1027>1|1|307
1067188500000,1067189400000,64|146|1562>50|251|2206>41|100|847>37|121|2490>29|94|1027>10|29|307>0|0|1561
1067189400000,1067190300000,8|13|368>57|183|2145>47|128|847>36|115|1027>35|92|1562>33|117|2490>17|51|1561
1067190300000,1067191200000,54|239|2145>50|142|847>39|124|1562>38|135|1027>37|132|2490>25|53|1561>11|16|368
1067191200000,1067192100000,57|255|2145>48|145|847>41|135|2490>37|135|1027>32|123|1562>32|48|1561>12|29|368
1067192100000,1067193000000,64|237|1073>36|132|2490>35|95|847>33|119|1562>32|62|1561>31|99|1027>10|18|368>0|0|1072
1067193000000,1067193900000,7|8|478>48|121|737>46|226|1073>41|79|1561>36|126|1562>36|123|1027>35|140|2490>13|61|1072
1067193900000,1067194800000,61|318|1071>44|149|1562>42|152|737>35|102|2490>32|113|1027>27|48|1561>22|26|478>22|63|1072>0|0|2
1067194800000,1067195700000,0|0|1073>49|126|1027>46|165|2490>40|143|1562>38|150|737>33|65|1561>24|58|1072>13|21|478
1067195700000,1067196600000,45|184|1562>43|181|1073>35|112|737>32|49|1561>29|89|1027>28|144|2490>18|73|1072>17|24|478
1067196600000,1067197500000,41|165|1073>38|171|1562>32|95|737>31|121|1027>29|149|2490>27|36|1561>18|45|1072>15|30|478
1067197500000,1067198400000,9|20|525>46|168|1026>45|148|1562>38|58|1561>34|164|1027>32|99|737>28|115|2490>16|59|1072
1067198400000,1067199300000,45|120|737>41|224|1026>41|111|1562>40|154|1027>37|51|1561>35|167|2490>17|60|1072>16|23|525
