"country","year","value","climate_model","scenario","variable"
"TTO",1960,195.839698638949,"gfdl","historic","precipitation"
"TUR",1960,32.8185880362246,"gfdl","historic","precipitation"
"TZA",1960,87.826811422567,"gfdl","historic","precipitation"
"UGA",1960,48.656965569345,"gfdl","historic","precipitation"
"UKR",1960,60.1342117580751,"gfdl","historic","precipitation"
"URY",1960,116.400156676417,"gfdl","historic","precipitation"
"USA",1960,103.265387664676,"gfdl","historic","precipitation"
"UZB",1960,6.33194614293001,"gfdl","historic","precipitation"
"VEN",1960,48.9030601277101,"gfdl","historic","precipitation"
"VNM",1960,139.784425162361,"gfdl","historic","precipitation"
"YEM",1960,"gfdl","historic","precipitation"
"ZAF",1960,66.5994515379195,"gfdl","historic","precipitation"
"ZMB",1960,125.325080865328,"gfdl","historic","precipitation"
"ZWE",1960,82.4371588521919,"gfdl","historic","precipitation"
"AGO",1961,140.393159051308,"gfdl","historic","precipitation"
"AGO",1962,144.908596838698,"gfdl","historic","precipitation"
"AGO",1963,162.458743377241,"gfdl","historic","precipitation"
"AGO",1964,153.045388092661,"gfdl","historic","precipitation"
"AGO",1965,148.863751952054,"gfdl","historic","precipitation"
"AGO",1966,146.379183020366,"gfdl","historic","precipitation"
"AGO",1967,153.86068834415,"gfdl","historic","precipitation"
"AGO",1968,147.255238642448,"gfdl","historic","precipitation"
"AGO",1969,155.151620046592,"gfdl","historic","precipitation"
"AGO",1970,169.034662682389,"gfdl","historic","precipitation"
"ALB",1961,39.801149952059,"gfdl","historic","precipitation"
"ALB",1962,28.6642789404104,"gfdl","historic","precipitation"
"ALB",1963,31.5925549318156,"gfdl","historic","precipitation"
"ALB",1964,45.0386986023259,"gfdl","historic","precipitation"
"ALB",1965,53.8221707542253,"gfdl","historic","precipitation"
"ALB",1966,73.4641680153104,"gfdl","historic","precipitation"
"ALB",1967,59.8981045713174,"gfdl","historic","precipitation"
"ALB",1968,75.649914212814,"gfdl","historic","precipitation"
"ALB",1969,40.3766298416726,"gfdl","historic","precipitation"
"ALB",1970,75.6459361820889,"gfdl","historic","precipitation"
"ARG",1961,132.189565058034,"gfdl","historic","precipitation"
"ARG",1962,114.056658964619,"gfdl","historic","precipitation"
"ARG",1963,125.870028220248,"gfdl","historic","precipitation"
"ARG",1964,110.816075203389,"gfdl","historic","precipitation"
"ARG",1965,114.709335501174,"gfdl","historic","precipitation"
"ARG",1966,106.05953703436,"gfdl","historic","precipitation"
"ARG",1967,97.0395557174264,"gfdl","historic","precipitation"
"ARG",1968,115.092670056303,"gfdl","historic","precipitation"
"ARG",1969,79.5706839382538,"gfdl","historic","precipitation"
"ARG",1970,87.8242215073431,"gfdl","historic","precipitation"
"ARM",1961,"gfdl","historic","precipitation"
"ARM",1962,"gfdl","historic","precipitation"
"ARM",1963,"gfdl","historic","precipitation"
"ARM",1964,"gfdl","historic","precipitation"
"ARM",1965,"gfdl","historic","precipitation"
"ARM",1966,"gfdl","historic","precipitation"
"ARM",1967,"gfdl","historic","precipitation"
"ARM",1968,"gfdl","historic","precipitation"
"ARM",1969,"gfdl","historic","precipitation"
"ARM",1970,"gfdl","historic","precipitation"
"AUS",1961,72.8021224584954,"gfdl","historic","precipitation"
"AUS",1962,52.9420335787514,"gfdl","historic","precipitation"
"AUS",1963,126.051869713889,"gfdl","historic","precipitation"
"AUS",1964,62.2716654692336,"gfdl","historic","precipitation"
"AUS",1965,81.5343052030665,"gfdl","historic","precipitation"
"AUS",1966,49.7694115049727,"gfdl","historic","precipitation"
"AUS",1967,89.3671222528065,"gfdl","historic","precipitation"
"AUS",1968,86.0354723149415,"gfdl","historic","precipitation"
"AUS",1969,71.2951879258457,"gfdl","historic","precipitation"
"AUS",1970,32.1887296740904,"gfdl","historic","precipitation"
"AZE",1961,37.6931756705744,"gfdl","historic","precipitation"
"AZE",1962,22.4273879179236,"gfdl","historic","precipitation"
"AZE",1963,16.9866889671539,"gfdl","historic","precipitation"
"AZE",1964,23.3042800915428,"gfdl","historic","precipitation"
"AZE",1965,28.6966363077227,"gfdl","historic","precipitation"
"AZE",1966,38.2090149912983,"gfdl","historic","precipitation"
"AZE",1967,25.0810031604487,"gfdl","historic","precipitation"
"AZE",1968,30.0104336027289,"gfdl","historic","precipitation"
"AZE",1969,22.0380167331314,"gfdl","historic","precipitation"
"AZE",1970,16.753267160675,"gfdl","historic","precipitation"
"BDI",1961,125.467641250803,"gfdl","historic","precipitation"
"BDI",1962,125.324510436995,"gfdl","historic","precipitation"
"BDI",1963,136.317846862777,"gfdl","historic","precipitation"
"BDI",1964,164.466835133953,"gfdl","historic","precipitation"
"BDI",1965,133.986166560169,"gfdl","historic","precipitation"
"BDI",1966,119.137010781823,"gfdl","historic","precipitation"
"BDI",1967,159.311193031746,"gfdl","historic","precipitation"
"BDI",1968,187.971891363401,"gfdl","historic","precipitation"
"BDI",1969,147.886369840211,"gfdl","historic","precipitation"
"BDI",1970,136.180344317393,"gfdl","historic","precipitation"
"BEN",1961,99.6919078703611,"gfdl","historic","precipitation"
"BEN",1962,131.441057924883,"gfdl","historic","precipitation"
"BEN",1963,130.791838082926,"gfdl","historic","precipitation"
"BEN",1964,172.806531976522,"gfdl","historic","precipitation"
"BEN",1965,129.421245873083,"gfdl","historic","precipitation"
"BEN",1966,129.637789404802,"gfdl","historic","precipitation"
"BEN",1967,144.483289042141,"gfdl","historic","precipitation"
"BEN",1968,170.773567387143,"gfdl","historic","precipitation"
"BEN",1969,163.304766118838,"gfdl","historic","precipitation"
"BEN",1970,155.554073865594,"gfdl","historic","precipitation"
"BFA",1961,130.984663263001,"gfdl","historic","precipitation"
"BFA",1962,148.558492392842,"gfdl","historic","precipitation"
"BFA",1963,157.920415635524,"gfdl","historic","precipitation"
"BFA",1964,136.967072011845,"gfdl","historic","precipitation"
"BFA",1965,173.158678948623,"gfdl","historic","precipitation"
"BFA",1966,140.368962449761,"gfdl","historic","precipitation"
"BFA",1967,115.153163131561,"gfdl","historic","precipitation"
"BFA",1968,170.659663030118,"gfdl","historic","precipitation"
"BFA",1969,143.655471364851,"gfdl","historic","precipitation"
"BFA",1970,158.397149004187,"gfdl","historic","precipitation"
"BGD",1961,"gfdl","historic","precipitation"
