"country","year","value","climate_model","scenario","variable"
"FRA",1964,79.8855067338058,"gfdl","historic","precipitation"
"FRA",1965,69.3913960777008,"gfdl","historic","precipitation"
"FRA",1966,67.9268040810575,"gfdl","historic","precipitation"
"FRA",1967,59.3402820323867,"gfdl","historic","precipitation"
"FRA",1968,53.1363198124092,"gfdl","historic","precipitation"
"FRA",1969,65.629308179954,"gfdl","historic","precipitation"
"FRA",1970,82.2432107003466,"gfdl","historic","precipitation"
"GAB",1961,388.322509639096,"gfdl","historic","precipitation"
"GAB",1962,408.446121515966,"gfdl","historic","precipitation"
"GAB",1963,404.645765059115,"gfdl","historic","precipitation"
"GAB",1964,379.074587632381,"gfdl","historic","precipitation"
"GAB",1965,405.75581957787,"gfdl","historic","precipitation"
"GAB",1966,404.679584870143,"gfdl","historic","precipitation"
"GAB",1967,407.35243799816,"gfdl","historic","precipitation"
"GAB",1968,365.807312825798,"gfdl","historic","precipitation"
"GAB",1969,351.825955192636,"gfdl","historic","precipitation"
"GAB",1970,318.455318702965,"gfdl","historic","precipitation"
"GEO",1961,123.709146478698,"gfdl","historic","precipitation"
"GEO",1962,89.0353888254732,"gfdl","historic","precipitation"
"GEO",1963,102.702763526691,"gfdl","historic","precipitation"
"GEO",1964,65.0127068321062,"gfdl","historic","precipitation"
"GEO",1965,88.9888836400749,"gfdl","historic","precipitation"
"GEO",1966,126.891700849876,"gfdl","historic","precipitation"
"GEO",1967,58.3783657588079,"gfdl","historic","precipitation"
"GEO",1968,114.407994448382,"gfdl","historic","precipitation"
"GEO",1969,72.8819044093842,"gfdl","historic","precipitation"
"GEO",1970,122.356383653537,"gfdl","historic","precipitation"
"GHA",1961,91.9614442519857,"gfdl","historic","precipitation"
"GHA",1962,122.189204031978,"gfdl","historic","precipitation"
"GHA",1963,139.010300061581,"gfdl","historic","precipitation"
"GHA",1964,170.775128252449,"gfdl","historic","precipitation"
"GHA",1965,143.751949848901,"gfdl","historic","precipitation"
"GHA",1966,130.85607137594,"gfdl","historic","precipitation"
"GHA",1967,147.058841505865,"gfdl","historic","precipitation"
"GHA",1968,183.825420051715,"gfdl","historic","precipitation"
"GHA",1969,174.705956588111,"gfdl","historic","precipitation"
"GHA",1970,165.347995873814,"gfdl","historic","precipitation"
"GIN",1961,249.842245928759,"gfdl","historic","precipitation"
"GIN",1962,232.79667819728,"gfdl","historic","precipitation"
"GIN",1963,240.318105149371,"gfdl","historic","precipitation"
"GIN",1964,252.381387033781,"gfdl","historic","precipitation"
"GIN",1965,238.098029508935,"gfdl","historic","precipitation"
"GIN",1966,245.21390197985,"gfdl","historic","precipitation"
"GIN",1967,226.327000961789,"gfdl","historic","precipitation"
"GIN",1968,271.123106693783,"gfdl","historic","precipitation"
"GIN",1969,259.010303733474,"gfdl","historic","precipitation"
"GIN",1970,224.537516415709,"gfdl","historic","precipitation"
"GMB",1961,178.014781081583,"gfdl","historic","precipitation"
"GMB",1962,188.739255729161,"gfdl","historic","precipitation"
"GMB",1963,192.135328170843,"gfdl","historic","precipitation"
"GMB",1964,234.341473714449,"gfdl","historic","precipitation"
"GMB",1965,165.110378454847,"gfdl","historic","precipitation"
"GMB",1966,171.471166647098,"gfdl","historic","precipitation"
"GMB",1967,236.055715510156,"gfdl","historic","precipitation"
"GMB",1968,191.963726619724,"gfdl","historic","precipitation"
"GMB",1969,207.88647425361,"gfdl","historic","precipitation"
"GMB",1970,102.653693163302,"gfdl","historic","precipitation"
"GNB",1961,291.107237170787,"gfdl","historic","precipitation"
"GNB",1962,224.884777448511,"gfdl","historic","precipitation"
"GNB",1963,241.889406159853,"gfdl","historic","precipitation"
"GNB",1964,284.662833435904,"gfdl","historic","precipitation"
"GNB",1965,204.559403278338,"gfdl","historic","precipitation"
"GNB",1966,255.006491437424,"gfdl","historic","precipitation"
"GNB",1967,259.390290907397,"gfdl","historic","precipitation"
"GNB",1968,261.787234460716,"gfdl","historic","precipitation"
"GNB",1969,255.863342300979,"gfdl","historic","precipitation"
"GNB",1970,181.476241081362,"gfdl","historic","precipitation"
"GTM",1961,219.191401458338,"gfdl","historic","precipitation"
"GTM",1962,355.217812105653,"gfdl","historic","precipitation"
"GTM",1963,450.565225226466,"gfdl","historic","precipitation"
"GTM",1964,421.725935561499,"gfdl","historic","precipitation"
"GTM",1965,98.31427059204,"gfdl","historic","precipitation"
"GTM",1966,432.319617073402,"gfdl","historic","precipitation"
"GTM",1967,345.435309781284,"gfdl","historic","precipitation"
"GTM",1968,214.893277954538,"gfdl","historic","precipitation"
"GTM",1969,94.9979012948244,"gfdl","historic","precipitation"
"GTM",1970,87.4204937299139,"gfdl","historic","precipitation"
"GUF",1961,"gfdl","historic","precipitation"
"GUF",1962,"gfdl","historic","precipitation"
"GUF",1963,"gfdl","historic","precipitation"
"GUF",1964,"gfdl","historic","precipitation"
"GUF",1965,"gfdl","historic","precipitation"
"GUF",1966,"gfdl","historic","precipitation"
"GUF",1967,"gfdl","historic","precipitation"
"GUF",1968,"gfdl","historic","precipitation"
"GUF",1969,"gfdl","historic","precipitation"
"GUF",1970,"gfdl","historic","precipitation"
"HRV",1961,78.6962677080691,"gfdl","historic","precipitation"
"HRV",1962,48.7968552064335,"gfdl","historic","precipitation"
"HRV",1963,53.7568661998239,"gfdl","historic","precipitation"
"HRV",1964,88.4312106048098,"gfdl","historic","precipitation"
"HRV",1965,77.6030695564004,"gfdl","historic","precipitation"
"HRV",1966,77.4447814247872,"gfdl","historic","precipitation"
"HRV",1967,74.761977654152,"gfdl","historic","precipitation"
"HRV",1968,81.14403276875,"gfdl","historic","precipitation"
"HRV",1969,86.4607021414537,"gfdl","historic","precipitation"
"HRV",1970,89.5298171688876,"gfdl","historic","precipitation"
"HTI",1961,468.501492462492,"gfdl","historic","precipitation"
"HTI",1962,90.8622328743476,"gfdl","historic","precipitation"
"HTI",1963,247.803138725416,"gfdl","historic","precipitation"
"HTI",1964,94.9457508818484,"gfdl","historic","precipitation"
"HTI",1965,78.7770084408763,"gfdl","historic","precipitation"
"HTI",1966,179.388728522933,"gfdl","historic","precipitation"
"HTI",1967,86.563112593904,"gfdl","historic","precipitation"
"HTI",1968,117.692113193949,"gfdl","historic","precipitation"
"HTI",1969,55.9122123398472,"gfdl","historic","precipitation"
"HTI",1970,61.45879565909,"gfdl","historic","precipitation"
"HUN",1961,59.4732471641139,"gfdl","historic","precipitation"
"HUN",1962,41.1714629595133,"gfdl","historic","precipitation"
"HUN",1963,38.7222238090681,"gfdl","historic","precipitation"
"HUN",1964,66.4636426177908,"gfdl","historic","precipitation"
"HUN",1965,58.1544900576932,"gfdl","historic","precipitation"
"HUN",1966,46.487928550825,"gfdl","historic","precipitation"
"HUN",1967,48.6542006554172,"gfdl","historic","precipitation"
"HUN",1968,59.5331291509094,"gfdl","historic","precipitation"
"HUN",1969,62.154188940879,"gfdl","historic","precipitation"
"HUN",1970,59.8160333004081,"gfdl","historic","precipitation"
"IDN",1961,173.269742958752,"gfdl","historic","precipitation"
"IDN",1962,281.261611225549,"gfdl","historic","precipitation"
"IDN",1963,196.190805684042,"gfdl","historic","precipitation"
"IDN",1964,202.354023363169,"gfdl","historic","precipitation"
"IDN",1965,191.130315988502,"gfdl","historic","precipitation"
"IDN",1966,191.36838619472,"gfdl","historic","precipitation"
"IDN",1967,292.147469293725,"gfdl","historic","precipitation"
"IDN",1968,268.584171988813,"gfdl","historic","precipitation"
"IDN",1969,206.989159984866,"gfdl","historic","precipitation"
"IDN",1970,216.945135746009,"gfdl","historic","precipitation"
"IND",1961,227.706669178035,"gfdl","historic","precipitation"
"IND",1962,349.557604064108,"gfdl","historic","precipitation"
"IND",1963,212.833594224358,"gfdl","historic","precipitation"
"IND",1964,187.265246857093,"gfdl","historic","precipitation"
"IND",1965,55.5133022648507,"gfdl","historic","precipitation"
"IND",1966,248.16972435357,"gfdl","historic","precipitation"
"IND",1967,171.931154540015,"gfdl","historic","precipitation"
"IND",1968,229.309430876484,"gfdl","historic","precipitation"
"IND",1969,286.753493224907,"gfdl","historic","precipitation"
"IND",1970,161.047932959368,"gfdl","historic","precipitation"
"IRN",1961,33.5513204534843,"gfdl","historic","precipitation"
"IRN",1962,11.8838854966338,"gfdl","historic","precipitation"
"IRN",1963,10.8712579816339,"gfdl","historic","precipitation"
"IRN",1964,18.5850251625214,"gfdl","historic","precipitation"
"IRN",1965,17.3182179737645,"gfdl","historic","precipitation"
"IRN",1966,31.4914777049036,"gfdl","historic","precipitation"
"IRN",1967,14.3910233106489,"gfdl","historic","precipitation"
"IRN",1968,19.3633602213385,"gfdl","historic","precipitation"
"IRN",1969,17.1938297876625,"gfdl","historic","precipitation"
"IRN",1970,13.5138540177892,"gfdl","historic","precipitation"
"IRQ",1961,0.142946627836036,"gfdl","historic","precipitation"
"IRQ",1962,0.347436032348697,"gfdl","historic","precipitation"
"IRQ",1963,0.197211781588448,"gfdl","historic","precipitation"
"IRQ",1964,0.0846480231603061,"gfdl","historic","precipitation"
"IRQ",1965,0.212856666276555,"gfdl","historic","precipitation"
"IRQ",1966,0.2406977905626,"gfdl","historic","precipitation"
"IRQ",1967,0.0638686210112768,"gfdl","historic","precipitation"
"IRQ",1968,0.209547555766474,"gfdl","historic","precipitation"
"IRQ",1969,0.202948339318392,"gfdl","historic","precipitation"
"IRQ",1970,0.182989166642762,"gfdl","historic","precipitation"
"ITA",1961,90.832122647824,"gfdl","historic","precipitation"
"ITA",1962,79.9266335958478,"gfdl","historic","precipitation"
"ITA",1963,62.2200661669588,"gfdl","historic","precipitation"
"ITA",1964,97.4824262570842,"gfdl","historic","precipitation"
"ITA",1965,91.5655406238362,"gfdl","historic","precipitation"
"ITA",1966,86.5008442560707,"gfdl","historic","precipitation"
"ITA",1967,63.8691900087616,"gfdl","historic","precipitation"
"ITA",1968,58.0587064960716,"gfdl","historic","precipitation"
"ITA",1969,70.9419833712989,"gfdl","historic","precipitation"
"ITA",1970,93.1046375560828,"gfdl","historic","precipitation"
"JOR",1961,"gfdl","historic","precipitation"
"JOR",1962,"gfdl","historic","precipitation"
"JOR",1963,"gfdl","historic","precipitation"
"JOR",1964,"gfdl","historic","precipitation"
"JOR",1965,"gfdl","historic","precipitation"
"JOR",1966,"gfdl","historic","precipitation"
"JOR",1967,"gfdl","historic","precipitation"
"JOR",1968,"gfdl","historic","precipitation"
"JOR",1969,"gfdl","historic","precipitation"
"JOR",1970,"gfdl","historic","precipitation"
"KAZ",1961,"gfdl","historic","precipitation"
"KAZ",1962,"gfdl","historic","precipitation"
"KAZ",1963,"gfdl","historic","precipitation"
"KAZ",1964,"gfdl","historic","precipitation"
"KAZ",1965,"gfdl","historic","precipitation"
"KAZ",1966,"gfdl","historic","precipitation"
"KAZ",1967,"gfdl","historic","precipitation"
"KAZ",1968,"gfdl","historic","precipitation"
"KAZ",1969,"gfdl","historic","precipitation"
"KAZ",1970,"gfdl","historic","precipitation"
"KEN",1961,83.4535246559863,"gfdl","historic","precipitation"
"KEN",1962,30.7573219773637,"gfdl","historic","precipitation"
"KEN",1963,35.9841639731219,"gfdl","historic","precipitation"
"KEN",1964,36.1500237500047,"gfdl","historic","precipitation"
"KEN",1965,28.4634866282,"gfdl","historic","precipitation"
"KEN",1966,71.4089482820069,"gfdl","historic","precipitation"
"KEN",1967,59.975846056919,"gfdl","historic","precipitation"
"KEN",1968,54.9542823474769,"gfdl","historic","precipitation"
"KEN",1969,66.394578282727,"gfdl","historic","precipitation"
"KEN",1970,42.1871874685658,"gfdl","historic","precipitation"
"KGZ",1961,47.342546124374,"gfdl","historic","precipitation"
"KGZ",1962,18.9541879795721,"gfdl","historic","precipitation"
"KGZ",1963,23.3412303097411,"gfdl","historic","precipitation"
"KGZ",1964,20.0951658847809,"gfdl","historic","precipitation"
"KGZ",1965,63.6009382381576,"gfdl","historic","precipitation"
"KGZ",1966,61.0527676835792,"gfdl","historic","precipitation"
"KGZ",1967,17.0775471585841,"gfdl","historic","precipitation"
"KGZ",1968,33.2411516480613,"gfdl","historic","precipitation"
"KGZ",1969,47.0725543982122,"gfdl","historic","precipitation"
"KGZ",1970,19.4077732750659,"gfdl","historic","precipitation"
"KHM",1961,301.318268989909,"gfdl","historic","precipitation"
"KHM",1962,210.783768113892,"gfdl","historic","precipitation"
"KHM",1963,273.409805796113,"gfdl","historic","precipitation"
"KHM",1964,239.289767834924,"gfdl","historic","precipitation"
"KHM",1965,213.087865097565,"gfdl","historic","precipitation"
"KHM",1966,255.800184704447,"gfdl","historic","precipitation"
"KHM",1967,196.796467856097,"gfdl","historic","precipitation"
"KHM",1968,241.507103997841,"gfdl","historic","precipitation"
"KHM",1969,228.046484695534,"gfdl","historic","precipitation"
"KHM",1970,235.906153514654,"gfdl","historic","precipitation"
"KOR",1961,182.668724851533,"gfdl","historic","precipitation"
"KOR",1962,153.091198098883,"gfdl","historic","precipitation"
"KOR",1963,113.402392974642,"gfdl","historic","precipitation"
"KOR",1964,189.77770940387,"gfdl","historic","precipitation"
"KOR",1965,230.564509968677,"gfdl","historic","precipitation"
"KOR",1966,201.522966281272,"gfdl","historic","precipitation"
"KOR",1967,107.350267847458,"gfdl","historic","precipitation"
"KOR",1968,111.930315667009,"gfdl","historic","precipitation"
"KOR",1969,143.219067869558,"gfdl","historic","precipitation"
"KOR",1970,108.646908645799,"gfdl","historic","precipitation"
"KWT",1961,"gfdl","historic","precipitation"
"KWT",1962,"gfdl","historic","precipitation"
"KWT",1963,"gfdl","historic","precipitation"
"KWT",1964,"gfdl","historic","precipitation"
"KWT",1965,"gfdl","historic","precipitation"
"KWT",1966,"gfdl","historic","precipitation"
"KWT",1967,"gfdl","historic","precipitation"
"KWT",1968,"gfdl","historic","precipitation"
"KWT",1969,"gfdl","historic","precipitation"
"KWT",1970,"gfdl","historic","precipitation"
"LAO",1961,319.345266729578,"gfdl","historic","precipitation"
"LAO",1962,233.865603656869,"gfdl","historic","precipitation"
"LAO",1963,282.533624059147,"gfdl","historic","precipitation"
"LAO",1964,304.534369653842,"gfdl","historic","precipitation"
"LAO",1965,266.85657467286,"gfdl","historic","precipitation"
"LAO",1966,212.473243628717,"gfdl","historic","precipitation"
"LAO",1967,203.409952517273,"gfdl","historic","precipitation"
"LAO",1968,248.748440954586,"gfdl","historic","precipitation"
"LAO",1969,229.069154047103,"gfdl","historic","precipitation"
"LAO",1970,287.684007512103,"gfdl","historic","precipitation"
"LBY",1961,"gfdl","historic","precipitation"
"LBY",1962,"gfdl","historic","precipitation"
"LBY",1963,"gfdl","historic","precipitation"
"LBY",1964,"gfdl","historic","precipitation"
"LBY",1965,"gfdl","historic","precipitation"
"LBY",1966,"gfdl","historic","precipitation"
"LBY",1967,"gfdl","historic","precipitation"
"LBY",1968,"gfdl","historic","precipitation"
"LBY",1969,"gfdl","historic","precipitation"
"LBY",1970,"gfdl","historic","precipitation"
"LKA",1961,170.767688621603,"gfdl","historic","precipitation"
"LKA",1962,177.030321401349,"gfdl","historic","precipitation"
"LKA",1963,285.073019081203,"gfdl","historic","precipitation"
"LKA",1964,162.617115456939,"gfdl","historic","precipitation"
"LKA",1965,245.699791310551,"gfdl","historic","precipitation"
"LKA",1966,126.775016505436,"gfdl","historic","precipitation"
"LKA",1967,253.419962971025,"gfdl","historic","precipitation"
"LKA",1968,270.414116725905,"gfdl","historic","precipitation"
"LKA",1969,70.9538816308661,"gfdl","historic","precipitation"
"LKA",1970,124.870860572067,"gfdl","historic","precipitation"
"LSO",1961,73.7388721692036,"gfdl","historic","precipitation"
"LSO",1962,98.503884703077,"gfdl","historic","precipitation"
"LSO",1963,96.8886426880759,"gfdl","historic","precipitation"
"LSO",1964,86.342137352547,"gfdl","historic","precipitation"
"LSO",1965,86.8224303251772,"gfdl","historic","precipitation"
"LSO",1966,88.7669589816335,"gfdl","historic","precipitation"
"LSO",1967,75.5629045785379,"gfdl","historic","precipitation"
"LSO",1968,92.2442591921634,"gfdl","historic","precipitation"
"LSO",1969,76.1092836603064,"gfdl","historic","precipitation"
"LSO",1970,96.5746999356303,"gfdl","historic","precipitation"
"MAR",1961,34.963534709973,"gfdl","historic","precipitation"
"MAR",1962,16.7471621463336,"gfdl","historic","precipitation"
"MAR",1963,15.0628875525048,"gfdl","historic","precipitation"
"MAR",1964,42.2190964090619,"gfdl","historic","precipitation"
"MAR",1965,15.0645751199303,"gfdl","historic","precipitation"
"MAR",1966,42.6223853265679,"gfdl","historic","precipitation"
"MAR",1967,6.16014761370244,"gfdl","historic","precipitation"
"MAR",1968,10.2901230015734,"gfdl","historic","precipitation"
"MAR",1969,22.4293193070572,"gfdl","historic","precipitation"
"MAR",1970,29.56859369646,"gfdl","historic","precipitation"
"MDA",1961,84.1842837129547,"gfdl","historic","precipitation"
"MDA",1962,38.9313962282592,"gfdl","historic","precipitation"
"MDA",1963,55.433220245371,"gfdl","historic","precipitation"
"MDA",1964,62.9046885693778,"gfdl","historic","precipitation"
"MDA",1965,59.1739203347277,"gfdl","historic","precipitation"
"MDA",1966,44.9693642614319,"gfdl","historic","precipitation"
"MDA",1967,79.5900305031644,"gfdl","historic","precipitation"
"MDA",1968,83.1431707293376,"gfdl","historic","precipitation"
"MDA",1969,47.8504672329089,"gfdl","historic","precipitation"
"MDA",1970,45.2690081599903,"gfdl","historic","precipitation"
"MDG",1961,260.711519394218,"gfdl","historic","precipitation"
"MDG",1962,235.479089365193,"gfdl","historic","precipitation"
"MDG",1963,264.889762150705,"gfdl","historic","precipitation"
"MDG",1964,222.157529763337,"gfdl","historic","precipitation"
"MDG",1965,226.983103012774,"gfdl","historic","precipitation"
"MDG",1966,246.227728278836,"gfdl","historic","precipitation"
"MDG",1967,239.299643944043,"gfdl","historic","precipitation"
"MDG",1968,207.887622941132,"gfdl","historic","precipitation"
"MDG",1969,185.322873418782,"gfdl","historic","precipitation"
"MDG",1970,223.068707796207,"gfdl","historic","precipitation"
"MEX",1961,145.978887612893,"gfdl","historic","precipitation"
"MEX",1962,164.148391156251,"gfdl","historic","precipitation"
"MEX",1963,197.847811040876,"gfdl","historic","precipitation"
"MEX",1964,204.728213486999,"gfdl","historic","precipitation"
"MEX",1965,126.507032843163,"gfdl","historic","precipitation"
"MEX",1966,117.902001595473,"gfdl","historic","precipitation"
"MEX",1967,177.698585013908,"gfdl","historic","precipitation"
"MEX",1968,138.629064069894,"gfdl","historic","precipitation"
"MEX",1969,105.173336744578,"gfdl","historic","precipitation"
"MEX",1970,118.844112906699,"gfdl","historic","precipitation"
"MKD",1961,35.0519580799477,"gfdl","historic","precipitation"
"MKD",1962,25.4715649895407,"gfdl","historic","precipitation"
"MKD",1963,28.9252244428755,"gfdl","historic","precipitation"
"MKD",1964,28.421857338304,"gfdl","historic","precipitation"
"MKD",1965,47.9926421364463,"gfdl","historic","precipitation"
"MKD",1966,62.3868601841968,"gfdl","historic","precipitation"
"MKD",1967,42.4765998047344,"gfdl","historic","precipitation"
"MKD",1968,71.8818604274459,"gfdl","historic","precipitation"
"MKD",1969,27.4935663982083,"gfdl","historic","precipitation"
"MKD",1970,57.000351272754,"gfdl","historic","precipitation"
"MLI",1961,163.25457193616,"gfdl","historic","precipitation"
"MLI",1962,162.664851375784,"gfdl","historic","precipitation"
"MLI",1963,179.245536727858,"gfdl","historic","precipitation"
"MLI",1964,154.585892962069,"gfdl","historic","precipitation"
"MLI",1965,193.913988599647,"gfdl","historic","precipitation"
"MLI",1966,160.089082422674,"gfdl","historic","precipitation"
"MLI",1967,143.122887681315,"gfdl","historic","precipitation"
"MLI",1968,191.453899854744,"gfdl","historic","precipitation"
"MLI",1969,155.763105989268,"gfdl","historic","precipitation"
"MLI",1970,149.241257109653,"gfdl","historic","precipitation"
"MMR",1961,60.5166494114801,"gfdl","historic","precipitation"
"MMR",1962,77.4671744401547,"gfdl","historic","precipitation"
"MMR",1963,38.1499430193968,"gfdl","historic","precipitation"
"MMR",1964,45.63547902618,"gfdl","historic","precipitation"
"MMR",1965,17.0361171543592,"gfdl","historic","precipitation"
"MMR",1966,92.8742474519952,"gfdl","historic","precipitation"
"MMR",1967,20.0633086798036,"gfdl","historic","precipitation"
"MMR",1968,18.7503449589378,"gfdl","historic","precipitation"
"MMR",1969,65.0442352804241,"gfdl","historic","precipitation"
"MMR",1970,33.3915606253553,"gfdl","historic","precipitation"
"MNG",1961,"gfdl","historic","precipitation"
"MNG",1962,"gfdl","historic","precipitation"
"MNG",1963,"gfdl","historic","precipitation"
"MNG",1964,"gfdl","historic","precipitation"
"MNG",1965,"gfdl","historic","precipitation"
"MNG",1966,"gfdl","historic","precipitation"
"MNG",1967,"gfdl","historic","precipitation"
"MNG",1968,"gfdl","historic","precipitation"
"MNG",1969,"gfdl","historic","precipitation"
"MNG",1970,"gfdl","historic","precipitation"
"MOZ",1961,156.862027274928,"gfdl","historic","precipitation"
"MOZ",1962,166.892553686838,"gfdl","historic","precipitation"
"MOZ",1963,168.603550360251,"gfdl","historic","precipitation"
"MOZ",1964,171.313659208512,"gfdl","historic","precipitation"
"MOZ",1965,164.546703889204,"gfdl","historic","precipitation"
"MOZ",1966,174.47765150712,"gfdl","historic","precipitation"
"MOZ",1967,144.831928970094,"gfdl","historic","precipitation"
"MOZ",1968,152.249742268602,"gfdl","historic","precipitation"
"MOZ",1969,157.879475001482,"gfdl","historic","precipitation"
"MOZ",1970,186.296912384892,"gfdl","historic","precipitation"
"MRT",1961,72.6529446587982,"gfdl","historic","precipitation"
"MRT",1962,79.3255129113761,"gfdl","historic","precipitation"
"MRT",1963,84.8215990684627,"gfdl","historic","precipitation"
"MRT",1964,69.2424548255649,"gfdl","historic","precipitation"
"MRT",1965,67.6933263168214,"gfdl","historic","precipitation"
"MRT",1966,64.747356604038,"gfdl","historic","precipitation"
"MRT",1967,78.2687859171646,"gfdl","historic","precipitation"
"MRT",1968,78.9697535278996,"gfdl","historic","precipitation"
"MRT",1969,67.9220198810388,"gfdl","historic","precipitation"
"MRT",1970,70.4288074410349,"gfdl","historic","precipitation"
"MWI",1961,130.359534026904,"gfdl","historic","precipitation"
"MWI",1962,118.303716748467,"gfdl","historic","precipitation"
"MWI",1963,118.62859854036,"gfdl","historic","precipitation"
"MWI",1964,117.314822179268,"gfdl","historic","precipitation"
"MWI",1965,140.981212076842,"gfdl","historic","precipitation"
"MWI",1966,119.038883298082,"gfdl","historic","precipitation"
"MWI",1967,124.562576733804,"gfdl","historic","precipitation"
"MWI",1968,128.732754902831,"gfdl","historic","precipitation"
"MWI",1969,135.018394836306,"gfdl","historic","precipitation"
"MWI",1970,154.35936579017,"gfdl","historic","precipitation"
"MYS",1961,"gfdl","historic","precipitation"
"MYS",1962,"gfdl","historic","precipitation"
"MYS",1963,"gfdl","historic","precipitation"
"MYS",1964,"gfdl","historic","precipitation"
"MYS",1965,"gfdl","historic","precipitation"
"MYS",1966,"gfdl","historic","precipitation"
"MYS",1967,"gfdl","historic","precipitation"
"MYS",1968,"gfdl","historic","precipitation"
"MYS",1969,"gfdl","historic","precipitation"
"MYS",1970,"gfdl","historic","precipitation"
"NAM",1961,24.1558072703486,"gfdl","historic","precipitation"
"NAM",1962,35.3376864083976,"gfdl","historic","precipitation"
"NAM",1963,36.617751551007,"gfdl","historic","precipitation"
"NAM",1964,34.3908231587534,"gfdl","historic","precipitation"
"NAM",1965,54.3771283352373,"gfdl","historic","precipitation"
"NAM",1966,19.9799172224482,"gfdl","historic","precipitation"
"NAM",1967,53.5991152460654,"gfdl","historic","precipitation"
"NAM",1968,55.3144333389928,"gfdl","historic","precipitation"
"NAM",1969,40.4178602703067,"gfdl","historic","precipitation"
"NAM",1970,41.9698356983803,"gfdl","historic","precipitation"
"NER",1961,88.741542129412,"gfdl","historic","precipitation"
"NER",1962,82.0638429755237,"gfdl","historic","precipitation"
"NER",1963,91.1014887063729,"gfdl","historic","precipitation"
"NER",1964,72.7503598828339,"gfdl","historic","precipitation"
"NER",1965,99.2191058669626,"gfdl","historic","precipitation"
"NER",1966,115.202191549202,"gfdl","historic","precipitation"
"NER",1967,74.9888767815707,"gfdl","historic","precipitation"
"NER",1968,95.7140048424319,"gfdl","historic","precipitation"
"NER",1969,63.2407326318981,"gfdl","historic","precipitation"
"NER",1970,124.98122619481,"gfdl","historic","precipitation"
"NGA",1961,147.104882326253,"gfdl","historic","precipitation"
"NGA",1962,188.574028019356,"gfdl","historic","precipitation"
"NGA",1963,176.607482586744,"gfdl","historic","precipitation"
"NGA",1964,188.866139848468,"gfdl","historic","precipitation"
"NGA",1965,150.868165257566,"gfdl","historic","precipitation"
"NGA",1966,164.452004303526,"gfdl","historic","precipitation"
"NGA",1967,179.336962367729,"gfdl","historic","precipitation"
"NGA",1968,207.543063857292,"gfdl","historic","precipitation"
"NGA",1969,186.220908701265,"gfdl","historic","precipitation"
"NGA",1970,207.049832263806,"gfdl","historic","precipitation"
"NIC",1961,327.208756531039,"gfdl","historic","precipitation"
"NIC",1962,227.455728022485,"gfdl","historic","precipitation"
"NIC",1963,434.660832755816,"gfdl","historic","precipitation"
"NIC",1964,314.219431733085,"gfdl","historic","precipitation"
"NIC",1965,37.035057661132,"gfdl","historic","precipitation"
"NIC",1966,407.156319515469,"gfdl","historic","precipitation"
"NIC",1967,311.206498823994,"gfdl","historic","precipitation"
"NIC",1968,129.687857430638,"gfdl","historic","precipitation"
"NIC",1969,45.1645631449894,"gfdl","historic","precipitation"
"NIC",1970,37.7740867955595,"gfdl","historic","precipitation"
"NPL",1961,214.437148598699,"gfdl","historic","precipitation"
"NPL",1962,231.583753880774,"gfdl","historic","precipitation"
"NPL",1963,234.298548378931,"gfdl","historic","precipitation"
"NPL",1964,264.25497257645,"gfdl","historic","precipitation"
"NPL",1965,224.014694085401,"gfdl","historic","precipitation"
"NPL",1966,221.001920482814,"gfdl","historic","precipitation"
"NPL",1967,265.946987015848,"gfdl","historic","precipitation"
"NPL",1968,261.544611971681,"gfdl","historic","precipitation"
"NPL",1969,239.737142720026,"gfdl","historic","precipitation"
"NPL",1970,249.549249397287,"gfdl","historic","precipitation"
"OMN",1961,"gfdl","historic","precipitation"
"OMN",1962,"gfdl","historic","precipitation"
"OMN",1963,"gfdl","historic","precipitation"
"OMN",1964,"gfdl","historic","precipitation"
"OMN",1965,"gfdl","historic","precipitation"
"OMN",1966,"gfdl","historic","precipitation"
"OMN",1967,"gfdl","historic","precipitation"
"OMN",1968,"gfdl","historic","precipitation"
"OMN",1969,"gfdl","historic","precipitation"
"OMN",1970,"gfdl","historic","precipitation"
"PAK",1961,71.3324902027728,"gfdl","historic","precipitation"
"PAK",1962,100.321724368176,"gfdl","historic","precipitation"
"PAK",1963,92.8765460324482,"gfdl","historic","precipitation"
"PAK",1964,72.2119347498863,"gfdl","historic","precipitation"
"PAK",1965,10.9421165381119,"gfdl","historic","precipitation"
"PAK",1966,68.7364216189455,"gfdl","historic","precipitation"
"PAK",1967,34.4237028781626,"gfdl","historic","precipitation"
"PAK",1968,41.2280477217515,"gfdl","historic","precipitation"
"PAK",1969,146.404974905323,"gfdl","historic","precipitation"
"PAK",1970,39.0135399707381,"gfdl","historic","precipitation"
"PAN",1961,331.21571955458,"gfdl","historic","precipitation"
"PAN",1962,290.765478241175,"gfdl","historic","precipitation"
"PAN",1963,280.785220849637,"gfdl","historic","precipitation"
"PAN",1964,298.889411613824,"gfdl","historic","precipitation"
"PAN",1965,220.650829523837,"gfdl","historic","precipitation"
"PAN",1966,347.791062674997,"gfdl","historic","precipitation"
"PAN",1967,192.060408077579,"gfdl","historic","precipitation"
"PAN",1968,264.607900799107,"gfdl","historic","precipitation"
"PAN",1969,149.883361353464,"gfdl","historic","precipitation"
"PAN",1970,252.092874414603,"gfdl","historic","precipitation"
"PER",1961,106.165421760774,"gfdl","historic","precipitation"
