2/28/2008,1:00:00,NaN
2/28/2008,2:00:00,NaN
2/28/2008,3:00:00,NaN
2/28/2008,4:00:00,NaN
2/28/2008,5:00:00,NaN
2/28/2008,6:00:00,NaN
2/28/2008,7:00:00,NaN
2/28/2008,8:00:00,NaN
2/28/2008,9:00:00,NaN
2/28/2008,10:00:00,NaN
2/28/2008,11:00:00,83
2/28/2008,12:00:00,70
2/28/2008,13:00:00,67
2/28/2008,14:00:00,67
2/28/2008,15:00:00,68
2/28/2008,16:00:00,79
2/28/2008,17:00:00,88
2/28/2008,18:00:00,96
2/28/2008,19:00:00,99
2/28/2008,20:00:00,96
2/28/2008,21:00:00,97
2/28/2008,22:00:00,97
2/28/2008,23:00:00,98
2/29/2008,0:00:00,98
2/29/2008,1:00:00,99
2/29/2008,2:00:00,99
2/29/2008,3:00:00,96
2/29/2008,4:00:00,100
2/29/2008,5:00:00,100
2/29/2008,6:00:00,100
2/29/2008,7:00:00,100
2/29/2008,8:00:00,76
2/29/2008,9:00:00,68
2/29/2008,10:00:00,69
2/29/2008,11:00:00,64
2/29/2008,12:00:00,60
2/29/2008,13:00:00,55
2/29/2008,14:00:00,54
2/29/2008,15:00:00,26
2/29/2008,16:00:00,23
2/29/2008,17:00:00,44
2/29/2008,18:00:00,82
2/29/2008,19:00:00,73
2/29/2008,20:00:00,78
2/29/2008,21:00:00,77
2/29/2008,22:00:00,77
2/29/2008,23:00:00,80
3/1/2008,0:00:00,77
3/1/2008,1:00:00,67
3/1/2008,2:00:00,77
3/1/2008,3:00:00,82
3/1/2008,4:00:00,84
3/1/2008,5:00:00,84
3/1/2008,6:00:00,87
3/1/2008,7:00:00,84
3/1/2008,8:00:00,72
3/1/2008,9:00:00,71
3/1/2008,10:00:00,57
3/1/2008,11:00:00,51
3/1/2008,12:00:00,45
3/1/2008,13:00:00,48
3/1/2008,14:00:00,45
3/1/2008,15:00:00,47
3/1/2008,16:00:00,52
3/1/2008,17:00:00,75
3/1/2008,18:00:00,89
3/1/2008,19:00:00,94
3/1/2008,20:00:00,98
3/1/2008,21:00:00,100
3/1/2008,22:00:00,99
3/1/2008,23:00:00,100
3/2/2008,0:00:00,100
3/2/2008,1:00:00,95
3/2/2008,2:00:00,97
3/2/2008,3:00:00,97
3/2/2008,4:00:00,97
3/2/2008,5:00:00,99
3/2/2008,6:00:00,95
3/2/2008,7:00:00,97
3/2/2008,8:00:00,90
3/2/2008,9:00:00,93
3/2/2008,10:00:00,81
3/2/2008,11:00:00,75
3/2/2008,12:00:00,65
3/2/2008,13:00:00,63
3/2/2008,14:00:00,55
3/2/2008,15:00:00,55
3/2/2008,16:00:00,62
3/2/2008,17:00:00,74
3/2/2008,18:00:00,85
3/2/2008,19:00:00,90
3/2/2008,20:00:00,96
3/2/2008,21:00:00,99
3/2/2008,22:00:00,100
3/2/2008,23:00:00,100
3/3/2008,0:00:00,93
3/3/2008,1:00:00,96
3/3/2008,2:00:00,96
3/3/2008,3:00:00,99
3/3/2008,4:00:00,98
3/3/2008,5:00:00,94
3/3/2008,6:00:00,96
3/3/2008,7:00:00,90
3/3/2008,8:00:00,78
3/3/2008,9:00:00,73
3/3/2008,10:00:00,64
3/3/2008,11:00:00,64
3/3/2008,12:00:00,67
3/3/2008,13:00:00,60
3/3/2008,14:00:00,58
3/3/2008,15:00:00,49
3/3/2008,16:00:00,63
3/3/2008,17:00:00,76
3/3/2008,18:00:00,96
3/3/2008,19:00:00,98
3/3/2008,20:00:00,100
3/3/2008,21:00:00,99
3/3/2008,22:00:00,99
3/3/2008,23:00:00,100
3/4/2008,0:00:00,100
3/4/2008,1:00:00,97
3/4/2008,2:00:00,95
3/4/2008,3:00:00,97
3/4/2008,4:00:00,98
3/4/2008,5:00:00,99
3/4/2008,6:00:00,94
3/4/2008,7:00:00,92
3/4/2008,8:00:00,89
3/4/2008,9:00:00,80
3/4/2008,10:00:00,82
3/4/2008,11:00:00,66
3/4/2008,12:00:00,58
