Lat_min	Lat_max	Lon_min	Lon_max	FeO_wt%	Error(%)
89	90	-180	-179	3.952725545	36.18485053
89	90	-179	-178	3.952720989	35.58930347
89	90	-178	-177	3.952833516	36.25959079
89	90	-177	-176	3.95282896	35.85538405
89	90	-176	-175	3.952941487	35.1907022
89	90	-175	-174	3.952936931	35.66351981
89	90	-174	-173	3.953049458	35.96441499
89	90	-173	-172	3.953044901	35.69045891
89	90	-172	-171	3.953157429	35.5185351
89	90	-171	-170	3.953269956	36.03052761
89	90	-170	-169	3.953265399	35.97380278
89	90	-169	-168	3.948041158	35.93463142
89	90	-168	-167	3.948032057	35.72966856
89	90	-167	-166	3.951444999	35.35817409
89	90	-166	-165	3.951426781	35.74751718
89	90	-165	-164	3.951525615	35.89159911
89	90	-164	-163	3.951511952	35.61522029
89	90	-163	-162	3.951606231	35.91259275
89	90	-162	-161	3.951592567	36.37384369
89	90	-161	-160	3.9516914	36.04053822
89	90	-160	-159	3.951677737	35.83142479
89	90	-159	-158	3.951772014	36.00553978
89	90	-158	-157	3.951758351	35.82564088
89	90	-157	-156	3.951857182	35.8974381
89	90	-156	-155	3.951843519	36.09116821
89	90	-155	-154	3.95194235	35.80485365
89	90	-154	-153	3.951928686	35.8343105
89	90	-153	-152	3.951915023	36.1071248
89	90	-152	-151	3.952013853	36.16781561
89	90	-151	-150	3.95200019	36.04520966
89	90	-150	-149	3.952099019	36.13754042
89	90	-149	-148	3.95208991	35.30824174
89	90	-148	-147	3.95218874	35.99835228
89	90	-147	-146	3.952175076	35.46677762
89	90	-146	-145	3.952165967	35.5253081
89	90	-145	-144	3.947389845	35.9229212
89	90	-144	-143	3.94737165	35.88973314
89	90	-143	-142	3.950751592	35.79283303
89	90	-142	-141	3.950724275	35.20332582
89	90	-141	-140	3.950701511	36.1707456
89	90	-140	-139	3.950791216	36.29370756
89	90	-139	-138	3.950763899	35.86166412
89	90	-138	-137	3.950741135	35.83565556
89	90	-137	-136	3.950830838	36.32399834
89	90	-136	-135	3.950808075	35.73141954
89	90	-135	-134	3.950780758	35.99770307
89	90	-134	-133	3.950757995	35.85318131
89	90	-133	-132	3.950847697	35.59567582
89	90	-132	-131	3.950824933	35.96086752
89	90	-131	-130	3.95080217	36.08663052
89	90	-130	-129	3.950891871	36.11613962
89	90	-129	-128	3.95087366	35.72616011
89	90	-128	-127	3.950850897	36.32537117
89	90	-127	-126	3.950828134	35.79311236
89	90	-126	-125	3.950917834	35.31085768
89	90	-125	-124	3.950899623	35.78447849
89	90	-124	-123	3.95087686	36.03850231
89	90	-123	-122	3.950858649	35.75766944
89	90	-122	-121	3.950835886	35.97918628
89	90	-121	-120	3.948900208	35.7268127
89	90	-120	-119	3.948877457	35.42875375
89	90	-119	-118	3.952050245	35.61126199
89	90	-118	-117	3.952022922	35.3463439
89	90	-117	-116	3.951991044	35.67537252
89	90	-116	-115	3.951963721	35.74167862
89	90	-115	-114	3.951936398	35.50056218
89	90	-114	-113	3.952021551	35.48063306
89	90	-113	-112	3.951994228	36.13823853
89	90	-112	-111	3.951966906	36.1709617
89	90	-111	-110	3.951939583	35.64573348
89	90	-110	-109	3.951912261	35.98216276
89	90	-109	-108	3.951884938	35.65964098
89	90	-108	-107	3.951857616	35.48895251
89	90	-107	-106	3.951834848	36.51367405
89	90	-106	-105	3.951807526	35.57432552
89	90	-105	-104	3.951780205	35.96035886
89	90	-104	-103	3.951757437	35.08060512
89	90	-103	-102	3.951730116	35.67429454
89	90	-102	-101	3.951707349	35.47565929
89	90	-101	-100	3.951680028	35.70970736
89	90	-100	-99	3.951657261	35.78222821
89	90	-99	-98	3.951634494	35.79848396
89	90	-98	-97	3.951607174	35.93536326
89	90	-97	-96	3.949895495	35.69831961
89	90	-96	-95	3.949868187	35.61302341
89	90	-95	-94	3.957184533	35.23694392
89	90	-94	-93	3.957143493	36.22372144
89	90	-93	-92	3.956989904	35.60846783
89	90	-92	-91	3.956948865	36.36157887
89	90	-91	-90	3.956907828	35.64051067
89	90	-90	-89	3.95687135	35.93781978
89	90	-89	-88	3.956830313	35.8880225
89	90	-88	-87	3.956793836	35.69423184
89	90	-87	-86	3.9567528	35.87989072
89	90	-86	-85	3.956603778	35.6277639
89	90	-85	-84	3.956562743	35.82378576
89	90	-84	-83	3.956526268	36.10003467
89	90	-83	-82	3.956489794	36.17561504
89	90	-82	-81	3.95645332	35.48766312
89	90	-81	-80	3.956304302	35.96304196
89	90	-80	-79	3.956267829	36.24885061
89	90	-79	-78	3.956231357	35.73559314
89	90	-78	-77	3.956199444	36.02956108
89	90	-77	-76	3.95605043	35.66094848
89	90	-76	-75	3.956018518	35.66763081
89	90	-75	-74	3.955982047	36.13772168
89	90	-74	-73	3.955950136	36.16125301
89	90	-73	-72	3.952360873	36.20372076
