CalBP	OC_(wt%)	TC_(wt%)		CalBP	OC+SD_(wt%)	TC+SD_(wt%)		CalYr_AD	CalBP	Marine_Temp_(degC)
2310	2.69	1.47		2310	1.47	3.00		1917.4	39	7.2
2335	2.69	1.49		2335	1.49	3.01		1916.6	40	7.3
2360	2.69	1.51		2360	1.51	3.02		1915.8	41	9.2
2385	2.68	1.54		2385	1.54	3.03		1914.9	42	8.5
2410	2.67	1.56		2410	1.56	3.05		1914.1	43	8.3
2435	2.66	1.59		2435	1.59	3.06		1913.3	44	8.3
2460	2.65	1.61		2460	1.61	3.05		1912.4	45	8.2
2485	2.64	1.62		2485	1.62	3.02		1911.6	46	8.5
2510	2.64	1.64		2510	1.64	3.00		1910.8	47	7.6
2535	2.64	1.66		2535	1.66	2.97		1909.9	48	7.5
2560	2.64	1.68		2560	1.68	2.95		1909.1	49	7.5
2585	2.64	1.68		2585	1.68	2.92		1908.3	50	6.2
2610	2.64	1.67		2610	1.67	2.90		1907.4	51	7.3
2635	2.63	1.66		2635	1.66	2.88		1906.6	52	8.5
2660	2.63	1.65		2660	1.65	2.86		1905.8	53	7.7
2685	2.63	1.64		2685	1.64	2.83		1904.9	54	7.8
2710	2.63	1.64		2710	1.64	2.81		1904.1	55	7.2
2735	2.63	1.63		2735	1.63	2.80		1903.3	56	8.3
2760	2.63	1.62		2760	1.62	2.78		1902.4	57	8.2
2785	2.63	1.61		2785	1.61	2.76		1901.6	58	8.0
2810	2.63	1.60		2810	1.60	2.75		1900.8	59	7.9
2835	2.63	1.59		2835	1.59	2.74		1899.9	60	8.4
2860	2.63	1.58		2860	1.58	2.74		1899.1	61	9.3
2885	2.63	1.57		2885	1.57	2.74		1898.3	62	9.5
2910	2.63	1.56		2910	1.56	2.75		1897.4	63	8.0
2935	2.63	1.55		2935	1.55	2.76		1896.6	64	8.0
2960	2.63	1.54		2960	1.54	2.77		1895.8	65	7.6
2985	2.62	1.53		2985	1.53	2.79		1895.0	66	8.8
3010	2.62	1.53		3010	1.53	2.80		1894.1	67	9.0
3035	2.62	1.52		3035	1.52	2.82		1893.3	68	6.6
3060	2.62	1.51		3060	1.51	2.84		1892.5	69	7.8
3085	2.63	1.50		3085	1.50	2.86		1891.6	70	8.5
3110	2.63	1.49		3110	1.49	2.88		1890.8	71	9.4
3135	2.63	1.48		3135	1.48	2.90		1890.0	72	8.2
3160	2.62	1.48		3160	1.48	2.92		1889.1	73	7.8
3185	2.62	1.47		3185	1.47	2.93		1888.3	74	7.3
3210	2.61	1.47		3210	1.47	2.92		1887.5	75	7.8
3235	2.61	1.49		3235	1.49	2.91		1886.6	76	5.1
3260	2.60	1.50		3260	1.50	2.91		1885.8	77	8.1
3285	2.60	1.52		3285	1.52	2.90		1885.0	78	10.6
3310	2.60	1.54		3310	1.54	2.89		1884.1	79	9.7
3335	2.59	1.56		3335	1.56	2.88		1883.3	80	9.3
3360	2.60	1.58		3360	1.58	2.88		1882.5	81	9.5
3385	2.61	1.60		3385	1.60	2.88		1881.6	82	8.4
3410	2.61	1.63		3410	1.63	2.87		1880.8	83	11.0
3435	2.62	1.67		3435	1.67	2.86		1880.0	84	8.7
3460	2.63	1.72		3460	1.72	2.85		1879.1	85	8.4
3485	2.63	1.76		3485	1.76	2.85		1878.3	86	7.5
3510	2.64	1.80		3510	1.80	2.84		1877.5	87	8.3
3535	2.66	1.84		3535	1.84	2.83		1876.6	88	7.7
3560	2.66	1.87		3560	1.87	2.83		1875.8	89	9.1
