Date	INDICATORS_BCI_M	INDICATORS_CCI_M
1993-11-01	97.96018	98.66649
1993-12-01	97.88948	99.04406
1994-01-01	97.85038	99.43108
1994-02-01	97.84259	99.72183
1994-03-01	97.87643	99.93823
1994-04-01	97.9689	100.1217
1994-05-01	98.09807	100.2992
1994-06-01	98.24646	100.4826
1994-07-01	98.40777	100.6738
1994-08-01	98.57428	100.8634
1994-09-01	98.74078	101.0228
1994-10-01	98.90311	101.0965
1994-11-01	99.05683	101.0258
1994-12-01	99.19169	100.8574
1995-01-01	99.2945	100.6317
1995-02-01	99.37115	100.3684
1995-03-01	99.41998	100.1097
1995-04-01	99.43151	99.91006
1995-05-01	99.41595	99.82044
1995-06-01	99.37722	99.81443
1995-07-01	99.31423	99.87775
1995-08-01	99.24524	100.0143
1995-09-01	99.19344	100.1829
1995-10-01	99.17855	100.3431
1995-11-01	99.19115	100.4692
1995-12-01	99.22453	100.5732
1996-01-01	99.27888	100.669
1996-02-01	99.34487	100.7606
1996-03-01	99.41611	100.8371
1996-04-01	99.48997	100.8725
1996-05-01	99.56319	100.8408
1996-06-01	99.63229	100.7714
1996-07-01	99.69447	100.6896
1996-08-01	99.75282	100.595
1996-09-01	99.8118	100.4518
1996-10-01	99.87681	100.1922
1996-11-01	99.95287	99.76815
1996-12-01	100.0489	99.3199
1997-01-01	100.1711	99.05207
1997-02-01	100.2958	99.13425
1997-03-01	100.3877	99.42104
1997-04-01	100.4152	99.73505
1997-05-01	100.3981	99.94527
1997-06-01	100.3529	100.0182
1997-07-01	100.2829	99.89911
1997-08-01	100.1959	99.53001
1997-09-01	100.0887	99.06039
1997-10-01	99.94765	98.66844
1997-11-01	99.77006	98.48292
1997-12-01	99.53885	98.42733
1998-01-01	99.23335	98.40549
1998-02-01	98.89399	98.3571
1998-03-01	98.56854	98.27956
1998-04-01	98.29248	98.18507
1998-05-01	98.05519	98.0869
1998-06-01	97.84776	98.00261
1998-07-01	97.67184	97.96087
1998-08-01	97.51886	97.99448
1998-09-01	97.39181	98.09083
1998-10-01	97.30421	98.2496
1998-11-01	97.25315	98.47765
1998-12-01	97.24987	98.7216
1999-01-01	97.31384	98.91359
1999-02-01	97.41904	99.0013
1999-03-01	97.54431	99.02975
1999-04-01	97.68249	99.05363
1999-05-01	97.82935	99.10886
1999-06-01	97.98731	99.18865
1999-07-01	98.16038	99.27966
1999-08-01	98.33795	99.37337
1999-09-01	98.50624	99.46655
1999-10-01	98.65514	99.55862
1999-11-01	98.79435	99.64996
1999-12-01	98.93624	99.741
2000-01-01	99.08831	99.83223
2000-02-01	99.24298	99.92446
2000-03-01	99.38744	100.0189
2000-04-01	99.51073	100.116
2000-05-01	99.62122	100.2129
2000-06-01	99.72774	100.2968
2000-07-01	99.83358	100.3399
2000-08-01	99.93443	100.3067
2000-09-01	100.0165	100.2021
2000-10-01	100.0594	100.0133
2000-11-01	100.0585	99.72306
2000-12-01	99.99123	99.40759
2001-01-01	99.82796	99.16118
2001-02-01	99.60918	99.04671
2001-03-01	99.37305	98.97683
2001-04-01	99.13869	98.82849
2001-05-01	98.90673	98.51273
2001-06-01	98.67123	98.12307
2001-07-01	98.42932	97.79482
2001-08-01	98.19436	97.63828
2001-09-01	97.99185	97.61044
2001-10-01	97.84851	97.67165
2001-11-01	97.74889	97.81335
2001-12-01	97.68716	97.99693
2002-01-01	97.67528	98.19461
2002-02-01	97.71313	98.38838
2002-03-01	97.82213	98.55499
2002-04-01	98.02888	98.65469
2002-05-01	98.27789	98.64728
2002-06-01	98.50256	98.57493
2002-07-01	98.65388	98.47835
2002-08-01	98.75359	98.37778
2002-09-01	98.82672	98.27837
2002-10-01	98.88578	98.17935
2002-11-01	98.94147	98.08226
2002-12-01	98.9997	97.9986
2003-01-01	99.06194	97.95563
2003-02-01	99.12296	97.98877
2003-03-01	99.17479	98.09327
2003-04-01	99.21169	98.28235
2003-05-01	99.24454	98.57401
2003-06-01	99.29047	98.89321
2003-07-01	99.36663	99.14542
2003-08-01	99.4709	99.26257
2003-09-01	99.60789	99.31601
2003-10-01	99.78688	99.39933
2003-11-01	99.98699	99.57498
2003-12-01	100.1862	99.79092
2004-01-01	100.369	99.97881
2004-02-01	100.5354	100.112
2004-03-01	100.6833	100.2916
2004-04-01	100.8068	100.613
2004-05-01	100.9143	100.9044
2004-06-01	101.0088	101.0626
2004-07-01	101.0855	101.3641
2004-08-01	101.1419	101.4855
2004-09-01	101.1645	101.4066
2004-10-01	101.1358	101.3991
