subj_idx,rt,response,sensoryCondition,session,half,corrChoice,stimCodedCorrChoice,third,stimName,keyHit
1,0.58842,1,4,1,1,2,1,1,AT,2
1,0.60826,1,3,1,1,2,1,1,AT,2
1,0.7521,1,2,1,1,2,1,1,T,2
1,0.59754,1,4,1,1,2,1,1,AT,2
1,0.67344,1,5,1,1,2,1,1,AT,2
1,0.62107,1,2,1,1,2,1,1,T,2
1,0.52284,0,1,1,1,2,1,1,A,1
1,0.58104,1,2,1,1,1,0,1,T,1
1,0.533,1,4,1,1,1,0,1,AT,1
1,0.49515,1,1,1,1,1,0,1,A,1
1,0.44536,1,5,1,1,1,0,1,AT,1
1,0.65161,1,3,1,1,2,1,1,AT,2
1,0.53927,1,3,1,1,1,0,1,AT,1
1,0.69639,1,5,1,1,1,0,1,AT,1
1,0.51799,1,1,1,1,1,0,1,A,1
1,0.56816,1,2,1,1,1,0,1,T,1
1,0.61015,1,1,1,1,2,1,1,A,2
1,0.60794,1,3,1,1,2,1,1,AT,2
1,0.88187,1,2,1,1,2,1,1,T,2
1,0.70077,1,5,1,1,2,1,1,AT,2
1,0.60231,1,4,1,1,2,1,1,AT,2
1,0.77425,1,4,1,1,1,0,1,AT,1
1,0.79958,1,3,1,1,1,0,1,AT,1
1,0.97884,1,3,1,1,1,0,1,AT,1
1,0.71734,1,1,1,1,2,1,1,A,2
1,0.95287,1,5,1,1,1,0,1,AT,1
1,0.60357,1,3,1,1,2,1,1,AT,2
1,1.4454,1,1,1,1,1,0,2,A,1
1,0.74047,1,5,1,1,2,1,2,AT,2
1,1.5699,1,2,1,1,2,1,2,T,2
1,0.78449,1,2,1,1,1,0,2,T,1
1,0.66379,1,4,1,1,2,1,2,AT,2
1,0.69546,1,4,1,1,1,0,2,AT,1
1,2.406,1,3,1,1,1,0,2,AT,1
1,0.95967,1,5,1,1,1,0,2,AT,1
1,0.73838,1,4,1,1,2,1,2,AT,2
1,1.8037,1,1,1,1,2,1,2,A,2
1,1.0915,0,2,1,1,2,1,2,T,1
1,1.5558,1,4,1,1,1,0,2,AT,1
1,1.1144,1,2,1,1,1,0,2,T,1
1,0.99658,1,3,1,1,2,1,2,AT,2
1,1.0631,1,1,1,1,1,0,2,A,1
1,0.68541,1,5,1,1,2,1,2,AT,2
1,0.68111,1,3,1,1,2,1,2,AT,2
1,0.69282,1,5,1,1,2,1,2,AT,2
1,1.7423,1,2,1,1,2,1,2,T,2
1,1.2183,1,1,1,1,1,0,2,A,1
1,1.1241,1,4,1,1,1,0,2,AT,1
