Id:14POPI01A,in:,0,az:,90,dip:,0,str:,0,m:,1.49,com:35_R,,,,,
,515RK,-6.80E-07,1.06E-07,-2.14E-06,0,C1,110,,,,,,,,,
,515VK,-6.21E-07,-1.93E-07,2.23E-06,0,C1,111,,,,,,,,,
,530RL,-4.81E-07,1.34E-07,-2.31E-06,0,C1,120,,,,,,,,,
,530VL,-4.24E-07,-1.51E-07,2.42E-06,0,C1,108,,,,,,,,,
,495PL,-4.75E-07,5.04E-08,-1.43E-06,0,C1,0,,,,,,,,,
,530X+,2.82E-06,2.13E-07,-1.21E-07,0,C1,0,,,,,,,,,
,530X-,-3.59E-06,-1.55E-07,2.33E-07,0,C1,0,,,,,,,,,
,530Y+,-4.42E-07,-3.19E-06,1.03E-07,0,C1,108,,,,,,,,,
,530Y-,-4.49E-07,3.11E-06,3.25E-08,0,C1,0,,,,,,,,,
,530ZB,-4.34E-07,1.82E-07,-2.30E-06,0,C1,106,,,,,,,,,
,530LL,-4.50E-07,2.27E-07,-2.51E-06,0,C1,101,,,,,,,,,
,530QL,-3.84E-07,-1.32E-07,2.35E-06,0,C1,104,,,,,,,,,
,540RM,-3.75E-07,1.43E-07,-2.47E-06,0,C1,104,,,,,,,,,
,540VM,-3.01E-07,-1.43E-07,2.51E-06,0,C1,104,,,,,,,,,
,550RN,-2.72E-07,1.36E-07,-2.65E-06,0,C1,103,,,,,,,,,
,550VN,-2.22E-07,-1.64E-07,2.68E-06,0,C1,104,,,,,,,,,
,530PN,-2.49E-07,1.33E-07,-2.06E-06,0,C1,103,,,,,,,,,Id:14POPI02A,in:,0,az:,90,dip:,0,str:,0,m:,1.22,com:35_R,,,,,
L:,-24.47,G:,-65.42,H:0000,T:2014,9,14,0,0,azm:,0,azs:,0,Or:A12_0_3_90,Fm:,||Li:ceramique|Loc:jujuy
,0D0,2.23E-06,-2.08E-08,-2.51E-07,0,C1,53,,,,,,,,,
,100RA,2.22E-06,1.23E-08,-2.73E-07,0,C1,53,,,,,,,,,
,100VA,2.22E-06,-1.29E-07,-2.37E-07,0,C1,55,,,,,,,,,
,150RB,2.21E-06,8.30E-08,-2.89E-07,0,C1,55,,,,,,,,,
,150VB,2.21E-06,-4.49E-09,-2.19E-07,0,C1,55,,,,,,,,,
,200RC,2.19E-06,9.40E-08,-3.03E-07,0,C1,55,,,,,,,,,
,200VC,2.19E-06,-2.05E-08,-2.05E-07,0,C1,55,,,,,,,,,
,250RD,2.13E-06,-1.36E-08,-3.13E-07,0,C1,54,,,,,,,,,
,250VD,2.13E-06,-1.29E-07,-1.65E-07,0,C1,55,,,,,,,,,
,100PD,2.12E-06,-2.24E-08,-2.07E-07,0,C1,56,,,,,,,,,
