Id:14POPI01A,in:,0,az:,90,dip:,0,str:,0,m:,1.49,com:35_R,,,,,
,530X-,-1.81E-06,-5.65E-07,-1.54E-07,0,C1,47,,,,,,,,,
,530Y+,-5.83E-07,-1.76E-06,-1.02E-07,0,C1,0,,,,,,,,,
,530Y-,-7.67E-07,7.77E-07,-1.97E-07,0,C1,47,,,,,,,,,
,530ZB,-7.01E-07,-4.19E-07,-1.04E-06,0,C1,49,,,,,,,,,
,530LL,-7.09E-07,-4.13E-07,-1.12E-06,0,C1,0,,,,,,,,,
,530QL,-5.81E-07,-5.12E-07,7.01E-07,0,C1,47,,,,,,,,,
,540RJ,-6.37E-07,-3.25E-07,-1.21E-06,0,C1,47,,,,,,,,,
,540VJ,-4.75E-07,-4.50E-07,9.10E-07,0,C1,47,,,,,,,,,
,550RK,-5.90E-07,-2.72E-07,-1.31E-06,0,C1,47,,,,,,,,,
,550VK,-4.10E-07,-4.16E-07,1.00E-06,0,C1,47,,,,,,,,,
,530PK,-5.42E-07,-2.99E-07,-8.10E-07,0,C1,48,,,,,,,,,
,560RL,-4.69E-07,-2.23E-07,-1.48E-06,0,C1,0,,,,,,,,,
,560VL,-2.82E-07,-3.54E-07,1.23E-06,0,C1,50,,,,,,,,,
,570RM,-3.95E-07,-1.18E-07,-1.60E-06,0,C1,0,,,,,,,,,
,570VM,-1.56E-07,-2.82E-07,1.41E-06,0,C1,46,,,,,,,,,
,550PM,-3.56E-07,-1.31E-07,-1.03E-06,0,C1,50,,,,,,,,,
,580RN,-3.33E-07,-5.00E-08,-1.64E-06,0,C1,0,,,,,,,,,
,580VN,-8.39E-08,-2.40E-07,1.52E-06,0,C1,45,,,,,,,,,
,590RO,-2.82E-07,-1.64E-08,-1.70E-06,0,C1,46,,,,,,,,,
,590VO,-2.55E-08,-2.03E-07,1.61E-06,0,C1,45,,,,,,,,,Id:14POPI06A,in:,0,az:,90,dip:,0,str:,0,m:,2.14,com:35_R,,,,,
L:,-24.47,G:,-65.42,H:0000,T:2014,9,14,0,0,azm:,0,azs:,0,Or:A12_0_3_90,Fm:,||Li:ceramique|Loc:jujuy
,0D0,1.21E-05,1.42E-06,-2.75E-06,0,C1,211,,,,,,,,,
,100RA,1.20E-05,1.98E-06,-2.89E-06,0,C1,212,,,,,,,,,
,100VA,1.21E-05,1.71E-06,-2.67E-06,0,C1,211,,,,,,,,,
,150RB,1.22E-05,1.68E-06,-3.04E-06,0,C1,218,,,,,,,,,
,150VB,1.21E-05,1.90E-06,-2.62E-06,0,C1,221,,,,,,,,,
,200RC,1.20E-05,2.26E-06,-3.20E-06,0,C1,226,,,,,,,,,
,200VC,1.21E-05,1.03E-06,-2.66E-06,0,C1,226,,,,,,,,,
,250RD,1.19E-05,1.74E-06,-3.35E-06,0,C1,232,,,,,,,,,
,250VD,1.18E-05,1.52E-06,-2.61E-06,0,C1,235,,,,,,,,,
,100PD,1.18E-05,1.41E-06,-2.88E-06,0,C1,0,,,,,,,,,
,300RE,1.13E-05,1.89E-06,-3.60E-06,0,C1,242,,,,,,,,,
,300VE,1.12E-05,2.07E-06,-2.48E-06,0,C1,229,,,,,,,,,
,340RF,1.11E-05,1.40E-06,-3.70E-06,0,C1,230,,,,,,,,,
,340VF,1.10E-05,1.68E-06,-2.38E-06,0,C1,229,,,,,,,,,
,250PF,1.12E-05,1.38E-06,-2.89E-06,0,C1,231,,,,,,,,,
,385RG,1.07E-05,1.72E-06,-3.91E-06,0,C1,229,,,,,,,,,
,385VG,1.07E-05,8.89E-07,-2.07E-06,0,C1,231,,,,,,,,,
,430RH,1.01E-05,8.91E-07,-3.96E-06,0,C1,227,,,,,,,,,
,430VH,9.81E-06,1.47E-06,-1.63E-06,0,C1,231,,,,,,,,,
,340PH,9.88E-06,1.15E-06,-2.82E-06,0,C1,243,,,,,,,,,
,470RI,8.67E-06,8.76E-07,-4.37E-06,0,C1,237,,,,,,,,,
,470VI,8.35E-06,9.29E-07,-5.25E-07,0,C1,0,,,,,,,,,
,495RJ,7.22E-06,6.59E-07,-4.46E-06,0,C1,231,,,,,,,,,
,495VJ,6.88E-06,9.64E-07,7.53E-07,0,C1,230,,,,,,,,,
,430PJ,7.06E-06,6.75E-07,-1.74E-06,0,C1,234,,,,,,,,,
,515RK,6.03E-06,5.93E-07,-5.26E-06,0,C1,230,,,,,,,,,
,515VK,5.50E-06,5.56E-07,1.90E-06,0,C1,234,,,,,,,,,
,530RL,5.03E-06,3.33E-07,-5.57E-06,0,C1,231,,,,,,,,,
,530VL,4.35E-06,6.39E-07,2.79E-06,0,C1,233,,,,,,,,,
,495PL,4.68E-06,5.14E-07,-2.88E-06,0,C1,231,,,,,,,,,
,530X+,1.07E-05,6.05E-07,-1.80E-06,0,C1,228,,,,,,,,,
,530X-,-1.56E-06,6.73E-07,-6.77E-07,0,C1,228,,,,,,,,,
,530Y+,4.73E-06,-5.94E-06,-1.33E-06,0,C1,237,,,,,,,,,
,530Y-,4.13E-06,6.89E-06,-1.09E-06,0,C1,230,,,,,,,,,
,530ZB,4.59E-06,4.49E-07,-5.21E-06,0,C1,0,,,,,,,,,
,530LL,4.66E-06,5.14E-07,-5.55E-06,0,C1,0,,,,,,,,,
,530QL,4.07E-06,5.25E-07,2.81E-06,0,C1,228,,,,,,,,,
,540RM,4.27E-06,2.42E-07,-5.85E-06,0,C1,240,,,,,,,,,
,540VM,3.60E-06,5.93E-07,3.52E-06,0,C1,227,,,,,,,,,
,550RN,3.51E-06,3.32E-07,-6.12E-06,0,C1,230,,,,,,,,,
,550VN,2.84E-06,4.89E-07,4.24E-06,0,C1,228,,,,,,,,,
,530PN,3.35E-06,3.27E-07,-4.33E-06,0,C1,228,,,,,,,,,
,560RO,2.69E-06,1.40E-07,-6.49E-06,0,C1,226,,,,,,,,,
,560VO,1.83E-06,3.12E-07,5.14E-06,0,C1,0,,,,,,,,,
,570RP,1.95E-06,4.80E-08,-6.70E-06,0,C1,0,,,,,,,,,
,570VP,1.17E-06,3.34E-07,5.75E-06,0,C1,244,,,,,,,,,
,550PP,1.98E-06,6.16E-08,-5.00E-06,0,C1,229,,,,,,,,,
,580RQ,1.44E-06,-1.25E-08,-6.90E-06,0,C1,231,,,,,,,,,
,580VQ,5.48E-07,2.11E-07,6.35E-06,0,C1,252,,,,,,,,,
,590RR,7.42E-07,5.79E-08,-7.14E-06,0,C1,230,,,,,,,,,
,590VR,2.17E-08,8.91E-08,6.81E-06,0,C1,228,,,,,,,,,
,570PR,7.74E-07,-1.48E-07,-5.87E-06,0,C1,231,,,,,,,,,Id:14POPI06B,in:,0,az:,90,dip:,0,str:,0,m:,2.54,com:35_R,,,,,
L:,-24.47,G:,-65.42,H:0000,T:2014,9,14,0,0,azm:,0,azs:,0,Or:A12_0_3_90,Fm:,||Li:ceramique|Loc:jujuy
,0D0,1.46E-05,-2.00E-06,-3.72E-06,0,C1,228,,,,,,,,,
,100RA,1.47E-05,-1.45E-06,-3.79E-06,0,C1,228,,,,,,,,,
,100VA,1.47E-05,-1.48E-06,-3.66E-06,0,C1,231,,,,,,,,,
,150RB,1.48E-05,-1.10E-06,-4.00E-06,0,C1,232,,,,,,,,,
,150VB,1.48E-05,-1.46E-06,-3.64E-06,0,C1,230,,,,,,,,,
,200RC,1.47E-05,-1.67E-06,-4.08E-06,0,C1,238,,,,,,,,,
,200VC,1.46E-05,-1.34E-06,-3.47E-06,0,C1,241,,,,,,,,,
,250RD,1.43E-05,-1.25E-06,-4.28E-06,0,C1,242,,,,,,,,,
,250VD,1.42E-05,-1.63E-06,-3.39E-06,0,C1,246,,,,,,,,,
,100PD,1.41E-05,-1.72E-06,-3.75E-06,0,C1,243,,,,,,,,,
,300RE,1.38E-05,-1.90E-06,-4.27E-06,0,C1,246,,,,,,,,,
,300VE,1.38E-05,-1.32E-06,-3.28E-06,0,C1,242,,,,,,,,,
,340RF,1.33E-05,-1.87E-06,-4.45E-06,0,C1,243,,,,,,,,,
,340VF,1.34E-05,-1.37E-06,-3.09E-06,0,C1,242,,,,,,,,,
,250PF,1.33E-05,-1.95E-06,-3.82E-06,0,C1,244,,,,,,,,,
,385RG,1.28E-05,-2.15E-06,-4.62E-06,0,C1,243,,,,,,,,,
,385VG,1.27E-05,-2.15E-06,-3.02E-06,0,C1,243,,,,,,,,,
,430RH,1.17E-05,-1.88E-06,-4.78E-06,0,C1,242,,,,,,,,,
,430VH,1.17E-05,-1.57E-06,-2.06E-06,0,C1,243,,,,,,,,,
,340PH,1.17E-05,-1.59E-06,-3.37E-06,0,C1,244,,,,,,,,,
,470RI,1.01E-05,-1.33E-06,-5.11E-06,0,C1,247,,,,,,,,,
,470VI,1.00E-05,-8.24E-07,-1.03E-06,0,C1,245,,,,,,,,,
,495RJ,8.43E-06,-8.06E-07,-5.45E-06,0,C1,236,,,,,,,,,
,495VJ,8.30E-06,-5.12E-07,3.23E-07,0,C1,242,,,,,,,,,
,430PJ,8.35E-06,-6.13E-07,-2.33E-06,0,C1,245,,,,,,,,,
,515RK,6.79E-06,-1.16E-06,-5.85E-06,0,C1,244,,,,,,,,,
,515VK,6.63E-06,-9.69E-07,1.55E-06,0,C1,243,,,,,,,,,
,530RL,5.37E-06,-9.17E-07,-6.02E-06,0,C1,244,,,,,,,,,
,530VL,5.13E-06,-2.48E-07,2.87E-06,0,C1,244,,,,,,,,,
,495PL,5.21E-06,-6.86E-07,-3.05E-06,0,C1,243,,,,,,,,,
,530X+,1.22E-05,-3.56E-07,-1.80E-06,0,C1,246,,,,,,,,,
,530X-,-1.70E-06,-9.84E-07,-1.15E-06,0,C1,242,,,,,,,,,
,530Y+,5.19E-06,-7.65E-06,-2.14E-06,0,C1,240,,,,,,,,,
,530Y-,4.21E-06,6.13E-06,-7.50E-07,0,C1,242,,,,,,,,,
,530ZB,4.93E-06,-9.78E-07,-5.83E-06,0,C1,241,,,,,,,,,
,530LL,5.04E-06,-1.01E-06,-6.16E-06,0,C1,240,,,,,,,,,
,530QL,4.98E-06,-4.37E-07,2.66E-06,0,C1,244,,,,,,,,,
,540RM,4.45E-06,-8.97E-07,-6.36E-06,0,C1,242,,,,,,,,,
,540VM,4.26E-06,-3.03E-07,3.58E-06,0,C1,240,,,,,,,,,
,550RN,3.46E-06,-8.84E-07,-6.61E-06,0,C1,245,,,,,,,,,
,550VN,3.23E-06,4.10E-08,4.44E-06,0,C1,242,,,,,,,,,
,530PN,3.38E-06,-5.30E-07,-4.60E-06,0,C1,243,,,,,,,,,
,560RO,2.39E-06,-5.88E-07,-6.94E-06,0,C1,244,,,,,,,,,
,560VO,2.13E-06,4.58E-08,5.38E-06,0,C1,239,,,,,,,,,
,570RP,1.48E-06,-6.59E-07,-7.06E-06,0,C1,240,,,,,,,,,
,570VP,1.16E-06,2.66E-07,6.12E-06,0,C1,244,,,,,,,,,
,550PP,1.49E-06,-4.71E-07,-5.35E-06,0,C1,244,,,,,,,,,Id:14POPI09A,in:,0,az:,90,dip:,0,str:,0,m:,1.53,com:35_R,,,,,
L:,-24.47,G:,-65.42,H:0000,T:2014,9,14,0,0,azm:,0,azs:,0,Or:A12_0_3_90,Fm:,||Li:ceramique|Loc:jujuy
,0D0,2.20E-07,-1.39E-06,6.87E-07,0,C1,72,,,,,,,,,
,100RA,1.94E-07,-1.38E-06,6.57E-07,0,C1,72,,,,,,,,,
,100VA,1.94E-07,-1.38E-06,6.57E-07,0,C1,72,,,,,,,,,
,150RB,2.38E-07,-1.30E-06,5.53E-07,0,C1,74,,,,,,,,,
,150VB,2.12E-07,-1.32E-06,9.10E-07,0,C1,74,,,,,,,,,
,200RC,2.36E-07,-1.13E-06,4.42E-07,0,C1,77,,,,,,,,,
,200VC,3.25E-07,-1.13E-06,1.06E-06,0,C1,78,,,,,,,,,
,250RD,2.72E-07,-7.87E-07,1.89E-07,0,C1,81,,,,,,,,,
,250VD,2.91E-07,-8.46E-07,1.32E-06,0,C1,81,,,,,,,,,
,100PD,3.08E-07,-8.28E-07,1.10E-06,0,C1,81,,,,,,,,,
,300RE,3.42E-07,-6.49E-07,4.01E-08,0,C1,83,,,,,,,,,
,300VE,4.18E-07,-7.45E-07,1.42E-06,0,C1,84,,,,,,,,,
,340RF,3.61E-07,-6.10E-07,-1.57E-07,0,C1,83,,,,,,,,,
,340VF,4.63E-07,-6.84E-07,1.51E-06,0,C1,84,,,,,,,,,
,250PF,4.33E-07,-6.18E-07,3.39E-07,0,C1,84,,,,,,,,,
,385RG,4.18E-07,-5.77E-07,-4.14E-07,0,C1,87,,,,,,,,,
,385VG,5.38E-07,-7.13E-07,1.51E-06,0,C1,86,,,,,,,,,
,430RH,4.56E-07,-5.31E-07,-6.81E-07,0,C1,89,,,,,,,,,
,430VH,5.71E-07,-6.63E-07,1.61E-06,0,C1,91,,,,,,,,,
,340PH,5.00E-07,-5.51E-07,5.72E-10,0,C1,89,,,,,,,,,
,470RI,4.28E-07,-4.12E-07,-9.53E-07,0,C1,92,,,,,,,,,
,470VI,5.19E-07,-5.86E-07,1.68E-06,0,C1,91,,,,,,,,,
,495RJ,3.29E-07,-3.18E-07,-1.17E-06,0,C1,91,,,,,,,,,
,495VJ,4.47E-07,-5.04E-07,1.78E-06,0,C1,92,,,,,,,,,
,430PJ,3.57E-07,-3.43E-07,-4.96E-07,0,C1,90,,,,,,,,,
,515RK,2.58E-07,-2.49E-07,-1.33E-06,0,C1,94,,,,,,,,,
,515VK,3.46E-07,-4.35E-07,1.82E-06,0,C1,92,,,,,,,,,
,530RL,2.11E-07,-1.66E-07,-1.44E-06,0,C1,91,,,,,,,,,
,530VL,3.02E-07,-3.66E-07,1.90E-06,0,C1,92,,,,,,,,,
,495PL,1.90E-07,-1.73E-07,-1.02E-06,0,C1,92,,,,,,,,,
,530X+,2.45E-06,-3.81E-07,1.35E-07,0,C1,0,,,,,,,,,
,530X-,-1.92E-06,-1.95E-08,3.03E-07,0,C1,91,,,,,,,,,
,530Y+,5.81E-07,-2.41E-06,2.00E-07,0,C1,93,,,,,,,,,
,530Y-,-1.25E-07,1.90E-06,2.57E-07,0,C1,91,,,,,,,,,
,530ZB,1.86E-07,-1.32E-07,-1.47E-06,0,C1,107,,,,,,,,,
,530LL,1.56E-07,-1.21E-07,-1.68E-06,0,C1,105,,,,,,,,,
,530QL,3.05E-07,-3.36E-07,1.84E-06,0,C1,92,,,,,,,,,
,540RM,1.67E-07,-1.36E-07,-1.53E-06,0,C1,93,,,,,,,,,
,540VM,2.78E-07,-3.28E-07,1.94E-06,0,C1,91,,,,,,,,,
,550RN,1.42E-07,-9.86E-08,-1.63E-06,0,C1,93,,,,,,,,,
,550VN,2.39E-07,-3.13E-07,2.00E-06,0,C1,99,,,,,,,,,
,530PN,1.50E-07,-1.02E-07,-1.36E-06,0,C1,0,,,,,,,,,
,560RO,1.02E-07,-4.89E-08,-1.78E-06,0,C1,92,,,,,,,,,
,560VO,2.27E-07,-2.54E-07,2.06E-06,0,C1,0,,,,,,,,,
,570RP,7.60E-08,-3.99E-08,-1.87E-06,0,C1,92,,,,,,,,,
,570VP,1.59E-07,-2.45E-07,2.08E-06,0,C1,0,,,,,,,,,
,550PP,1.14E-07,-2.11E-08,-1.61E-06,0,C1,0,,,,,,,,,
,580RQ,5.49E-08,1.80E-09,-1.93E-06,0,C1,95,,,,,,,,,
,580VQ,1.48E-07,-2.33E-07,2.13E-06,0,C1,95,,,,,,,,,
,590RR,-7.81E-09,-4.36E-09,-1.97E-06,0,C1,93,,,,,,,,,
,590VR,1.38E-07,-2.31E-07,2.10E-06,0,C1,92,,,,,,,,,
,570PR,3.52E-08,5.28E-09,-1.81E-06,0,C1,0,,,,,,,,,Id:14POPI09B,in:,0,az:,90,dip:,0,str:,0,m:,1.02,com:35_R,,,,,
L:,-24.47,G:,-65.42,H:0000,T:2014,9,14,0,0,azm:,0,azs:,0,Or:A12_0_3_90,Fm:,||Li:ceramique|Loc:jujuy
,0N0,1.99E-07,-8.75E-07,5.04E-07,0,C1,39,,,,,,,,,
,150RA,2.12E-07,-8.52E-07,4.22E-07,0,C1,43,,,,,,,,,
,150VA,2.00E-07,-8.47E-07,6.57E-07,0,C1,0,,,,,,,,,
,240RB,2.78E-07,-5.68E-07,1.48E-07,0,C1,42,,,,,,,,,
,240VB,2.97E-07,-5.72E-07,8.64E-07,0,C1,39,,,,,,,,,
,300RC,3.63E-07,-5.13E-07,-2.36E-08,0,C1,40,,,,,,,,,
,300VC,3.64E-07,-5.19E-07,9.20E-07,0,C1,0,,,,,,,,,
,150PC,3.67E-07,-5.33E-07,6.49E-07,0,C1,0,,,,,,,,,
,350RD,3.98E-07,-5.12E-07,-2.29E-07,0,C1,50,,,,,,,,,
,350VD,3.90E-07,-5.48E-07,9.32E-07,0,C1,0,,,,,,,,,
,390RE,4.00E-07,-5.27E-07,-3.80E-07,0,C1,53,,,,,,,,,
,390VE,3.82E-07,-5.62E-07,9.62E-07,0,C1,50,,,,,,,,,
,300PE,4.15E-07,-5.29E-07,2.76E-08,0,C1,0,,,,,,,,,
,440RF,3.91E-07,-4.46E-07,-5.81E-07,0,C1,49,,,,,,,,,
,440VF,3.69E-07,-4.88E-07,1.04E-06,0,C1,52,,,,,,,,,
,480RG,3.23E-07,-3.43E-07,-7.63E-07,0,C1,0,,,,,,,,,
,480VG,2.75E-07,-3.90E-07,1.14E-06,0,C1,55,,,,,,,,,
,390PG,2.73E-07,-3.53E-07,-1.84E-07,0,C1,56,,,,,,,,,
,510RH,2.39E-07,-2.26E-07,-9.28E-07,0,C1,51,,,,,,,,,
,510VH,1.81E-07,-2.68E-07,1.14E-06,0,C1,52,,,,,,,,,
,530RI,2.16E-07,-1.96E-07,-9.65E-07,0,C1,53,,,,,,,,,
,530VI,1.11E-07,-2.27E-07,1.24E-06,0,C1,53,,,,,,,,,
,480PI,1.73E-07,-1.89E-07,-6.11E-07,0,C1,0,,,,,,,,,
,550RK,-9.01E-08,-4.92E-07,-1.64E-06,0,C1,0,,,,,,,,,
,550VK,3.19E-07,5.71E-08,1.47E-06,0,C1,0,,,,,,,,,Id:14POPI09C,in:,0,az:,90,dip:,0,str:,0,m:,1.01,com:35_R,,,,,
L:,-24.47,G:,-65.42,H:0000,T:2014,9,14,0,0,azm:,0,azs:,0,Or:A12_0_3_90,Fm:,||Li:ceramique|Loc:jujuy
,0D0,3.62E-07,-6.56E-07,6.00E-07,0,C1,41,,,,,,,,,
,150RA,3.16E-07,-6.45E-07,5.05E-07,0,C1,46,,,,,,,,,
,150VA,3.19E-07,-6.37E-07,7.47E-07,0,C1,47,,,,,,,,,
,240RB,3.07E-07,-3.52E-07,2.78E-07,0,C1,47,,,,,,,,,
,240VB,3.22E-07,-3.51E-07,9.71E-07,0,C1,48,,,,,,,,,
,300RC,3.37E-07,-2.69E-07,8.26E-08,0,C1,51,,,,,,,,,
,300VC,3.45E-07,-2.99E-07,1.04E-06,0,C1,50,,,,,,,,,
,150PC,3.48E-07,-2.79E-07,7.69E-07,0,C1,51,,,,,,,,,
,350RD,3.90E-07,-2.62E-07,-8.86E-08,0,C1,50,,,,,,,,,
,350VD,3.98E-07,-2.88E-07,1.07E-06,0,C1,50,,,,,,,,,
,390RE,4.21E-07,-2.67E-07,-2.79E-07,0,C1,51,,,,,,,,,
,390VE,4.12E-07,-2.90E-07,1.09E-06,0,C1,50,,,,,,,,,
,300PE,4.24E-07,-2.73E-07,1.37E-07,0,C1,55,,,,,,,,,
,440RF,4.05E-07,-2.34E-07,-4.80E-07,0,C1,54,,,,,,,,,
,440VF,3.96E-07,-2.45E-07,1.15E-06,0,C1,54,,,,,,,,,
,480RG,3.27E-07,-1.85E-07,-6.91E-07,0,C1,57,,,,,,,,,
,480VG,3.04E-07,-1.90E-07,1.22E-06,0,C1,0,,,,,,,,,
,390PG,3.03E-07,-1.72E-07,-1.31E-07,0,C1,54,,,,,,,,,
,510RH,2.50E-07,-1.43E-07,-8.87E-07,0,C1,57,,,,,,,,,
,510VH,2.17E-07,-1.09E-07,1.29E-06,0,C1,54,,,,,,,,,
,530RI,2.42E-07,-1.19E-07,-9.74E-07,0,C1,58,,,,,,,,,
,530VI,1.67E-07,-1.03E-07,1.37E-06,0,C1,0,,,,,,,,,
,480PI,1.96E-07,-1.24E-07,-5.77E-07,0,C1,57,,,,,,,,,
,530X+,1.52E-06,-1.58E-07,1.11E-07,0,C1,0,,,,,,,,,
,530X-,-1.10E-06,-7.43E-08,2.26E-07,0,C1,62,,,,,,,,,
,530Y+,3.58E-07,-1.40E-06,1.11E-07,0,C1,0,,,,,,,,,
,530Y-,-1.45E-08,1.15E-06,2.18E-07,0,C1,65,,,,,,,,,
,530ZB,1.88E-07,-8.52E-08,-1.02E-06,0,C1,0,,,,,,,,,
,530LL,1.70E-07,-7.63E-08,-1.13E-06,0,C1,0,,,,,,,,,
,530QL,1.67E-07,-1.07E-07,1.32E-06,0,C1,63,,,,,,,,,
,540RJ,2.01E-07,-8.20E-08,-1.09E-06,0,C1,59,,,,,,,,,
,540VJ,1.49E-07,-8.64E-08,1.39E-06,0,C1,59,,,,,,,,,
,550RK,1.41E-07,-6.37E-08,-1.16E-06,0,C1,0,,,,,,,,,
,550VK,9.78E-08,-1.19E-07,1.41E-06,0,C1,0,,,,,,,,,
,530PK,1.47E-07,-7.33E-08,-9.89E-07,0,C1,59,,,,,,,,,
,560RL,1.22E-07,-5.83E-08,-1.26E-06,0,C1,0,,,,,,,,,
,560VL,1.03E-07,-5.98E-08,1.43E-06,0,C1,0,,,,,,,,,
,570RM,8.98E-08,-4.63E-08,-1.30E-06,0,C1,59,,,,,,,,,
,570VM,6.87E-08,-3.09E-08,1.44E-06,0,C1,0,,,,,,,,,
,550PM,8.27E-08,-4.26E-08,-1.13E-06,0,C1,60,,,,,,,,,
,580RN,7.64E-08,-4.85E-08,-1.34E-06,0,C1,0,,,,,,,,,
,580VN,6.92E-08,-6.60E-08,1.46E-06,0,C1,58,,,,,,,,,
,590RO,6.09E-08,-2.41E-08,-1.36E-06,0,C1,0,,,,,,,,,
,590VO,4.66E-08,-6.47E-08,1.46E-06,0,C1,58,,,,,,,,,Id:14POPI10A,in:,0,az:,90,dip:,0,str:,0,m:,1.45,com:35_R,,,,,
L:,-24.47,G:,-65.42,H:0000,T:2014,9,14,0,0,azm:,0,azs:,0,Or:A12_0_3_90,Fm:,||Li:ceramique|Loc:jujuy
,0D0,-1.17E-05,6.13E-06,3.62E-06,0,C1,80,,,,,,,,,
,100RA,-1.19E-05,5.97E-06,3.47E-06,0,C1,84,,,,,,,,,
,100VA,-1.17E-05,6.29E-06,3.67E-06,0,C1,80,,,,,,,,,
,150RB,-1.18E-05,6.14E-06,3.40E-06,0,C1,82,,,,,,,,,
,150VB,-1.19E-05,6.01E-06,3.73E-06,0,C1,78,,,,,,,,,
,200RC,-1.20E-05,5.74E-06,3.38E-06,0,C1,82,,,,,,,,,
,200VC,-1.19E-05,5.85E-06,3.80E-06,0,C1,80,,,,,,,,,
,250RD,-1.18E-05,5.86E-06,3.24E-06,0,C1,81,,,,,,,,,
,250VD,-1.16E-05,6.17E-06,3.82E-06,0,C1,81,,,,,,,,,
,100PD,-1.16E-05,6.13E-06,3.68E-06,0,C1,80,,,,,,,,,
,300RE,-1.16E-05,5.82E-06,2.98E-06,0,C1,80,,,,,,,,,
,300VE,-1.15E-05,5.93E-06,3.89E-06,0,C1,84,,,,,,,,,
,340RF,-1.12E-05,5.91E-06,2.73E-06,0,C1,81,,,,,,,,,
,340VF,-1.14E-05,5.28E-06,3.95E-06,0,C1,79,,,,,,,,,
,250PF,-1.11E-05,5.93E-06,3.37E-06,0,C1,82,,,,,,,,,
,385RG,-1.09E-05,5.38E-06,2.31E-06,0,C1,80,,,,,,,,,
,385VG,-1.10E-05,4.61E-06,4.14E-06,0,C1,81,,,,,,,,,
,430RH,-9.58E-06,5.00E-06,1.26E-06,0,C1,88,,,,,,,,,
,430VH,-9.75E-06,4.01E-06,4.29E-06,0,C1,79,,,,,,,,,
,340PH,-9.60E-06,4.63E-06,3.02E-06,0,C1,86,,,,,,,,,
,470RI,-7.33E-06,3.49E-06,-1.20E-06,0,C1,78,,,,,,,,,
,470VI,-6.86E-06,3.16E-06,4.86E-06,0,C1,78,,,,,,,,,
,495RJ,-5.12E-06,2.54E-06,-2.97E-06,0,C1,78,,,,,,,,,
,495VJ,-4.53E-06,2.15E-06,5.63E-06,0,C1,84,,,,,,,,,
,430PJ,-4.78E-06,2.09E-06,2.33E-06,0,C1,89,,,,,,,,,
,515RK,-3.67E-06,1.77E-06,-4.66E-06,0,C1,88,,,,,,,,,
,515VK,-2.95E-06,1.32E-06,6.05E-06,0,C1,78,,,,,,,,,
,530RL,-2.74E-06,1.31E-06,-5.47E-06,0,C1,79,,,,,,,,,
,530VL,-1.99E-06,8.62E-07,6.38E-06,0,C1,78,,,,,,,,,
,495PL,-2.47E-06,1.37E-06,-2.64E-06,0,C1,0,,,,,,,,,
,530X+,6.23E-06,1.30E-06,5.80E-07,0,C1,82,,,,,,,,,
,530X-,-1.03E-05,5.33E-07,3.52E-07,0,C1,78,,,,,,,,,
,530Y+,-1.28E-06,-6.14E-06,3.71E-07,0,C1,77,,,,,,,,,
,530Y-,-2.62E-06,8.16E-06,5.51E-07,0,C1,78,,,,,,,,,
,530ZB,-2.42E-06,1.43E-06,-5.41E-06,0,C1,78,,,,,,,,,
,530LL,-2.48E-06,1.37E-06,-5.90E-06,0,C1,77,,,,,,,,,
,530QL,-1.75E-06,7.64E-07,6.19E-06,0,C1,78,,,,,,,,,
,540RM,-2.10E-06,1.23E-06,-5.82E-06,0,C1,77,,,,,,,,,
,540VM,-1.41E-06,6.34E-07,6.48E-06,0,C1,81,,,,,,,,,
,550RN,-1.84E-06,9.00E-07,-6.10E-06,0,C1,77,,,,,,,,,
,550VN,-1.04E-06,4.00E-07,6.60E-06,0,C1,80,,,,,,,,,
,530PN,-1.76E-06,8.76E-07,-5.28E-06,0,C1,0,,,,,,,,,Id:14POPI10B,in:,0,az:,90,dip:,0,str:,0,m:,0.36,com:35_R,,,,,
L:,-24.47,G:,-65.42,H:0000,T:2014,9,14,0,0,azm:,0,azs:,0,Or:A12_0_3_90,Fm:,||Li:ceramique|Loc:jujuy
,0D0,-3.30E-06,1.89E-06,2.92E-07,0,C1,19,,,,,,,,,
,150RA,-3.40E-06,1.72E-06,2.45E-07,0,C1,20,,,,,,,,,
,150VA,-3.34E-06,1.84E-06,3.36E-07,0,C1,19,,,,,,,,,
,240RB,-3.34E-06,1.74E-06,1.95E-07,0,C1,0,,,,,,,,,
,240VB,-3.33E-06,1.74E-06,3.74E-07,0,C1,21,,,,,,,,,
,300RC,-3.26E-06,1.75E-06,1.35E-07,0,C1,21,,,,,,,,,
,300VC,-3.19E-06,1.82E-06,3.74E-07,0,C1,20,,,,,,,,,
,150PC,-3.20E-06,1.79E-06,3.13E-07,0,C1,21,,,,,,,,,
,350RD,-3.09E-06,1.78E-06,6.43E-08,0,C1,20,,,,,,,,,
,350VD,-3.08E-06,1.73E-06,4.48E-07,0,C1,21,,,,,,,,,
,390RE,-3.01E-06,1.61E-06,-4.00E-08,0,C1,21,,,,,,,,,
,390VE,-2.93E-06,1.64E-06,5.04E-07,0,C1,18,,,,,,,,,
,300PE,-3.02E-06,1.52E-06,2.35E-07,0,C1,19,,,,,,,,,
,440RF,-2.56E-06,1.47E-06,-2.93E-07,0,C1,20,,,,,,,,,
,440VF,-2.52E-06,1.34E-06,6.25E-07,0,C1,21,,,,,,,,,
,480RG,-1.94E-06,1.07E-06,-7.39E-07,0,C1,20,,,,,,,,,
,480VG,-1.82E-06,9.48E-07,9.09E-07,0,C1,0,,,,,,,,,
