0.000,	11.000,	6114.100,	6791.600
0.000,	12.000,	11098.800,	12274.400
0.000,	1.000,	16957.400,	17797.199
0.000,	2.000,	22459.000,	23328.100
1.000,	11.000,	31831.801,	32882.602
1.000,	12.000,	37476.199,	38353.801
1.000,	1.000,	43074.500,	44050.801
1.000,	2.000,	48415.898,	49451.398
2.000,	11.000,	58141.500,	58975.102
2.000,	12.000,	63506.602,	64530.699
2.000,	1.000,	68761.297,	69960.000
2.000,	2.000,	74530.602,	75511.602
3.000,	11.000,	84189.703,	84982.203
3.000,	12.000,	89483.797,	90479.602
3.000,	1.000,	94997.500,	95959.203
3.000,	2.000,	100341.898,	101342.297
4.000,	11.000,	109969.398,	111062.703
4.000,	12.000,	115489.000,	116463.797
4.000,	1.000,	120931.102,	121928.797
4.000,	2.000,	126367.000,	127496.602
5.000,	11.000,	135958.594,	136981.594
0.000,	11.000,	9197.700,	10257.200,	1.000
