007A1FS20AE075004200000NT    	
6	2639
2	1885
2	107
3	3555
2	4904
2	2303
2	1582
7	2423
4	2080
4	2634
2	2512
1	2212
7	3135
7	3808
4	1043
0	0
2	2158
1	3247
6	2647
6	2683
4	735
4	1521
2	2067
2	1962
6	3810
6	4174
4	2335
2	5955
1	7440
2	933
6	2507
4	3957
4	881
2	3534
2	1555
6	1489
1	3293
4	4072
4	981
6	1804
7	2844
2	1757
0	0
4	2271
4	2843
6	1793
7	2924
1	3037
6	2000
4	657
4	1336
7	3325
6	3953
1	7746
7	4922
4	1748
6	3167
7	1890
6	1275
6	1735
4	1059
4	2708
6	1964
6	1733
6	2183
6	2323
4	1335
4	2488
7	2444
7	2797
046A1FS23AE084004400000NT	
3	3227
1	1397
1	1569
5	1192
2	2476
3	3125
1	1883
6	1660
1	2036
5	3420
5	1334
1	2379
3	2319
3	1723
1	2710
5	1686
4	2253
3	1377
1	1688
1	2473
1	2523
1	1923
1	1892
2	2497
1	2336
1	2434
1	2561
1	2442
1	1761
1	2518
3	2308
3	2841
5	887
3	2258
1	1890
1	1531
4	3703
6	541
6	2465
6	1890
5	992
6	2710
2	1562
3	3718
1	1863
2	2101
3	2729
1	1105
6	1835
6	2547
6	1710
6	1995
6	3057
2	3186
2	3637
3	1239
1	2949
1	2603
2	1896
4	1069
1	2671
1	2652
3	1645
2	2955
3	2327
1	2567
5	1549
6	1557
6	2772
6	3365
3	4616
6	2312
2	1874
1	2428
2	1481
2	2338
1	1197
2	5527
6	1226
3	1728
6	1620
2	1083
3	2314
6	1445
6	2671
3	1286
6	1355
1	2095
3	2081
2	1433
2	3136
1	1278
3	1898
4	2136
3	1258
2	2005
3	1680
6	1896
1	1810
1	1761
4	1184
2	1442
2	1137
1	1505
6	4280
6	1894
3	2054
4	1372
4	462
3	1728
3	1517
3	1821
4	2024
3	1444
6	1640
1	3398
1	1433
2	4236
2	1075
3	2381
6	2557
3	1625
5	2362
1	1387
4	1453
4	2442
4	1954
1	1981
4	330
2	2114
3	1297
4	2036
1	2494
3	1935
6	2146
6	2348
3	2285
6	1819
6	2197
4	3997
6	2011
1	1463
6	2659
4	1899
3	788
3	2523
3	2152
6	2336
1	3334
3	2057
2	2547
1	1393
1	1398
1	3113
1	1805
2	1857
047A1MN20AS000000002212NT	
5	4443
2	3441
3	3176
3	2778
4	4119
4	2554
3	1536
2	2464
2	5404
4	2247
3	4438
3	1464
4	7833
5	3904
3	4610
6	2881
2	7304
6	4453
6	2384
5	3784
6	4951
6	8645
2	3348
3	3588
3	2838
4	5491
4	6294
3	1674
3	3377
3	3829
3	4796
2	5182
2	5548
3	4173
2	3614
3	2512
3	4444
2	2818
5	2125
4	3242
5	3887
4	4197
2	5053
2	2738
6	6262
6	3327
5	1810
4	3285
5	7365
4	4687
5	5836
4	2382
2	2153
6	5729
3	2637
3	1954
3	3813
5	9048
6	3454
3	4718
3	1744
2	2466
3	5303
6	3761
5	3392
6	4103
4	2642
3	2811
5	4668
3	2523
0	0
4	3699
3	4154
5	2701
5	2670
2	3149
6	4435
2	2161
1	3933
1	4547
1	3806
6	5744
4	4072
1	7098
4	2369
4	5883
3	2235
2	4110
4	4878
5	3543
2	3238
0	0
6	1836
6	2519
6	1541
3	2071
3	2916
4	4452
7	2969
6	5356
4	5145
5	5433
3	3050
6	3225
2	4400
4	2679
3	1846
4	3544
6	1798
4	3507
2	2325
2	3012
4	2225
6	1740
5	1611
7	1958
7	2468
6	3008
2	2766
2	2581
7	4597
2	1341
2	1629
2	1698
6	1754
6	3246
6	3194
6	2289
3	3625
2	4170
6	4212
3	2115
6	5757
2	3130
2	2287
2	3703
6	5096
6	2493
7	2824
2	3697
2	2444
4	2513
3	2235
5	3696
2	1817
2	4728
2	4501
6	1962
6	2169
6	7930
6	4097
4	6119
7	5163
3	2595
2	3911
6	59
048B1FN18BE000000002112NT	
7	3276
6	6051
2	8240
4	7556
2	5938
6	4096
7	2394
7	1868
4	3925
2	2234
1	3832
5	4342
6	9955
5	1864
6	3147
2	2357
3	3407
2	5576
6	3028
6	1933
7	1845
1	2468
1	1871
2	1800
3	3210
3	7037
4	2460
5	5906
0	0
5	3199
6	2152
5	5303
6	1508
6	2714
6	2391
6	2306
2	4055
1	2762
6	157
7	1773
7	3136
6	4797
2	6315
2	2628
4	4613
5	1533
6	7244
5	2849
0	0
4	3200
4	6839
4	1893
3	4132
4	3655
5	5441
0	0
4	4796
4	2787
4	2315
5	8168
6	2732
5	3764
6	3036
2	7111
2	3506
4	3828
6	4815
6	2431
7	2925
2	1545
2	2569
3	4995
5	7659
1	2035
6	1983
7	2139
5	1618
2	2511
7	1472
5	1647
4	1619
4	8408
5	1237
6	5903
3	4112
4	3836
3	3848
4	7385
5	4510
3	2466
3	5297
3	5415
4	2940
4	4902
5	5590
4	4294
1	114
2	5498
3	5468
2	3769
2	3372
5	4668
2	4714
4	2684
3	5226
4	2458
3	3264
6	4317
3	7845
3	1655
3	3459
4	5138
6	2348
6	1975
2	3431
2	2765
3	2683
5	5941
4	3361
6	3322
6	4821
2	2550
4	3847
3	2281
3	3958
3	3411
3	3563
5	2371
1	3304
6	3648
6	4016
6	5883
2	2396
1	3720
5	7399
6	2119
7	2048
6	2536
5	4793
2	3531
5	4100
4	4956
3	93
6	1802
4	5055
4	1812
3	3464
3	2814
4	3180
3	5236
3	5877
0	0
4	4814
4	2504
3	5325
3	4781
049B1MS20AE042005700000NT	
5	1857
6	1466
6	2396
2	3563
2	7041
2	2472
6	1881
6	3412
2	2496
2	1694
2	2338
2	1550
5	1531
6	4029
6	2547
2	3257
3	2677
2	2340
6	1759
5	1611
6	2700
2	1390
2	1746
2	4962
5	1839
3	2585
5	2709
4	1966
4	2082
5	3739
6	4249
6	3055
6	1634
2	1701
6	3830
6	1939
2	3227
2	2346
4	4614
6	2884
5	4953
5	1933
2	3590
3	1815
4	3338
5	1767
5	3018
5	1293
3	3860
6	2045
4	3157
3	2797
4	2480
3	6718
3	1915
4	6145
5	1084
4	1905
5	2971
4	4714
3	2500
4	1579
5	3527
4	4028
2	8149
4	1734
6	2509
6	1743
3	2285
5	2358
4	2601
5	2026
6	2216
6	1860
4	4493
2	1756
3	7638
6	1301
3	3466
4	1160
3	4767
5	2050
4	1740
3	2054
5	1712
3	3691
4	2531
4	2769
4	2036
5	2092
4	1691
4	3633
4	1646
4	5943
4	1492
4	2043
3	2873
5	5262
5	5053
3	2004
5	2280
4	4055
5	6579
3	4178
4	4851
5	2309
4	1988
5	2937
6	2069
6	2257
6	3371
2	1856
2	2074
3	2720
3	3497
2	4386
5	2240
3	2054
5	2235
3	2319
3	8500
6	1803
2	3718
5	2608
2	1865
2	2646
3	3069
2	2401
4	2107
6	1690
6	1562
6	1830
3	1787
2	3094
5	1884
6	940
5	2618
5	5550
6	4309
5	2012
6	2794
2	1938
3	2148
3	2926
3	1920
5	4570
6	2759
4	1940
2	2109
4	3638
4	2450
3	1894
6	2596
6	2398
4	1969
5	3890
050B1FS20AS088008700000NT	
1	3901
1	833
3	3198
1	1021
1	1529
5	930
1	1332
1	1597
3	2304
2	2251
3	2156
7	1651
7	1016
7	1195
6	977
2	31
2	4155
5	3834
1	1156
5	1317
7	1529
1	3517
1	1253
3	3
1	792
2	2075
2	1063
1	1931
3	1505
6	2014
1	1771
1	1437
1	861
5	2657
3	956
1	1694
1	1659
2	971
5	1611
4	2349
1	2391
7	2439
5	2652
1	4162
4	3354
7	2147
6	3034
6	2918
6	2049
1	1480
3	4352
1	755
7	2504
6	1357
7	622
4	2620
2	1916
1	1367
5	3528
2	2227
2	2315
2	4088
1	1061
2	979
6	4752
2	1198
7	1440
7	1727
7	970
6	3048
7	1474
6	3073
1	1121
1	713
7	642
7	1229
1	889
1	2873
1	954
7	962
1	929
1	822
1	4072
7	746
1	1713
1	5192
3	1337
3	1902
7	1627
1	1205
7	1630
1	7343
3	940
6	1675
1	2045
1	6824
7	2325
1	5049
3	2448
3	1912
7	1626
7	1835
3	3217
1	2808
2	1331
7	2176
7	2213
7	1987
7	2078
1	2696
7	1246
7	992
7	1217
7	2012
1	3721
3	2301
3	1557
7	3502
7	1954
2	1077
1	1579
7	1305
1	1036
3	1747
1	2384
7	1198
7	2928
7	1225
2	4160
7	2379
1	4006
1	6339
1	1042
1	1395
3	1318
3	1051
7	3049
1	3520
7	2950
7	1917
1	1322
6	2231
1	3165
1	1638
7	1236
7	1819
2	4573
7	1720
6	2789
3	4310
7	2725
1	1298
3	1098
3	2553
7	1721
1	3029
052B1FN20AE000000002122NT	
4	3547
2	3185
3	3830
1	4306
3	3927
6	3871
6	4144
3	3209
2	3433
2	2375
1	4211
6	2588
4	4233
6	6800
0	0
2	2792
4	4529
7	3772
6	6725
5	1888
5	4152
2	4510
2	2480
5	5687
4	2216
5	3313
1	3158
4	2882
4	2562
6	2449
2	1825
3	5071
2	2228
6	1865
2	3857
2	4318
1	3884
1	2106
1	858
6	2426
8	2527
4	2768
2	2776
2	4630
5	3423
4	3101
5	6694
6	1969
4	2861
5	1427
5	2452
0	0
4	2543
6	1818
7	2331
2	88
5	5528
4	7970
1	3715
2	2312
6	3041
5	2810
3	3284
2	3594
2	6467
4	5197
5	2910
5	2589
3	1210
3	3101
4	3167
6	2841
3	5026
7	2290
3	4858
2	2149
2	2511
1	2956
1	2184
3	2932
5	2477
5	2702
4	4605
3	3759
3	3111
2	3827
3	3012
4	2857
5	2565
5	7259
3	2981
3	3373
5	2527
3	4368
3	5071
4	3896
2	3945
4	3282
4	2724
4	5029
5	3213
5	6011
3	3126
3	5428
3	2275
5	2893
6	2253
5	2449
4	2768
1	3529
4	2514
6	2014
4	3730
4	3115
3	2963
6	3051
3	4681
5	2630
4	5562
3	3216
3	2054
3	2134
5	4131
4	3075
4	2635
4	3013
1	3134
1	3010
2	3972
6	4314
7	2680
6	2929
1	2437
1	3366
2	5029
6	2479
6	2969
6	2018
2	3352
3	5299
5	2616
5	2943
5	3828
4	3632
4	5594
6	3403
6	3293
4	6369
4	2341
4	2583
3	4805
5	5833
3	3752
5	5423
3	2271
4	5911
054B1FN18AS000000002112NV	
7	1611
7	2064
4	4240
7	3556
1	1869
3	1845
7	1268
7	2867
4	1524
1	1671
1	4423
4	3650
7	2278
4	965
7	1230
1	2789
1	789
4	1252
3	1426
4	1231
6	2591
1	1355
7	2244
3	1618
1	1369
4	660
4	2208
2	1502
4	1251
3	6954
7	7845
4	1412
1	1279
4	917
7	1512
1	1782
1	1054
1	1685
2	3185
3	1372
4	1666
4	2254
1	1980
4	1426
1	1432
7	2409
1	1794
1	1683
4	1155
4	1522
1	3588
4	2951
3	1349
4	2640
4	2163
4	891
3	1999
4	697
3	2211
3	2014
3	4462
7	3072
4	2085
1	3815
1	2930
4	686
3	1711
4	874
3	6639
7	2611
1	1901
3	2159
1	999
7	4426
2	1893
3	820
3	5581
1	978
1	2081
1	1110
6	4021
3	2481
3	3316
6	992
7	4745
4	2916
4	1180
4	853
4	1529
6	2152
1	1600
4	1002
4	1223
4	917
1	3324
4	1779
7	2236
4	2527
7	3763
4	2563
4	1351
1	2657
1	2848
4	2594
4	1163
4	798
1	2983
4	1305
4	1550
4	2148
4	807
4	3108
4	1894
4	1724
4	2247
4	708
4	1046
0	0
4	1119
4	2443
7	1344
1	1804
7	2731
4	1289
4	888
1	2914
7	126
4	1353
1	2503
4	3659
1	3647
7	2320
1	1648
1	1877
1	2520
7	2774
7	1690
7	3734
4	3415
4	1607
4	611
4	1934
4	3831
1	3796
7	1388
7	2583
7	3599
4	1503
4	2193
1	3059
4	1598
4	2898
4	1070
4	840
4	1239
4	1049
055B1FN18ME000000001211NV	
2	2707
2	3695
0	0
6	2700
4	5785
5	1362
2	1395
2	2426
4	1031
1	1696
2	3163
3	2693
5	3737
5	2105
5	2393
6	2450
1	1665
5	5178
4	1906
6	2020
3	2966
4	5274
2	799
3	3539
6	46
2	1482
4	3369
5	1378
3	5477
4	2509
4	3232
4	113
4	4230
4	3940
2	1568
4	2885
1	3970
5	1355
2	1449
6	1957
6	1899
5	2912
2	1835
2	3322
4	8977
6	4108
5	2379
3	9365
2	1957
2	4487
2	882
3	1519
2	2452
2	1558
5	2054
2	3259
3	2491
2	1779
2	2110
4	65
5	2714
4	2146
5	5723
5	7013
2	2194
3	1903
5	2557
5	1897
4	9232
2	936
2	5940
2	3400
5	3587
2	2046
4	4285
4	3488
6	2422
5	2810
0	0
3	7621
5	5042
2	1882
3	2279
4	1203
2	1615
4	7610
3	3567
3	1624
3	4944
4	3943
5	2289
5	1219
3	8090
5	5112
2	2441
0	0
5	2729
2	7948
4	2241
4	2428
3	3018
2	4815
3	4626
6	2619
4	3248
5	2835
2	5269
1	3194
5	2359
3	2028
3	1434
3	4311
4	1810
3	3450
2	1163
3	4964
3	2893
6	2487
5	4513
4	2071
3	8462
5	4124
3	1958
4	9296
4	3341
2	2826
2	2662
2	2916
2	2710
4	4401
6	3039
4	2775
1	1755
1	3420
1	1628
6	2854
6	1884
6	2466
2	2916
4	3015
2	1580
6	2698
3	6035
4	2179
1	1700
6	3992
2	1599
2	2354
4	1125
3	2810
4	2131
4	8026
3	3038
6	5768
3	5142
3	2656
057B1MN21AE000000002122NT	
2	1878
2	2296
7	5877
6	1458
6	2720
5	2056
7	1829
1	2381
7	2244
1	3077
1	1565
2	2310
6	3555
5	4348
7	3315
2	1750
1	1750
2	3070
6	1998
6	1923
2	5723
5	2370
2	5780
1	2947
5	1888
7	3004
5	3416
2	1444
2	1267
3	4563
3	4193
4	2537
3	6238
3	2622
4	1669
6	7327
1	1479
1	1458
1	2105
7	1895
6	1760
6	1379
1	3003
1	1856
2	2105
7	1734
6	1827
6	1540
4	3294
2	2070
2	2290
7	3022
7	2094
3	1774
1	2592
1	1780
3	1988
6	2330
6	3653
2	3298
7	1975
4	7415
2	2213
6	1011
6	1526
2	2078
5	3782
1	2951
3	2597
1	2096
6	1911
4	3139
1	1706
7	1309
1	1394
3	2582
4	4818
3	4694
1	1354
1	1221
6	2486
6	1511
3	2612
3	3039
4	2807
7	2453
2	1651
5	1185
4	1959
6	3183
5	2272
5	4248
3	4528
3	987
6	1662
5	1839
6	1489
2	1539
2	3140
1	1490
2	2203
2	2105
3	2408
3	1980
2	3002
2	1587
3	2476
1	1742
2	1889
4	2071
2	1892
6	1664
2	2572
3	1201
5	2019
4	3610
2	57
5	1856
3	1020
4	2907
6	3438
3	1376
3	2886
5	2576
2	1527
6	3954
2	2611
6	3065
6	2055
7	2202
6	1443
6	1182
2	5331
1	1512
3	2060
7	6915
7	2252
7	2920
6	1927
2	998
2	4495
2	3060
6	2384
3	2471
7	2178
7	3104
6	7356
5	1371
5	1229
2	3105
3	2466
6	2177
6	2009
5	2459
2	2230
6	2380
058B1FS18AE077004400000NV	
1	1493
7	1026
3	1020
6	1759
4	980
7	119
7	1433
7	2900
7	1370
6	1391
1	1739
1	1780
7	1157
5	1497
6	2206
5	1053
2	1359
4	1235
5	1335
7	1283
4	4215
7	1833
6	1056
4	1053
4	1369
7	1924
4	895
3	1536
3	2861
6	1985
5	2495
2	1417
5	1012
4	1197
6	1463
7	994
7	1053
1	1994
7	132
7	1403
5	1025
5	1108
7	1086
1	2266
1	2080
7	155
3	1319
2	1205
5	1616
5	1051
2	1192
5	811
3	1222
7	4163
5	1015
5	1275
7	1771
7	1577
7	712
2	1262
5	1425
7	1337
5	913
5	1194
7	1264
3	1848
6	1627
6	1633
6	1245
5	2643
3	1823
5	1800
3	7845
7	1850
1	1180
5	2857
6	1243
5	1406
2	1733
2	1418
6	830
5	934
4	1519
5	2228
4	723
2	1723
4	1518
6	1061
4	858
7	1854
7	1696
2	1004
3	1420
5	1154
2	1223
2	1381
7	2141
5	156
7	2920
2	1573
3	1539
1	4471
7	1193
2	2573
2	1045
5	1293
3	4313
6	2899
7	2331
7	1540
2	1513
6	1872
2	1786
7	1401
7	5232
6	778
6	1150
5	1362
2	1227
2	1818
7	1396
2	1496
1	1927
3	1428
1	1450
1	1894
2	1136
4	851
4	2830
4	1109
5	1832
5	1149
4	1064
1	979
4	1492
3	2692
5	963
7	2234
5	1629
5	2008
4	2515
3	809
2	1239
2	1210
3	1133
5	1553
4	2993
6	2457
4	631
3	1952
5	1894
2	1798
4	1781
5	1353
5	1602
5	910
059B1FN18AE000000002112NT	
1	2377
7	2184
6	3930
3	3575
4	5785
3	4113
1	1343
7	2125
7	2350
1	4120
1	1969
3	4955
5	4530
5	3620
7	2751
1	4402
1	4018
2	2886
7	4747
6	4635
5	6687
6	4607
1	2362
0	0
3	6328
3	2194
5	6179
4	3719
2	4158
4	2350
6	5762
2	5356
1	5724
3	4321
7	2004
3	2723
1	2570
1	1882
1	5232
7	5305
6	2209
7	2995
1	2279
1	1780
2	3851
7	1769
7	3074
5	6596
5	3858
1	4642
6	1516
7	1986
7	2171
4	5618
7	3197
2	2319
1	1752
7	3371
7	2711
1	2618
7	5637
6	5294
6	2768
2	4878
2	3165
2	1545
5	1623
2	1778
2	3115
4	3355
7	3054
1	3280
6	2642
7	1298
1	2891
1	5620
3	2689
6	1734
1	1920
1	3879
7	2307
6	2188
1	1408
6	3765
5	2610
6	3195
7	3143
2	3159
3	4389
4	3890
7	2259
7	2180
7	3134
7	2646
1	2026
1	2355
5	4632
1	2752
7	2388
1	5304
1	1914
6	3837
1	2856
3	3252
4	3555
4	5896
5	4302
5	3655
6	2344
3	6907
4	3775
7	2158
7	2718
3	4731
4	3280
4	1879
4	3119
4	3638
6	2589
1	4006
7	2921
2	2243
3	5601
5	3998
1	5199
1	2030
6	5251
2	3875
3	4499
7	3775
1	2373
2	2844
1	3566
1	1848
1	1929
1	3371
7	2089
7	2427
3	3366
1	3983
1	3140
6	3669
2	4356
4	4745
6	5026
6	2372
6	6211
6	2453
1	4327
1	2674
3	4406
7	3756
6	4301
1	3680
6	1682
1	2435
060B1FN19AE000000002122NT	
2	5231
0	0
1	5440
4	3235
5	3477
5	3190
6	2323
7	2889
4	3231
6	2565
1	1655
4	6010
3	3816
4	4860
3	1970
2	5055
2	1458
4	3310
5	3608
5	3352
3	3678
1	3687
1	2394
3	1236
4	7382
4	4850
3	3790
1	4709
5	6536
4	2234
3	1870
6	2168
3	4381
4	1574
2	2707
3	8284
6	3880
1	3241
3	6026
5	5584
4	5178
2	3443
1	4808
2	1738
2	2096
2	4724
5	1546
5	3843
4	3359
5	6535
4	4565
4	2895
4	3216
3	3526
4	4481
2	6166
5	3982
4	6204
5	2367
4	3364
4	6189
1	5942
3	4660
1	2140
1	3795
2	4164
4	3473
3	2999
4	4136
4	3001
5	3401
2	6419
3	2088
7	5969
4	2674
4	2136
6	1786
4	1322
3	2598
3	5809
6	1539
6	2697
2	1743
4	3586
5	6334
6	3927
4	5912
2	7007
1	2074
2	2958
6	1616
4	4389
5	2478
3	5938
2	5443
3	4825
4	3046
5	2267
5	2020
3	5582
3	2163
5	3601
6	2247
5	3243
6	4625
5	5554
3	3042
3	2557
4	3574
4	4282
4	1649
4	1569
4	7123
5	4467
4	5002
5	5437
5	4103
4	1925
2	5942
3	4888
6	7034
3	2212
6	4466
3	5113
3	2233
2	3731
3	4145
2	1988
3	1496
7	1552
6	2420
5	3900
1	2146
2	2599
2	2484
5	3671
6	1464
5	2787
3	4715
2	2701
3	1998
6	1538
6	7023
6	1972
7	4027
0	0
4	4080
2	2493
2	1713
3	5390
2	2280
4	1894
5	1678
3	1716
3	2307
3	5013
061B1MN18AE000000002122NT	
3	8242
3	9672
2	6123
2	4407
1	8444
2	2206
7	4866
7	2777
2	6405
1	1498
1	5026
1	3617
7	3996
5	8462
7	4329
1	4710
1	1907
1	4868
1	1997
1	2087
1	978
1	4416
1	1116
1	1732
1	917
1	2443
1	6342
1	1682
1	1469
1	2170
1	974
1	1397
1	1312
1	1292
1	7771
1	4119
1	687
1	1616
1	2699
1	669
1	1080
1	836
1	1756
1	822
1	2232
1	2235
1	897
1	894
1	3561
1	3821
1	2170
1	939
1	1822
1	1413
1	1765
1	1191
1	1746
1	7304
1	1051
1	3404
1	1105
1	914
1	934
1	2126
1	917
1	1542
1	2354
1	1646
1	2665
1	1066
1	1118
1	1018
5	4402
7	3338
1	2928
4	2264
4	9063
4	1477
4	1369
4	5734
4	1039
4	3922
4	1945
4	3279
4	1671
5	1753
4	2372
5	2176
4	2123
2	2165
4	5547
5	3236
5	6032
4	5505
4	2188
0	0
4	3509
5	2799
5	1903
5	2917
5	1654
5	1824
4	3839
4	2451
4	1766
4	1564
4	3358
5	2816
4	2028
4	4924
5	5005
4	2973
4	3407
4	1552
5	1442
5	3168
5	4028
3	4145
5	1781
5	3899
7	5226
5	2810
4	2449
5	1902
6	2161
5	1559
3	4230
2	3912
4	2771
4	2267
2	2407
4	2219
3	3880
4	2697
3	3918
2	5139
4	1301
3	3668
3	3140
4	4854
4	3836
4	2717
4	1949
4	3546
5	4478
6	1890
5	2851
5	1552
6	3126
6	2692
5	1779
5	2989
4	3399
4	1454
6	3875
6	4890
063B1FN19AE000000002112NT	
1	3782
5	6321
1	2928
7	9538
6	2741
5	6412
1	2714
1	2881
1	5580
1	2791
1	4669
6	5302
1	3997
7	3668
0	0
1	7312
2	5784
0	0
7	8553
7	3616
7	1286
1	2694
7	4584
1	2068
1	4181
0	0
1	193
7	2944
6	4272
7	3858
1	7587
1	4414
1	2157
7	4197
6	7105
1	6486
1	1369
1	4995
0	0
7	3760
7	4353
7	4835
5	6372
1	2259
3	6441
6	2343
1	58
0	0
7	3141
1	3294
1	5417
7	5602
1	5864
1	4351
4	5206
6	5792
4	6055
1	7873
1	5907
1	2185
7	762
6	3262
6	8753
1	1998
1	2119
1	2298
6	6427
7	3924
5	3494
1	4144
0	0
0	0
1	3052
7	1777
1	3858
1	774
4	4372
1	1481
1	1964
1	5708
4	1647
4	3459
1	1460
5	3185
0	0
1	2386
1	1858
7	2102
6	2737
6	5125
3	5413
4	7193
1	6388
6	2627
7	1893
6	2453
2	4178
2	1993
1	3369
7	5406
3	2472
6	3654
1	4720
1	971
1	2306
1	5
6	2804
4	6072
1	5186
2	4568
1	2896
6	3029
4	2359
6	4690
1	5288
1	5512
1	3868
6	2413
6	5820
6	3522
3	2019
6	6371
1	5620
6	4360
3	4775
1	3602
1	3337
1	2395
1	3013
7	2323
6	3767
7	3214
2	2819
1	6452
1	727
7	2485
7	4041
7	3910
1	2433
3	5178
1	1941
6	1776
1	1297
6	1874
5	4733
6	6978
1	2973
7	3996
4	7180
6	5426
1	2067
1	2215
1	5648
6	2484
6	2372
5	2798
064B1FS19AE057006800000NT	
1	1648
1	1060
3	2733
2	2779
6	2280
1	152
2	2018
2	1647
4	4976
1	4875
5	1738
5	4541
5	3078
5	2215
5	2638
5	1547
4	1885
5	1195
6	2738
5	4876
4	2472
1	3203
2	6209
6	5047
4	3945
6	4868
5	1340
5	2505
6	7542
5	1699
1	1956
1	5661
3	2617
5	2539
1	3294
5	2434
0	0
1	1103
2	2257
5	6487
4	3195
6	4486
3	2301
2	5229
3	4214
3	1390
4	9530
4	2576
5	3846
2	2017
3	4626
3	5480
2	5953
2	1349
3	5038
4	2547
4	4358
6	1467
4	3523
3	4681
4	2311
4	1551
5	2751
5	3633
3	4090
4	4014
4	5491
4	3514
5	5857
1	1533
2	3505
2	3205
2	2409
5	2791
2	2275
2	2261
3	3874
4	4360
4	1403
2	1621
6	2246
3	5335
6	1857
0	0
2	5621
6	1460
3	5935
5	1720
6	4023
5	3445
4	2126
6	2681
5	2793
2	5739
3	3703
2	3693
3	3504
6	1808
4	1415
5	2167
3	2141
5	6893
5	7505
4	2450
4	4409
5	3048
5	6865
4	2826
3	4476
5	8590
5	4482
5	4415
5	2661
4	5239
6	6240
2	4854
4	1389
5	1639
3	4154
5	2521
6	4059
2	4344
5	6932
4	3516
2	3970
2	6080
2	3875
2	1259
3	2531
5	1350
2	3008
5	4597
2	1731
2	3466
4	1689
5	3332
6	2928
6	2140
3	2696
5	2192
5	3468
5	3988
3	1662
4	1735
2	1946
2	2409
5	6270
4	1924
5	1443
5	3593
3	3082
2	2899
4	1469
5	5201
6	3906
3	2524
065B1FS19AE055005400000NT	
5	4461
5	3386
6	3949
1	6041
2	4161
5	3856
7	6635
6	1081
5	3744
1	1765
7	2224
5	5551
5	3756
2	8739
5	3011
2	1737
2	2240
4	1680
2	1247
5	1087
5	952
2	3118
3	2478
3	2136
4	1679
4	2074
5	2195
4	1881
4	5021
4	3370
5	1857
5	2201
6	2631
4	4883
5	6689
5	5191
2	3296
2	5026
4	5411
5	6352
5	4267
2	1917
1	4456
2	4356
3	3839
2	3033
7	5341
5	3808
4	4185
1	3955
3	5888
5	3295
4	6271
4	2185
6	4876
5	7133
5	1310
3	2979
4	2155
2	3865
6	1674
4	3035
5	3648
6	3580
5	4488
4	2051
5	2865
3	2229
4	4982
4	4350
4	4136
4	4649
6	2011
7	3447
2	3068
3	1265
5	1788
5	1312
4	1417
2	4420
6	1682
0	0
4	2637
4	1356
5	2156
5	2725
5	4446
4	2772
4	4603
1	4019
5	4332
3	2672
5	3507
4	2740
3	2344
3	3568
6	2335
6	3106
5	4633
4	2092
4	2763
2	4019
4	2730
3	7034
3	2901
4	3111
4	2735
4	4460
2	3136
6	3702
5	2264
4	4611
5	2682
2	4832
5	3549
3	3827
5	3781
4	3332
3	2909
4	3684
5	3284
5	3510
2	6767
4	5166
2	2937
2	2543
2	3436
2	2335
2	2443
6	3344
6	4956
6	2487
2	4231
2	1682
2	2755
6	2248
6	2744
6	3083
4	2787
5	4906
5	4198
5	4504
4	3424
4	2123
5	3043
2	3767
5	3333
2	3680
2	1281
4	3495
5	4798
4	3558
4	2248
5	2157
4	2392
3	5465
066B1MN18AE000000002212NV	
2	2080
1	1228
3	1891
6	1827
6	1491
6	2084
7	1295
6	3396
7	1409
1	2162
1	2668
1	1150
3	1720
4	2885
4	1446
1	1442
2	2272
6	2308
6	1469
5	2236
6	3425
2	3090
1	5065
3	4216
2	1815
1	1922
7	481
3	1815
6	2678
5	3022
1	1295
1	1458
1	3155
7	2095
1	2017
6	3430
1	1115
2	1595
3	2229
6	1733
5	2664
5	3922
2	2533
2	1305
3	2902
0	0
2	5247
6	3175
2	1452
2	2024
4	3271
6	2006
6	2883
7	1572
3	1457
2	1990
3	3166
5	1956
3	2525
5	3430
5	3054
4	3363
2	4076
5	2720
7	3135
7	1952
6	1283
5	1186
4	2553
3	1650
3	3969
3	2878
2	1683
7	7199
3	6619
3	2280
3	3330
3	1555
1	1402
2	3714
4	2395
5	1910
5	3948
2	7600
5	2979
3	2005
5	5518
7	4479
5	2660
4	5427
6	1768
6	2627
7	5815
1	1663
2	2489
2	2276
6	2411
4	5003
6	2663
2	3360
2	2531
3	2229
1	2603
1	2016
5	3953
5	2865
5	2981
4	5080
7	1615
6	4858
7	1923
4	6736
2	1676
2	2523
4	4017
3	1960
4	2423
5	2501
5	5788
4	3034
1	5308
5	1850
5	4205
6	3525
2	2052
1	4568
2	1545
4	4325
3	3347
5	4002
7	2727
6	1936
1	2213
2	1325
3	2540
6	4574
6	2577
5	3086
1	1535
2	2557
5	1565
4	2755
2	2983
4	4968
5	3693
3	6725
6	1819
3	3049
2	7578
2	2810
6	3202
6	2021
1	5945
4	1998
4	4624
4	4386
067B1FS24AS066006600000NV	
7	3280
6	8074
5	1604
1	6013
1	3210
6	1393
6	7982
7	3905
3	2811
1	2369
7	887
4	1764
7	2402
4	2238
1	1758
1	2870
1	1464
4	1939
5	6105
5	1451
7	3706
3	2382
7	3591
3	1084
4	2275
4	2436
6	1381
4	1483
3	2242
5	1665
7	2165
5	8374
7	2718
7	4999
7	1769
7	1088
3	2120
1	1676
5	2148
5	2048
3	6740
5	1638
4	2401
5	1169
4	6063
6	1949
