0.000,	12.000,	6359.100,	6417.400
0.000,	11.000,	11303.900,	12611.200
0.000,	1.000
0.000,	2.000
0.000,	4.000
0.000,	5.000
0.000,	6.000
0.000,	7.000
1.000,	12.000,	54734.801,	55096.301
1.000,	11.000,	60543.699,	61060.602
0.000,	12.000,	2387.200,	2424.000
0.000,	11.000,	8143.400,	8644.400
0.000,	1.000
0.000,	2.000
0.000,	4.000
0.000,	5.000
0.000,	6.000
0.000,	7.000
0.000,	12.000,	0.000,	0.000
0.000,	11.000,	14838.200,	15331.900
0.000,	1.000,	20882.000,	21438.600
0.000,	2.000,	26828.801,	27390.000
0.000,	4.000,	32854.602,	33367.199
0.000,	5.000,	38894.801,	39377.602
0.000,	6.000,	45139.898,	45559.000
0.000,	7.000,	51107.801,	51571.398
1.000,	12.000,	57139.398,	57491.199
1.000,	11.000,	63004.000,	63595.301
1.000,	1.000,	69100.797,	69575.797
1.000,	2.000,	75017.203,	75532.602
1.000,	4.000,	81006.297,	81542.500
1.000,	5.000,	87307.898,	87630.898
1.000,	6.000,	93145.500,	93606.797
1.000,	7.000,	99076.398,	99624.602
2.000,	12.000,	105308.500,	105746.000
2.000,	11.000,	111129.703,	111720.703
2.000,	1.000,	117189.703,	117712.203
2.000,	2.000,	123159.602,	123765.203
2.000,	4.000,	129278.203,	129713.102
2.000,	5.000,	135225.906,	135702.094
2.000,	6.000,	141290.203,	141779.000
2.000,	7.000,	147236.000,	147804.500
3.000,	12.000,	153581.703,	153945.906
3.000,	11.000,	159297.703,	159834.500
3.000,	1.000,	165419.906,	165905.594
3.000,	2.000,	171387.094,	171848.500
3.000,	4.000,	177353.797,	177894.094
3.000,	5.000,	183673.500,	184081.297
3.000,	6.000,	189447.703,	189945.500
3.000,	7.000,	195691.703,	195978.594
4.000,	12.000,	201517.797,	202028.906
4.000,	11.000,	207495.094,	208091.297
4.000,	1.000,	213532.594,	214168.594
4.000,	2.000,	219505.500,	220129.500
4.000,	4.000,	225611.797,	226007.500
4.000,	5.000,	231648.500,	232233.906
4.000,	6.000,	237654.703,	238131.203
4.000,	7.000,	243624.406,	244175.297
5.000,	12.000,	245647.703,	250305.406
5.000,	11.000,	255741.500,	256193.000
5.000,	1.000,	261728.797,	262287.500
5.000,	2.000,	267745.812,	268410.000
5.000,	4.000,	273797.687,	274312.500
5.000,	5.000,	279865.187,	280463.000
5.000,	6.000,	285892.406,	286380.906
5.000,	7.000,	291898.812,	292434.094
6.000,	12.000,	298087.906,	298471.500
6.000,	11.000,	303885.187,	304516.906
6.000,	1.000,	309915.687,	310540.906
6.000,	2.000,	315964.406,	316479.406
6.000,	4.000,	321954.187,	322488.406
6.000,	5.000,	327998.687,	328445.812
6.000,	6.000,	334173.187,	334564.187
6.000,	7.000,	340031.406,	340587.906
7.000,	12.000,	346113.687,	346701.000
7.000,	11.000,	348090.812,	352636.500
7.000,	1.000,	358083.594,	358628.812
7.000,	2.000,	364151.187,	364769.312
7.000,	4.000,	370098.594,	370673.406
7.000,	5.000,	376250.594,	376641.187
7.000,	6.000,	382284.406,	382724.812
7.000,	7.000,	388278.406,	388759.187
8.000,	12.000,	394256.594,	394835.000
8.000,	11.000,	400272.594,	400830.187
8.000,	1.000,	406324.906,	406827.812
8.000,	2.000,	412296.187,	412859.594
8.000,	4.000,	418388.187,	418855.094
8.000,	5.000,	424396.500,	424956.500
8.000,	6.000,	430571.500,	430972.187
8.000,	7.000,	436405.687,	436992.687
9.000,	12.000,	442540.812,	443010.687
9.000,	11.000,	448446.000,	449108.906
9.000,	1.000,	454569.812,	455122.312
9.000,	2.000,	460544.812,	461104.500
9.000,	4.000,	466502.500,	467004.500
9.000,	5.000,	472558.000,	473193.594
9.000,	6.000,	478759.000,	479092.094
9.000,	7.000,	484632.187,	485083.594
10.000,	12.000,	490681.000,	491155.594
10.000,	11.000,	496655.906,	497192.906
10.000,	1.000,	502687.094,	503284.812
10.000,	2.000,	508744.094,	509291.906
10.000,	4.000,	514752.687,	515284.812
10.000,	5.000,	520884.687,	521332.094
10.000,	6.000,	527023.875,	527338.312
10.000,	7.000,	532958.687,	533331.687
11.000,	12.000,	538904.625,	539581.687
11.000,	11.000,	544919.187,	545441.375
11.000,	1.000,	550937.000,	551502.812
11.000,	2.000,	556954.187,	557589.625
11.000,	4.000,	562905.312,	563478.875
11.000,	5.000,	567888.687,	569500.625
11.000,	6.000,	575058.500,	575620.312
11.000,	7.000,	581099.187,	581520.625
12.000,	12.000,	587127.625,	587609.375
12.000,	11.000,	593051.812,	593610.687
12.000,	1.000,	599066.312,	599651.000
12.000,	2.000,	605078.812,	605627.187
12.000,	4.000,	611127.500,	611661.500
12.000,	5.000,	617199.687,	617668.625
12.000,	6.000,	623226.687,	623716.187
12.000,	7.000,	625649.875,	629694.500
13.000,	12.000,	635290.125,	635834.312
13.000,	11.000,	641219.875,	641835.500
13.000,	1.000,	647297.687,	647917.125
13.000,	2.000,	653385.812,	653934.687
13.000,	4.000,	659346.625,	659884.125
13.000,	5.000,	665419.000,	665981.312
13.000,	6.000,	671445.875,	671951.625
13.000,	7.000,	677438.625,	678025.375
14.000,	12.000,	683525.812,	684071.187
14.000,	11.000,	689476.812,	690062.375
14.000,	1.000,	695506.000,	696105.687
14.000,	2.000,	701484.812,	702080.000
14.000,	4.000,	707547.125,	708102.687
14.000,	5.000,	713617.375,	714092.812
14.000,	6.000,	719698.125,	720175.000
14.000,	7.000,	725626.687,	726150.125
15.000,	12.000,	731672.875,	732312.125
15.000,	11.000,	737654.187,	738264.125
15.000,	1.000,	743682.375,	744309.625
15.000,	2.000,	749734.500,	750293.187
15.000,	4.000,	754662.500,	756282.875
15.000,	5.000,	761896.125,	762349.875
15.000,	6.000,	767956.000,	768439.500
15.000,	7.000,	773903.687,	774405.187
16.000,	12.000,	779958.125,	780481.375
16.000,	11.000,	785907.625,	786431.687
16.000,	1.000,	791939.312,	792571.812
16.000,	2.000,	797928.500,	798526.125
16.000,	4.000,	803999.000,	804500.187
